name,trans
ビヨンドザブルースカイ,비욘드 더 블루 스카이
スパークルイルミネーション,스파클 일루미네이션
シリウスリークラウン,시리우스 리크라운
フロウリッシュブルーム,플로리쉬 블룸
ポンポンサポート,퐁퐁 서포트
プレイドピジョン,플레이드 피존
【シャイニーサマー】櫻木 真乃,【샤이니 섬머】 사쿠라기 마노
1stシーズンの水着。めぐるちゃんとお揃い柄♪,1st 시즌의 수영복. 메구루쨩이랑 맞춤 무늬♪
【ジャージ】櫻木 真乃,【저지】 사쿠라기 마노
水色ジャージ。優しい灯織ちゃん色♪,물색 저지. 상냥한 히오리쨩색♪
【ミッドナイトモンスター】櫻木 真乃,【미드나잇 몬스터】 사쿠라기 마노
トリック・オア・トリート！\n内に秘めたyummy red♡,트릭 오어 트릿!\n안에 숨겨둔 yummy red♡
【ホーリーナイトケープ】櫻木 真乃,【홀리나잇 케이프】 사쿠라기 마노
メリークリスマス！\nキラキラ星、空を駆けるように,"메리 크리스마스!\n반짝반짝 별, 하늘을 달리듯이"
【ワンデイオフィサー】櫻木 真乃,【원데이 오피서】 사쿠라기 마노
勤務回想録。敬礼。\nみなさんの元へ急行しますっ,근무회상록. 경례.\n여러분의 곁으로 급행하겠습니다
【オーバーキャストモノクローム】櫻木 真乃,【오버캐스트 모노크롬】 사쿠라기 마노
ワンステップ。公園の鳩さんカラーでお気に入り,원 스텝. 공원의 비둘기씨 컬러라서 마음에 든다
【ほしあかり】櫻木 真乃,【별빛】 사쿠라기 마노
しろはえの浴衣。赤い実のように甘くて楽しい時間,백남풍의 유카타. 붉은 열매처럼 달콤하고 즐거운 시간
【ファッショナブルサマー】櫻木 真乃,【패셔너블 서머】 사쿠라기 마노
サマーダイブ！　とうめいな空と海で遊ぶ,서머 다이브! 투명한 하늘이랑 바다에서 놀다
【イノセントセーラー】櫻木 真乃,【이노센트 세일러】 사쿠라기 마노
ビー・アンビシャス。\n軽やかなハニーレモンソーダ,비 앰비셔스.\n경쾌한 허니레몬 소다
【サンセットスカイパッセージ】櫻木 真乃,【선셋 스카이 패시지】 사쿠라기 마노
スタッカート。空を渡るいろたち,스타카토. 하늘을 건너는 색깔들
【リフレッシュサマー】櫻木 真乃,【리프레쉬 서머】 사쿠라기 마노
マジックアワー。夏にほどけていくとりどりのいろ,매직 아워. 여름에 녹아드는 가지각색의 색깔
【リンギングプレッピーガール】櫻木 真乃,【링잉 프레피 걸】 사쿠라기 마노
きらりきらり。かけがえない光、ともに駆けゆく,"반짝반짝. 둘도 없는 빛, 함께 달려간다"
トゥインクリーチアフル,트윙클리 치어풀
スターリングダイヤモンド,스탈링 다이아몬드
チェックドノエル,체크드 노엘
【シャイニーサマー】風野 灯織,【샤이니 섬머】 카자노 히오리
1stシーズンの水着。日焼けは……大丈夫！,1st 시즌의 수영복. 피부 탄 곳은……괜찮아!
【ジャージ】風野 灯織,【저지】 카자노 히오리
水色ジャージ。私服よりこっちの方が安心？,물색 저지. 사복보다 이쪽이 더 안심?
【ミッドナイトモンスター】風野 灯織,【미드나잇 몬스터】 카자노 히오리
トリック・オア・トリート！\n仄かな蒼のspirit,트릭 오어 트릿!\n희미한 푸른색의 spirit
【ホーリーナイトケープ】風野 灯織,【홀리나잇 케이프】 카자노 히오리
メリークリスマス！\nなんだかうきうきする、そんな日,"메리 크리스마스!\n왠지 들뜨게 되는, 그런 날"
【ワンデイチーフ】風野 灯織,【원데이 오피서】 카자노 히오리
勤務回想録。敬礼。\nスピード厳守してください,근무회상록. 경례.\n속도 엄수해주세요
【オーバーキャストモノクローム】風野 灯織,【오버캐스트 모노크롬】 카자노 히오리
ワンステップ。蒼はどこまでも広く在り続ける,원 스텝. 푸름은 어디까지나 계속 널리 퍼져있다
【ほしあかり】風野 灯織,【별빛】 카자노 히오리
しろはえの浴衣。跳ねる気持ちを浅縹は知っている,백남풍의 유카타. 뛰어오르는 기분을 담남색은 알고 있다
【ファッショナブルサマー】風野 灯織,【패셔너블 서머】 카자노 히오리
サマーダイブ！　大人っぽさを重視してみた,서머 다이브! 어른스러움을 중시해보았다
【イノセントセーラー】風野 灯織,【이노센트 세일러】 카자노 히오리
ビー・アンビシャス。\nあの日の静かな湊を忘れないで,비 앰비셔스.\n그날의 고요한 항구를 잊지 말아줘
【サンセットスカイパッセージ】風野 灯織,【선셋 스카이 패시지】 카자노 히오리
スタッカート。翼を得た。空を感じた。それから,스타카토. 날개를 얻었다. 하늘을 느겼다. 그 이래
【リフレッシュサマー】風野 灯織,【리프레쉬 서머】 카자노 히오리
マジックアワー。うたかたの季節、うたかたの君,"매직 아워. 덧없는 계절, 덧없는 너"
【リンギングプレッピーガール】風野 灯織,【링잉 프레피 걸】 카자노 히오리
きらりきらり。記憶・オーバーラップ,반짝반짝. 기억·오버랩
リズミカルプレッピーガール,리드미컬 프레피 걸
レッドメリーレインディア,레드 메리 레인 디어
バーガーローラースケーター,버거 롤러 스케이터
【シャイニーサマー】八宮 めぐる,【샤이니 섬머】 하치미야 메구루
1stシーズンの水着。太陽を水彩で染めて,1st 시즌의 수영복. 태양을 물감으로 물들여서
【ジャージ】八宮 めぐる,【저지】 하치미야 메구루
水色ジャージ。灯色を織ればシャボンの香り,물빛 저지. 등불 빛을 짜맞추면 비누의 향기
【ミッドナイトモンスター】八宮 めぐる,【미드나잇 몬스터】 하치미야 메구루
トリック・オア・トリート！\nたくましき生命は人を愛したい,트릭 오어 트릿!\n씩씩한 생명은 사람을 사랑하고 싶다
【ホーリーナイトケープ】八宮 めぐる,【홀리나잇 케이프】 하치미야 메구루
メリークリスマス！\nお揃いリボンにきらめきを添えて,메리 크리스마스!\n맞춤 리본에 반짝임을 곁들여
【ワンデイキャプチャー】八宮 めぐる,【원데이 오피서】 하치미야 메구루
勤務回想録。敬礼っ！\n逮捕しちゃうぞー！,근무회상록. 경례!\n체포해버린다ー!
【オーバーキャストモノクローム】八宮 めぐる,【오버캐스트 모노크롬】 하치미야 메구루
ワンステップ。それは雲を裂くヒカリ,원 스텝. 그것은 구름을 가르는 빛
【ほしあかり】八宮 めぐる,【별빛】 하치미야 메구루
しろはえの浴衣。差し色は赤い実と浅縹を,백남풍의 유카타. 포인트 컬러로는 붉은 열매와 담남색을
【ファッショナブルサマー】八宮 めぐる,【패셔너블 서머】 하치미야 메구루
サマーダイブ！　大海原で赤を探して,서머 다이브! 망망대해에서 빨간색을 찾아서
【イノセントセーラー】八宮 めぐる,【이노센트 세일러】 하치미야 메구루
ビー・アンビシャス。\nしろたえの君、夏空に星を,"비 앰비셔스.\n흰빛의 너, 여름하늘에 별을"
【サンセットスカイパッセージ】八宮 めぐる,【선셋 스카이 패시지】 하치미야 메구루
スタッカート。ねぇ、どんな色が見えてる？,"스타카토. 저기, 무슨 색깔이 보여?"
【リフレッシュサマー】八宮 めぐる,【리프레쉬 서머】 하치미야 메구루
マジックアワー。太陽さえ,매직 아워. 태양조차
【リンギングプレッピーガール】八宮 めぐる,【링잉 프레피 걸】 하치미야 메구루
きらりきらり。おもちゃのマイク持ったら,반짝반짝. 장난감 마이크를 잡으면
シンフォニックスチーム,심포닉 스팀
フェイスオブトレジャー,페이스 오브 트레저
ワンダーランドラビット,원더랜드 래빗
ピンキーマイハート,핑키 마이 하트
【シャイニーサマー】月岡 恋鐘,【샤이니 섬머】 츠키오카 코가네
1stシーズンの水着。否、水着ではない。感情なのだ,"1st 시즌의 수영복. 아니, 수영복이 아니다. 감정인 것이다"
【ジャージ】月岡 恋鐘,【저지】 츠키오카 코가네
水色ジャージ。ああ、みづいろ,"물색 저지. 아아, 물색"
