id,name,text,trans
0000000000000,プロデューサー,"おっ、樹里が読んでいるのは、
ゲーム雑誌じゃないか？","우와, 쥬리가 읽고 있는 거,
게임 잡지 아니야?"
1011001001110010,樹里,"ああ、面白そうな新作が多くて、
どれ買おうか悩んでてさ……","응, 재미있을 것 같은 신작이 많아서, 
어떤 거 살까 고민돼서……"
1011001001110020,樹里,プロデューサーは何がいいと思う？,프로듀서는 무엇이 좋다고 생각해?
0000000000000,プロデューサー,新作のゲームか……,신작 게임인가……
select,,"激しい格闘ゲーム
はどうだ？","격렬한 격투 게임은
어때?"
select,,"太鼓の
リズムゲームは？","태고
리듬 게임은?"
select,,"のんびり
牧場ゲームは？","느긋한
목장 게임은?"
1011001001110030,樹里,"お、わかってんじゃん！
やっぱ格闘ゲームは燃えるよな！","오, 뭘 좀 알잖아!
역시 격투 게임이 불타오르지!"
1011001001110040,樹里,もし買ったらプロデューサーも一緒に対戦しようぜ！,만약 사게 된다면 프로듀서도 함께 대전하자고!
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 얘기했다)"
1011001001110050,樹里,リズムゲームは得意分野だ,리듬 게임은 내 전문 분야야
1011001001110060,樹里,結構ゲーセンとかでもやってたんだぜ,오락실 같은 데서 꽤 많이 했었지
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 얘기했으려나)"
1011001001110070,樹里,"牧場か
なんかすぐ眠くなっちまいそうだなー","목장?
왠지 금방 졸리게 될 것 같은데"
1011001001110080,樹里,ま、候補として考えとくよ,"뭐, 후보로 생각해 둘게"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽…… 실수했다. 다른 얘기를 했으면 좋았을 텐데……)
info,produce_communications/101100100111.json,
译者,,
