id,name,text,trans
0000000000000,プロデューサー,美琴、おはよう！,"미코토, 안녕!"
1025001000810010,美琴,"……！　びっくりした……
プロデューサーか……","……! 깜짝이야……
프로듀서구나……"
0000000000000,プロデューサー,"はは、驚かせてすまん
──あれ、テレビ、消しちゃったのか？","하하, 놀래켜서 미안
──어라, TV, 끈 거야?"
0000000000000,プロデューサー,"見てても良かったのに
この時間なら多分……","보고 있어도 괜찮았는데
이 시간이라면 아마……"
select,,"天気予報
やってるよな","일기예보
하고 있지"
select,,"占いコーナー
やってるよな","점 코너
하고 있지"
select,,"芸能ニュース
やってるよな","예능 뉴스
하고 있지"
0000000000000,プロデューサー,"今週のスケジュール的に
晴れてくれると助かるんだが……","이번 주 스케줄 상
날이 개면 좋을 텐데……"
1025001000810020,美琴,"それじゃあ、
ちょっと見てみようか","그럼,
잠깐 봐볼까"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 얘기했다)"
1025001000810030,美琴,"プロデューサー、
そういうの気にするの？","프로듀서,
그런 거 신경 써?"
1025001000810040,美琴,"……ちょっと意外だね
なんだか可愛いけど","……좀 의외인걸
뭔가 귀여운데"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 얘기했나)"
1025001000810050,美琴,"うん……でも
ちょうどさっき終わったところ","응……그치만,
방금 막 끝난 참이야"
1025001000810060,美琴,"そんなに気になるものは
無かったけど","그렇게 신경쓰이는 건
없었는데"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽…… 실수했다. 다른 걸 얘기했으면 좋았을텐데……)
info,produce_communications/102500100081.json,
번역자,,
