id,name,text,trans
3021008010010,果穂,…………,…………
3021008010020,果穂,わぁ……！,와아……!
0000000000000,円香,………………,………………
3021008010040,果穂,…………,…………
3021008010050,果穂,…………！,…………!
3021008010060,果穂,…………,…………
3021008010070,果穂,……っ,……엣
3021008010080,果穂,くしゅんっ……,에취……
3021008010090,果穂,えへへ……,에헤헤……
3021008010100,円香,寒いなら部屋に戻ったら,추우면 방에 돌아가는 게 어때?
3021008010110,円香,"……って言ってくれる、
優しいお姉さんはここにはいないから","……라고 말해주는
착한 언니는 여기 없으니까"
3021008010120,円香,"自分で考えて、
ちゃんと戻りなよ","스스로 잘 생각해서,
잘 돌아가렴"
3021008010130,果穂,……はい！,……네!
3021008010140,果穂,……円香さんは寒くないですか？,……마도카 씨는 안 추우신가요?
3021008010150,円香,大丈夫,괜찮아
3021008010160,果穂,"あの……
円香さんは屋上好きですか？","저기……
마도카 씨는 옥상 좋아하세요?"
3021008010170,果穂,"あっ、えっと
たまにいるなって思って……！","앗, 그
가끔씩 계신 것 같아서……!"
3021008010180,円香,"別に
そういうわけじゃない","딱히
그런 건 아니야"
3021008010190,果穂,そうですか……,그런가요……
3021008010200,果穂,あたしも、たまに屋上来るんですけど……,저도 가끔씩 옥상에 오는데……
3021008010210,果穂,でも、ちょっとさみしい気持ちになる時があって……,"그런데, 조금 쓸쓸한 기분이 들 때가 있어서……"
3021008010220,円香,……そうなんだ,……그렇구나
3021008010230,果穂,"ま、円香さん……！
あの、あの……","마, 마도카 씨……!
저, 저어……"
3021008010240,果穂,『ひとりでたそがれるのがお好きですか？』,'혼자서 황혼하는 걸 좋아하시나요?'
3021008010250,円香,……え？,……에?
3021008010260,果穂,そうじゃなかったら、その……！,"그런 게 아니라면, 저기……!"
3021008010270,果穂,『ご一緒してもいいでしょうか？』,'함께해도 될까요?'
3021008010280,円香,……何？,……뭐?
3021008010290,円香,"どこかのドラマみたいなセリフ
どういう意味？","무슨 드라마에 나올 법한 대사네
무슨 뜻이야?"
3021008010300,果穂,"あっ！　えっと……！
たそがれは、考え事をするとか……","앗! 그게……!
황혼은, 생각에 잠기거나……"
0000000000000,円香,……………………,……………………
3021008010320,円香,うん,응
3021008010330,果穂,ぼーっとする、みたいな……意味、で……？,"멍하니 있는다, 같은……뜻, 으로……?"
3021008010340,円香,そう,그래
3021008010350,円香,"……一応、教えてあげるけど
『たそがれ』に考え事をするって意味はない","……일단 가르쳐주자면
'황혼'에 생각에 잠긴다는 뜻은 없어"
3021008010360,円香,"夕暮れ、それから終わりに近づく時……
そういう意味しかない","해질녘, 그리고 마지막에 가까워질 때……
그런 뜻밖에 없어"
3021008010370,円香,テストに出たら間違えないようにね,시험에 나오면 실수하지 않도록 해
3021008010380,果穂,……はい！,……네!
3021008010390,円香,……話を戻すけど,……원래 이야기로 돌아가자면
3021008010400,円香,私は別に『たそがれ』ていたわけじゃない,나는 딱히 '황혼'하고 있지는 않아
3021008010410,果穂,……！,……!
3021008010420,円香,でも、そう見えたの？,"그런데, 그렇게 보였어?"
3021008010430,果穂,あ……,아……
3021008010440,果穂,ご、ごめんなさい……,"죄, 죄송해요……"
3021008010450,円香,……ん？,……응?
3021008010460,果穂,"あの……失礼なこと言っちゃって……
ごめんなさい……","저…… 실례되는 말을 해서……
죄송해요……"
3021008010470,円香,……,……
3021008010480,円香,怒ったように見えた？,화난 것처럼 보였어?
3021008010490,果穂,えっ、あ…………,"엣, 아…………"
3021008010500,円香,怒ってない,화 안 났어
3021008010510,円香,ごめんね,미안해
3021008010520,果穂,いえ……！,아니에요……!
3021008010530,円香,……ごめんね、小学生と接する機会があまりなくて,"……미안해, 초등학생이랑 만날 기회가 별로 없어서"
