id,name,text,trans
4901029040010,灯織,チョコレート……？,초콜릿……?
4901029040020,灯織,なんというか、珍しいですね……？,"뭐랄까, 색다르네요……?"
0000000000000,プロデューサー,"灯織がおせんべいをくれたからさ
俺も定番以外で考えてみたんだ","히오리가 전병을 줬으니까
나도 스테디셀러를 제외하고 생각해봤어"
0000000000000,プロデューサー,"暖かい時期には難しい食べ物だから、
今かなと思って","따뜻한 시기에는 먹기 힘든 음식이니까
지금인가 싶어서"
4901029040030,灯織,"ああ……なるほど、確かに
溶けちゃいますもんね","아…… 그렇네요, 확실히
녹아버리니까요"
4901029040040,灯織,風味も変わってしまいますし,풍미도 변해버리고
0000000000000,プロデューサー,"うん
だから、俺なりに美味しいと思ったものにしてみた","응
그래서 내 나름대로 맛있다고 느꼈던 걸로 골라봤어"
0000000000000,プロデューサー,灯織の口にも合うといいんだけど,히오리 입맛에도 맞았으면 좋겠는데
4901029040050,灯織,"プロデューサー、私の味付けの料理が平気ですし
逆も問題ないと思いますよ","프로듀서, 제가 맛을 낸 요리 잘 드시니까
반대도 문제없을 거예요"
4901029040060,灯織,"ふふ……
食べるのが楽しみです","후후……
먹는 게 기대되네요"
info,special_communications/490102904.json,
번역자,,
