id,name,text,trans
2003012030010,めぐる,～♪,~♪
0000000000000,プロデューサー,（めぐる、なんだかご機嫌だな……？）,"(메구루, 어쩐지 기분이 좋아 보이네……?)"
2003012030020,めぐる,ん、オッケー,"응, 오케이"
0000000000000,プロデューサー,……？,……?
0000000000000,プロデューサー,ん……？,음……?
0000000000000,プッシュ通知,『八宮めぐるさんが写真を投稿しました』,『하치미야 메구루 님이 사진을 올렸습니다』
0000000000000,プロデューサー,（なるほどな……！）,(그렇구나……!)
2003012030030,めぐる,『ロケ弁！！！！！！！』,『로케 도시락!!!!!!!』
2003012030040,めぐる,"『#遅めのお昼　#美味しい　#ぺろりしました
#有名なところのなんだって　#みんな知ってる？』","『#늦은점심 #맛있네 #낼름했어요
#유명한가게거래 #다들알고있어?』"
2003012030050,めぐる,"『#真乃と灯織と中身がちょっとずつ違うんだよー！
#もはや間違い探し　#どっちも美味しそうだった！』","『#마노랑히오리랑내용물이조금씩달라ー!
#어느새틀린그림찾기 #둘다맛있어보였어!』"
2003012030060,めぐる,"『#この後も頑張りまーす
#放送日はまたお知らせするねー！』","『#이다음에도열심히할게요ー
#방송날짜는나중에또알려줄게ー!』"
0000000000000,プロデューサー,めぐる、最近ツイスタマメだな,"메구루, 요즘 트위스터 부지런히 하네"
2003012030070,めぐる,"えへへっ、うん！
なるべく毎日更新を目指してるの！","에헤헷, 응!
되도록이면 매일 올리려고 하고 있어!"
2003012030080,めぐる,今日のめぐる！　みたいな！,오늘의 메구루! 같이 말야!
2003012030090,めぐる,わたし、よくスマホ使うし写真も結構撮ってるでしょ？,"나, 폰 자주 쓰고 사진도 꽤 많이 찍잖아?"
0000000000000,プロデューサー,うん、そうだな,"응, 그렇지"
2003012030100,めぐる,で、ツイスタアカウントも持ってる,"그래서, 트위스터 계정도 가지고 있어"
2003012030110,めぐる,それなのに、今まであんまり使ってなかったから……,"그런데도, 지금까지 별로 사용하지 않았으니까……"
2003012030120,めぐる,もったいないことしてるなーって思って！,아까운 짓을 하고 있구나 싶어서!
0000000000000,プロデューサー,もったいない、か,"아깝다, 라"
2003012030130,めぐる,"だってそうじゃない？
こうやって──","그게 그렇잖아?
이렇게"
0000000000000,ツイスタコメント,"『めぐるちゃんお仕事お疲れ様！』
『今日は衣装なんだねー、歌の方？』","『메구루쨩 일하느라 수고하네!』
『오늘은 의상이구나, 노래쪽 일?』"
0000000000000,ツイスタコメント,"『お弁当屋さん知ってる！　他の人も時々話題にしてるよ』
『飯テロ～』","『도시락집 알아! 다른 사람도 종종 이야기하더라』
『위꼴 사진~』"
2003012030140,めぐる,こんなに簡単に、みんなの近くに行けるんだよ,"이렇게 쉽게, 모두에게 가까이 갈 수 있다구"
2003012030150,めぐる,むしろ、なんで今までやってこなかったんだー！　って感じ,"오히려, 왜 여태껏 안 했을까! 란 느낌"
0000000000000,プロデューサー,（……うん）,(……음)
select,,"（たぶん無意識
なんだけど）","(아마 무의식 중에
했겠지만)"
select,,"もしかして、
勉強した？","혹시,
공부했어?"
select,,さすがだな,역시 대단한걸
0000000000000,プロデューサー,（ブランディングに近いこと、してるんだよなぁ）,(브랜딩에 가까운 일을 하고 있는 거지)
0000000000000,プロデューサー,めぐるってすごいよなぁ,메구루는 굉장하네
2003012030160,めぐる,"ええっ！？　突然どうしたの？
っていうか、すごいって、何が？","에엣!? 갑자기 왜 그래?
아니 그것보다, 굉장하다니, 뭐가?"
0000000000000,プロデューサー,"嗅覚っていうかさ
自分に合ってるやり方を見つけるのが、かな","후각이라고 할까
자기에게 맞는 방법을 찾아내는 점, 이려나"
2003012030170,めぐる,そうかな？　だったら嬉しいなー！,그런가? 그럼 다행이다ー!
2003012030180,めぐる,ツイスタするの、すっごく楽しいから！,"트위스터 하는 거, 엄청 즐거우니까!"
2003012030190,めぐる,"どこにいても、ツイスタって場所なら
みんなと繋がれるんだって","어디에 있든, 트위스터라는 곳에서는
모두와 이어질 수 있대"
2003012030200,めぐる,プッシュ通知の音が嬉しくなっちゃうくらいなんだよー！,푸시 알림 소리가 기쁘게 들릴 정도야!
2003012030210,めぐる,えへへっ……！,에헤헷……!
2003012030220,めぐる,勉強？　何をー？,공부? 뭐를?
0000000000000,プロデューサー,……いや,……아
0000000000000,プロデューサー,（すごいな、無意識でブランディングをやってるのか）,"(굉장하네, 무의식적으로 브랜딩을 하고 있는 건가)"
0000000000000,プロデューサー,なぁ、めぐる,"있잖아, 메구루"
2003012030230,めぐる,ん？,응?
0000000000000,プロデューサー,ツイスタ楽しいか？,트위스터 즐거워?
2003012030240,めぐる,えへへっ、うん,"에헤헷, 응"
2003012030250,めぐる,とーっても！　わたしに合ってるみたい！,엄ー청! 나한테 맞는 것 같아!
2003012030260,めぐる,やっぱり、色んな人と交流できるっていいよね！,"역시, 여러 사람과 교류할 수 있는 건 좋은 일이야!"
2003012030270,めぐる,んん？　何が？,으응? 뭐가?
0000000000000,プロデューサー,"……あれ、もしかして食い違ってるか
ブランディングしてるんだと思ってたんだけど","……어라, 혹시 잘못 짚었나?
브랜딩하고 있는 줄 알았는데"
2003012030280,めぐる,ブランディング……？,브랜딩……?
0000000000000,プロデューサー,"いや、そうか……！
なんでもないよ","아니, 그렇구나……!
아무것도 아니야"
2003012030290,めぐる,ええー！　気になるなー、ブランディング！,"에에! 궁금한걸, 브랜딩!"
2003012030300,めぐる,調べちゃお！,찾아봐야지!
2003012030310,めぐる,……────,……────
2003012030320,めぐる,んー、わたしには高度過ぎて難しいや……！,"음, 나한테는 너무 수준 높은 이야기라 어렵네……!"
2003012030330,めぐる,これまで通り、気にせず更新することにするよー！,"지금까지처럼, 신경 안 쓰고 갱신하는 걸로 할게!"
info,produce_events/200301203.json,
번역자,,
