id,name,text,trans
4001046060001,一同,お疲れ様でした……！,수고하셨습니다……!
4001046060010,樹里,"や、けど本当によかったよな
ナイス連携……！","이야, 그래도 진짜 다행이었네
나이스 연계……!"
4001046060020,智代子,"うん……！
みんなのおかげで助かりました……！","응
모두 도와준 덕분에 살았어……!"
4001046060030,果穂,"いえっ
上手くいってよかったです……！","아뇨
잘돼서 다행이에요……!"
4001046060040,夏葉,"私たち、こういうシチュエーションに
縁があるのかしら……","우리들, 이런 상황에
무슨 인연이라도 있는 걸까……"
4001046060050,凛世,スパイの……ようです……,스파이…… 같습니다……
4001046060051,智代子＆樹里,それ！,맞아!
4001046060052,一同,ふふふっ,후후훗
4001046060060,樹里,"──でも、ずいぶん急だったよな
先生、今日どうしたんだ？","그런데 꽤 갑작스러웠네
선생님, 오늘 무슨 일 있었어?"
4001046060070,果穂,"んと……
その…………","저기……
그게……"
4001046060080,凛世,"……
少し……","……
약간……"
4001046060090,凛世,"気に病んで……
おられるようです……","마음에 걸리시는 게……
있는 것 같습니다……"
4001046060091,智代子＆樹里,……！,……!
4001046060100,夏葉,……インタビュー中にそういう話になったのよ,……인터뷰 도중에 그런 일이 있었어
4001046060110,夏葉,"先生にとって、この産休は……
みんなに対して申し訳なく思うものでもある、って","선생님에게 있어서, 이번 출산휴가는
모두에게 미안한 일이기도 하다고"
4001046060120,夏葉,そう言っていたの,그렇게 얘기했었어
4001046060130,果穂,"そんなことないです、って
伝えたかったんですけど……","그렇지 않아요, 라고
전해드리고 싶었지만……"
4001046060140,樹里,……難しかったわけか,……어려웠단 건가
4001046060141,一同,……,……
4001046060150,凛世,２組の……ことを……,2반…… 분들을……
4001046060160,凛世,"心から……
思って……おられます……","진심으로……
생각하고…… 계십니다……"
4001046060170,夏葉,……ええ。でも,……맞아. 하지만
4001046060180,夏葉,その場所が大好きであればあるほど,그곳을 좋아하면 좋아할수록
4001046060190,夏葉,"自分がきっかけで変化が起こってしまうとすれば
気にせずにはいられない","자신을 계기로 변화가 일어나게 된다면
신경이 쓰일 수밖에 없지"
4001046060200,夏葉,……気持ちは、わかるの,……마음이 이해가 가
4001046060201,一同,……,……
4001046060210,夏葉,──それでも,──그렇다고 해도
4001046060220,夏葉,"みんなのオーダーがある以上、
私たちは諦められないわよね","모두에게 받은 주문이 있는 이상,
우리들은 포기할 수 없어"
4001046060230,夏葉,準備はいい？,준비됐어?
4001046060231,一同,──！,──!
4001046060240,智代子,"ごめんって気持ちがあるままで
終わってほしくないよね","미안한 마음을 가지신 채로
끝나지 않았으면 좋겠어"
4001046060250,智代子,"だって２組のみんなは
先生のことを応援してるんだもん","그야 2반 모두는
선생님을 응원하고 있는걸"
4001046060260,凛世,はい……,네……
4001046060270,凛世,"大切な……方の……
枷には……","소중한…… 분의……
족쇄는……"
4001046060280,樹里,"だな
絶対なりたくない","맞아
절대 되고 싶지 않아"
4001046060290,樹里,"負い目なんて感じずに
笑ってもらえるのが一番だ","부채 의식 같은 것 없이
웃어주는 게 최고야"
4001046060300,智代子,"うん
──私たちも、２組のみんなと気持ちは一緒","응
우리들도 2반 모두와 같은 마음이야"
4001046060310,智代子,"そうやって送り出したいし、
先生には、そうやって送り出されてほしい","그렇개 배웅해주고 싶고,
선생님도 그렇게 배웅 받았으면 좋겠어"
0000000000000,生徒１,"それでは！
ただいまより、『先生を送る会』を始めます！","자 그러면!
지금부터, '선생님 송별회'를 시작하겠습니다!"
0000000000000,先生,"わー！
ありがとう……！","와!
고마워……!"
0000000000000,生徒１,──と思うのですが、その前に……！,──라고 생각하시기 전에……!
0000000000000,先生,？,?
4001046060320,夏葉,"──……気にしなくていい、と言っても
気になってしまうのが難しいところよね","……신경쓸 필요 없다고 말해도
신경이 쓰인다는 게 어려운 부분이지"
4001046060330,夏葉,"本人に納得してもらえない限り
ずっと気持ちは晴れないままだろうから──……","본인이 납득하지 않는 한
계속 마음이 편치 않을 테니까……"
4001046060340,果穂,……──いっぱい、いっぱい伝えないと……！,"……잔뜩, 잔뜩 전해줘야 해요……!"
4001046060350,果穂,"さびしいけど、
それよりもっともっとうれしいんだよって！","쓸쓸하지만,
그것보다 훨씬 더 많이 기쁘다고!"
0000000000000,生徒１,スペシャルゲストをお呼びしましょう！,스페셜 게스트를 모시겠습니다!
0000000000000,先生,え！？,에!?
4001046060360,夏葉,──行くわよ！,──가자!
4001046060361,一同,──！,──!
4001046060370,果穂,"プロデューサーさん！
ライブをさせてください！","프로듀서님!
라이브를 하게 해주세요!"
4001046060380,果穂,あたしたちから先生に何かしたくて……,저희들도 선생님에게 뭔가 해주고 싶어서……
4001046060390,樹里,"それが、２組のみんなへのプレゼントにも
なると思うんだ。だから──","그게 2반 모두에게도 주는 선물이
될 것 같아. 그러니까──"
0000000000000,プロデューサー,──……なるほど,……그렇구나
0000000000000,プロデューサー,"みんなの考える一番の方法が、
ライブ、ってわけだな？","모두가 생각한 가장 좋은 방법이
라이브라는 거지?"
4001046060400,凛世,はい……,네……
4001046060410,智代子,"歌っただけで、何かが解決するわけじゃないかもしれません
──でも","노래하는 것만으로는, 무언가가 전해지지 않을지도 몰라요
──하지만"
