id,name,text,trans
2015012110010,甜花,…………あうぅ……,…………아우으……
0000000000000,プロデューサー,…………,…………
0000000000000,プロデューサー,"（甜花、落ち込んでるな……
どうしたんだろう……）","(텐카, 침울해하고 있네……
무슨 일인걸까……)"
0000000000000,プロデューサー,…………,…………
0000000000000,プロデューサー,"……そうだ、甜花
この前はチョコ、ありがとうな……！","……맞다, 텐카
저번에 초콜릿 줘서, 고마워……!"
0000000000000,プロデューサー,甜花にチョコ、たくさんもらっちゃったからさ,"텐카한테 초콜릿을, 잔뜩 받았으니까"
0000000000000,プロデューサー,"毎日の楽しみにして
ちょっとずつ頂いてるよ、はは……！","하루의 즐거움 삼아서
조금씩 먹고 있어, 하하……!"
2015012110020,甜花,"……うん……
そっ、か……","……응……
그렇, 구나……"
0000000000000,プロデューサー,"……どうしたんだ？
元気ないな、甜花……","……왜 그래?
기운이 없네, 텐카……"
2015012110030,甜花,…………,…………
2015012110040,甜花,"甜花……
バレンタインのお仕事、いっぱいで……","텐카……
발렌타인 일이, 잔뜩 있어서……"
2015012110050,甜花,いっぱい、チョコ、食べた……,"잔뜩, 초콜릿, 먹었어……"
2015012110060,甜花,"そしたら……
こないだ、スタイリストさんが……","그랬더니……
저번에, 스타일리스트님이……"
2015012110070,甜花,"これ以上は衣装、入らなくなるから
チョコ……やめてね、って……","이 이상은 의상, 안 들어가게 되니까
초콜릿…… 그만 먹어, 래……"
0000000000000,プロデューサー,そ、そうだったのか……,"그, 그랬구나……"
2015012110080,甜花,"こんなになるなら……
チョコの味、最初から、知りたくなかった……","이렇게 될 줄 알았으면……
초콜릿의 맛, 처음부터, 모르는 게 나았어……"
2015012110090,甜花,"甜花……バレンタインは……
もう、こりごり……","텐카…… 발렌타인은……
이제, 지긋지긋해……"
0000000000000,プロデューサー,て、甜花……,"테, 텐카……"
0000000000000,プロデューサー,"──そうだ
確か、お菓子置き場に……","──그렇지
분명, 과자 두는 곳에……"
0000000000000,プロデューサー,"あったぞ、これならどうだ？
ハイカカオのチョコレート","있었네, 이거라면 어때?
고함량 카카오 초콜릿"
2015012110100,甜花,ハイカカオ……,고함량 카카오……
0000000000000,プロデューサー,"要は、チョコを食べても体型に
影響が出なきゃいいってことだと思うんだ","요는, 초콜릿을 먹어도 체형에
영향이 없으면 되는 거라고 생각해"
0000000000000,プロデューサー,"だから、砂糖の少ないこのチョコなら
食べてもいいんじゃないかな","그러니까, 설탕함량이 적은 초콜릿이라면
먹어도 괜찮지 않을까"
0000000000000,プロデューサー,我慢して辛くなるよりもさ……！,참아서 괴로워지는 것보단 말야……!
2015012110110,甜花,ほ、ほんとに……？,"저, 정말로……?"
0000000000000,プロデューサー,"ああ
もちろん、食べすぎはダメだけどな……！","응
물론이지, 너무 먹으면 안 되지만……!"
2015012110120,甜花,"にへへ……
うん……！","니헤헤……
응……!"
2015012110130,甜花,"じゃあこれ、
いただきまーす──……！","그럼 이거
잘 먹겠습니다──……!"
2015012110140,甜花,…………,…………
2015012110150,甜花,──ひぃっ……！,──히잇……!
2015012110160,甜花,に……苦い……！！,ㅆ……써……!!
0000000000000,プロデューサー,"す、すまん
口に合わなかったか……","미, 미안
입에 안 맞았나 보네……"
2015012110170,甜花,……あうぅ……,……아우으……
0000000000000,プロデューサー,"大丈夫か？
甜花……","괜찮아?
텐카……"
2015012110180,甜花,プロデューサーさん……,프로듀서님……
2015012110190,甜花,"や……
やっぱり甜花……──","여……
역시 텐카……──"
2015012110200,甜花,"バレンタインは、
もうこりごり……！","발렌타인은,
이제 지긋지긋해……!"
info,produce_events/201501211.json,
번역자,,
