id,name,text,trans
4019001000230010,愛依,うっわあの人、テレビでよく見る人じゃん……！,"우와 저 사람, 텔레비전에서 자주 본 사람이잖아……!"
0000000000000,プロデューサー,（愛依、少し腰が引けちゃってるな）,"(메이, 조금 위축됐구나)"
select,,"あの人、結構
優しいらしいぞ","저 사람, 꽤
상냥하다는 것 같아"
select,,"意識しすぎない
ようにな","너무 의식하지
말아"
select,,気にするな,신경 쓰지 마
4019001000230020,愛依,え、そうなん？　んじゃ後で話しかけてみよ～！,"에, 그래? 그러면 다음에 말 걸어봐야지~!"
0000000000000,プロデューサー,（気は紛れたみたいだ）,(기분 전환이 된 것 같다)
4019001000230030,愛依,"そ、そだよね……よし
気にしない、気にしない……っと","그, 그렇지…… 좋아
신경 쓰지 않는다, 신경 쓰지 않는다……"
0000000000000,プロデューサー,（なんとかなりそうだな）,(어떻게든 될 것 같다)
4019001000230040,愛依,いや、んなこと言っても気になんじゃん？,"아니, 그렇게 말해도 신경 쓰이잖아?"
0000000000000,プロデューサー,（違うことを言えばよかったな）,(다르게 말했다면 좋았으려나)
info,produce_communication_cheers/401900100023.json,
译者,,
