id,name,text,trans
1021004060001,円香,おはようございます,안녕하세요
0000000000000,スタッフ,おはようございまーす！,안녕하세요ー!
0000000000000,スタッフ,ついに今日が来ましたね,드디어 오늘이네요
0000000000000,スタッフ,"ソロライブ本番……
絶対に成功させましょう！","솔로 라이브 본방……
반드시 성공시킵시다!"
1021004060010,円香,はい,네
1021004060020,円香,よろしくお願いします,잘 부탁드립니다
0000000000000,照明スタッフ,"ポスターの厳かな雰囲気に合わせて、
ステージの演出も抑えめで構成したんだけど","포스터의 엄숙한 분위기에 맞춰서
스테이지 연출도 절제하는 느낌으로 구성했는데"
0000000000000,照明スタッフ,ラストではカラフルな照明を使おうと思うの,마지막에 컬러풀한 조명을 쓰려고 해
0000000000000,照明スタッフ,色は混ざると濁るけどね,색은 섞이면 탁해지지만
0000000000000,照明スタッフ,光は混ざると────,빛은 섞이면────
1021004060030,円香,────……,────……
1021004060040,円香,他人のためなんて自己陶酔,타인을 위해서라는 건 자기도취다
1021004060050,円香,そんな奉仕的な気持ちはない,그런 봉사하는 마음은 없다
1021004060060,円香,"もちろん自己承認の欲もない
──特に飢えてはいなかったから","물론 자기 승인 욕구도 없다
──딱히 굶주리지 않았으니까"
1021004060070,円香,でも、そうしたことより,"하지만, 그런 것보다"
1021004060080,円香,体が歌いたいと言っている,몸이 노래하고 싶다고 말을 한다
1021004060090,円香,私はその衝動で歌う,나는 그 충동으로 노래한다
1021004060100,円香,誰のためでもない,누구를 위해서도 아니다
1021004060110,円香,そういう誰のためでもない歌だから────,그런 누구를 위한 것도 아닌 노래니까────
1021004060120,円香,それを聞く『ひとりひとり』の歌になれ,그걸 듣는 『한 사람 한 사람』의 노래가 되어라
1021004060130,円香,そして、それを聞きたいと集まった人がいることを,"그래서, 그걸 듣고 싶어 모인 사람이 있다는 걸"
1021004060140,円香,私は,나는
0000000000000,プロデューサー,……ん？,……응?
0000000000000,プロデューサー,歌声……？,노랫소리……?
0000000000000,プロデューサー,誰かが歌っているのかな,누가 노래 부르나?
0000000000000,プロデューサー,"レッスン室……の歌がここまで届くわけないか
外か……屋上……？","레슨실……에서 부르는 노래가 여기까지 들릴 리 없지
밖인가…… 옥상……?"
0000000000000,プロデューサー,いや、気のせいかもしれないけど,"아니, 기분 탓일지도 모르지만"
0000000000000,プロデューサー,どこからか……,어디지……
0000000000000,プロデューサー,風に乗って────,바람에 실려서────
1021004060150,円香,『スケジュールの相談です』,『스케줄 상담이에요』
1021004060160,円香,『今日、ボーカルレッスンを入れられますか』,"『오늘, 보컬 레슨 넣어주실 수 있나요』"
0000000000000,プロデューサー,えっ、今日！？,"엣, 오늘!?"
0000000000000,プロデューサー,"ちょっと待ってな……
確認して折り返すよ","잠깐 기다려 봐……
확인하고 보내줄게"
1021004060170,円香,『急ですみません。無理であれば────』,『갑작스레 죄송해요. 힘들다면────』
0000000000000,プロデューサー,"はは、いやいや
大丈夫だよ","하하, 아냐아냐
괜찮아"
0000000000000,プロデューサー,歌いたい時に歌ってほしいんだ,노래 부르고 싶을 때 불러줬으면 좋겠어
0000000000000,プロデューサー,"今日もお疲れ様！
──さて、困ったことに腹ぺこだなあ","오늘도 수고했어!
──자, 곤란하게도 배가 고픈데"
0000000000000,プロデューサー,何が食べたい？,뭐 먹고 싶어?
1021004060180,円香,適当に近くでいいんじゃないですか,적당히 가까운 데서 먹으면 되지 않나요
0000000000000,プロデューサー,そうか？　じゃあ……,그래? 그럼……
0000000000000,プロデューサー,たっぷりエビグラタンかな,듬뿍 새우 그라탕인가
1021004060190,円香,そうですね,그렇네요
1021004060200,プロデューサー,行くか,"갈까
(가요)"
info,produce_events/102100406.json,
번역자,,
