id,name,text,trans
2014013110010,甘奈,"あれ……？
今、何か……","어라……?
지금, 뭔가……"
0000000000000,プロデューサー,ん？,응?
2014013110020,甘奈,あ……また……,아…… 또……
2014013110030,甘奈,冷たい……,차가워……
0000000000000,プロデューサー,"お、本当だ
俺も今、ちょっと感じたな","오, 정말이다
나도 지금 살짝 느꼈어"
2014013110040,甘奈,……降ってきたみたいだね,……내리기 시작했나 보네
0000000000000,プロデューサー,"ああ、予報より少し早いな
ちょっと急ぐか","응, 예보보다 조금 일찍이네
좀 서두를까?"
2014013110050,甘奈,ううん、大丈夫,"아니야, 괜찮아"
0000000000000,プロデューサー,けど、寒くなると辛いだろうし,하지만 추워지면 힘들 텐데
2014013110060,甘奈,えへへ、ありがと,"에헤헤, 고마워"
2014013110070,甘奈,"でも、ちゃんとカイロ持ってきてるから平気だよ
プロデューサーさんのも、はい","그치만 손난로 잘 챙겨왔으니까 괜찮아
프로듀서님 것도, 자"
0000000000000,プロデューサー,ありがとう,고마워
0000000000000,プロデューサー,"でも、俺は大丈夫だ
今は手が冷えてないからな","하지만 난 괜찮아
지금은 손이 차갑지 않아서"
0000000000000,プロデューサー,"それにしても、昨日は
天気がよかったのにな","그건 그렇고, 어제는
날씨가 좋았는데"
2014013110080,甘奈,夜は星、綺麗だったよね,밤에는 별 뜨고 예뻤지
2014013110090,甘奈,……降ってきちゃったのかな？,……내려와버린 걸까?
0000000000000,プロデューサー,ん？,응?
2014013110100,甘奈,星、お星さま,"별, 별님"
2014013110110,甘奈,昨日は空で輝いていた星がね,어제는 하늘에서 빛나던 별이 말야
2014013110120,甘奈,"今日は雪になって
降ってきちゃったのかなって","오늘은 눈이 돼서
내려와버린 걸까 해서"
2014013110130,甘奈,"どっちも白くてきらきらだから
そんなふうに思っちゃった","둘 다 하얗고 반짝반짝하니까
그런 생각이 들었어"
0000000000000,プロデューサー,……,……
0000000000000,プロデューサー,それなら、帰る時は雲に乗っていくんだろうな,그럼 돌아갈 때는 구름을 타고 가겠네
2014013110140,甘奈,？,?
0000000000000,プロデューサー,"星だって、降ってきちゃったら
きっと帰りたくなることもあるだろうから","별도 내려와버린 거라면
분명 돌아가고 싶을 수도 있을 테니까"
0000000000000,プロデューサー,乗り物、必要じゃないかって,타고 돌아갈 것이 필요하지 않을까 해서
2014013110150,甘奈,えへへ、そうだね,"에헤헤, 그렇네"
2014013110160,甘奈,じゃあ、次に星空が見える時があったら,그럼 다음에 별이 뜬 하늘을 볼 때가 생기면
2014013110170,甘奈,"甘奈
『ちゃんと帰れてよかったね』って","아마나
'잘 돌아갔구나' 하고"
2014013110180,甘奈,『おかえり』って言わないと,'어서 와' 하고 말해줘야겠다
0000000000000,プロデューサー,"きっと『ただいま』って返してくれるよ
優しい瞬きで","분명 '다녀왔어'라고 대답해줄 거야
다정하게 반짝거리면서"
0000000000000,プロデューサー,"……さて
そろそろ帰ろうか","……자 그럼
슬슬 돌아갈까"
0000000000000,プロデューサー,"あんまりゆっくりしてると
カイロの効きめ、なくなるから","너무 느긋하게 있으면
손난로 효력이 없어지니까"
2014013110190,甘奈,……そうだね──,……그렇네──
2014013110200,甘奈,──あ、でも……,"──아, 그런데……"
2014013110210,甘奈,"プロデューサーさんの手って
甘奈より温かいかな……？","프로듀서님 손은
아마나보다 따뜻하려나……?"
0000000000000,プロデューサー,"うーん……どうだろうな……
タイミングにもよると思うが","으음…… 글쎄……
그때그때 다를 것 같은데"
2014013110220,甘奈,……えへへ、そうだよね……,"……에헤헤, 그렇겠지……"
0000000000000,プロデューサー,"……？
どうしたんだ？","……?
왜 그래?"
2014013110230,甘奈,"ううん、別に……！
ただ……それなら……","아냐, 아무것도……!
그냥…… 그렇다면……"
2014013110240,甘奈,"カイロ、冷えちゃっても
大丈夫かな……なんて……","손난로, 식어도
괜찮으려나…… 해서……"
info,produce_events/201401311.json,
번역자,,
