id,name,text,trans
4001039080010,にちか,１、２、３、４────,"1, 2, 3, 4────"
4001039080020,美琴,──あと５セット,──앞으로 5세트
4001039080030,にちか,はい……！,네……!
4001039080040,にちか,────あっ、あの……,"────저, 저기……"
4001039080050,にちか,今のは、問題なかったですか……？,"방금 건, 문제 없었나요……?"
4001039080060,美琴,"問題はあるけど
……続けて","문제는 있었지만
……계속해 봐"
4001039080070,にちか,……えっ,……엣
4001039080080,美琴,"──先生、本番が近いですし、
そろそろ基礎の時間をリハに充てようと思います","──선생님, 본방이 가깝기도 해서
슬슬 기초 시간을 리허설로 채우려고 합니다"
0000000000000,ダンストレーナー,"ああ……！
にちかちゃんの基礎練習？","아아……!
니치카쨩 기초 연습?"
0000000000000,ダンストレーナー,"ふふっ、真面目……！
まだ続けてくれてたの？","후훗, 성실해라……!
아직도 계속 해줬어?"
4001039080090,美琴,"…………
必要なかったですか？","…………
필요없었던 건가요?"
0000000000000,ダンストレーナー,"ううん、もちろん必要だった
これからも","아니, 물론 필요하지
앞으로도"
4001039080100,美琴,……同じセット、私もやるから,"……같은 세트, 나도 할 테니까"
4001039080110,真乃,"『何を持っていっても、何度持っていっても
彼女の心を動かすことはできなかった』","『무엇을 가져다 줘도, 몇 번을 가져다 줘도
그녀의 마음을 움직일 수는 없었다』"
4001039080120,摩美々,"『しかし大抵の場合、どんなものを持っていこうとも
突き返されることはなかった』","『하지만 대부분의 경우, 어떤 것을 가져다 주더라도
퇴짜를 맞지 않았다』"
4001039080130,ヒロイン,"『ありがとう
素敵な品物ね、頂くわ』","『고마워
멋진 물건이네, 잘 받을게』"
4001039080140,ヒロイン,『また持ってきてね』,『또 가져와 줘』
4001039080150,霧子,"『と、仕掛け人形のようにあいを差し出すその手は筋張って
頬も少しずつこけていくように見えた』","『하며, 인형처럼 사랑을 내미는 그 손은 딱딱했고
볼도 조금씩 여위어 가는 것 같았다』"
4001039080160,智代子,『彼女の財は、尽きかけていた』,"『그녀의 재산은, 바닥나고 있었다』"
4001039080170,霧子,おはようございます……,안녕하세요……
0000000000000,店長,"──ああ、霧子ちゃん
おはよう","──아, 키리코쨩
안녕"
0000000000000,店長,"昨日はありがとねー
お客様も、すごく喜んでくださったの！","어제는 고마웠어ー
손님들도 엄청 기뻐하셨단다!"
4001039080180,霧子,"わ……！
よかった……","와……!
다행이다……"
0000000000000,店長,"支度してきて
お礼のメールとお写真も来てるから","준비하고 오렴
감사 메일이랑 사진도 와 있으니까"
4001039080190,霧子,"はい……！
着替えてきま────","네……!
갈아입고 올────"
4001039080200,霧子,────……,────……
4001039080210,霧子,"あ、あの……
これ…………","저, 저기……
이거…………"
0000000000000,店長,ああ……,아아……
0000000000000,店長,"折ってるの
さよならするお花","꺾어놨어
작별인사 할 꽃"
4001039080220,霧子,『実際、彼女の商いは成り立っていなかった』,"『사실, 그녀의 장사는 잘되지 않았다』"
