id,name,text,trans
1007004020010,結華,──っ,──흣
1007004020020,結華,"っあ～～ダメだ……！
もう一回……！",으아~~ 안됐어……!\n한 번 더……!
0000000000000,カメラマン,三峰さん、めちゃめちゃ練習されますね……！？,"미츠미네 씨, 엄청엄청 연습하시네요……!?"
1007004020030,結華,"はい！　めちゃめちゃ悔しいので！
全然跳べてなくて情けない限りです……！",네! 엄청엄청 분해서요!\n전혀 뛰지 못해서 한심하기 짝이 없어요……!
1007004020040,結華,"連続で何人成功できるか、って企画じゃないですか
三峰で止めるわけにはいかないですよね～……！","연속으로 몇 명 성공할까, 하는 기획이잖아요\n미츠미네에서 멈출 수는 없죠~……!"
1007004020050,結華,ん～～～～！,으~~~~!
0000000000000,SNSの投稿,"『三峰ちゃん、チャレンジ当日までに
はちゃめちゃ縄跳び上手くなっててすごかった！』","『미츠미네쨩, 도전 당일까지\n엉망진창이었던 줄넘기 잘하게 되어서 굉장했어!』"
0000000000000,SNSの投稿,"『あんなに頑張るなんて意外だったなぁ
もっと省エネなんだと思ってた』",『그렇게 열심히 하다니 의외였지\n좀 더 에너지 아낄 거라고 생각했어』
0000000000000,司会者,"正解です！
三峰さん、絶好調ですね～","정답입니다!\n미츠미네 씨, 기세가 좋네요~"
1007004020060,結華,"わーい！
ありがとうございます！",와ー이!\n감사합니다!
0000000000000,司会者,"さぁ、他のみなさんは
三峰さんの独走を止めることができるのか！","자, 다른 분들은\n미츠미네 씨의 독주를 막을 수 있을 것인가!"
0000000000000,司会者,まだまだ参りましょう！,계속해서 가보죠!
0000000000000,SNSの投稿,『三峰結華クイズ強っ！！』,『미츠미네 퀴즈 강하다!!』
0000000000000,SNSの投稿,"『強みをいかして前に出てきてくれるの、
嬉しいな～』",『강점을 살려서 앞으로 나와주는 거\n기쁘네~』
0000000000000,タレント,"ユニットメンバーの咲耶さんからタレコミです
『私が知っている結華の可愛いところは──』",유닛 멤버 사쿠야 씨가 보내주신 제보입니다\n『제가 알고 있는 유이카의 귀여운 점은──』
0000000000000,タレント,"『ケーキを食べる時、上にのっている苺などの飾りを
先に食べるか後に残すか、毎回こっそり悩むところです』","『케이크 먹을 때, 위에 있는 딸기와 같은 장식을\n먼저 먹을지 나중에 먹을지, 매번 몰래 고민하는 점입니다』"
1007004020070,結華,"うわーっちょっと待って！？
なんでそんなとこ見てるのさくやん！",우와ー 잠깐만!?\n왜 그런 걸 보고 있어 사쿠양!
1007004020080,結華,勘弁して～……！,좀 봐줘~……!
0000000000000,SNSの投稿,『可愛いwww割と乙女www』,『귀여워ㅋㅋㅋ생각보다 소녀ㅋㅋㅋ』
0000000000000,SNSの投稿,"『あんなにクールに歌う子が
こんな顔するなんて聞いてない』",『그렇게 쿨하게 노래하는 애가\n이런 표정 짓는다니 들어본 적 없는 얘기야』
0000000000000,SNSの投稿,『ギャップでどうにかなりそうなんだけど』,『갭 때문에 어떻게 되어버릴 것만 같아』
1007004020090,結華,"……これまでとは違う感じも出してみる……
って作戦は、一応、上手くいってる感じ……？","……지금까지와는 다른 느낌도 내본다……\n라는 작전은, 일단 잘 되어가고 있는 느낌……?"
0000000000000,プロデューサー,そうだな,그러네
0000000000000,プロデューサー,"最近はバラエティも多かったし、
ステージの上以外の結華を見せる機会も増えてたから","최근엔 버라이어티도 많았고,\n스테이지 위 말고 다른 유이카를 보여줄 기회도 많아졌으니까"
1007004020100,結華,……よかったぁ,……다행이다
1007004020110,結華,"やっぱ緊張するんだよねぇ
なんていうかこう、自分のガードの外側で戦う感じがして","역시 긴장된단 말이야\n뭐랄까 그, 내 가드 바깥에서 싸우는 느낌이 들어서"
0000000000000,プロデューサー,……大丈夫か？,……괜찮아?
1007004020120,結華,えっ、あっ、全然問題なし！,"엣, 아, 전혀 문제 없어!"
1007004020130,結華,"楽しいんだよ。自分から、自分の幅を広げていこうなんて
思うことがあると思ってなかったから",즐거워. 스스로 자신의 폭을 넓혀가자고\n생각하게 될 줄은 몰랐으니까
1007004020140,結華,"──ふふっ、三峰の向上心も
まだまだ捨てたもんじゃないよね","──후훗, 미츠미네의 향상심도\n아직 쓸만한 가치가 있네"
0000000000000,プロデューサー,"そうだなぁ
結華もそう気付いてくれたんなら上々だ",그러게\n유이카도 그걸 알게 되었다면 더할 나위 없지
1007004020150,結華,あ～、またそうやってプレッシャー発言～,"아~, 또 그런 식으로 부담 주는 발언~"
1007004020160,結華,……っていうのもさ,……그런 것도 뭐
1007004020170,結華,"プレッシャーじゃなくて、励ましだなぁって
思えるようになったから",부담이 아닌 격려의 말이구나 라고\n생각하게 되었으니까
1007004020180,結華,なんかね、前向きなの,"뭔가 있지, 진취적이야"
1007004020190,結華,"これまでやってきたことと違うことしようとしてるけど
怖いよりも、やってやるぞ～！　が強くて","지금까지 하던 일과는 다른 일을 하려 하고 있지만\n두려움보다도, 해보자~! 하는 생각이 강해서"
0000000000000,プロデューサー,そうか,그렇구나
1007004020200,結華,"うん！
──ほらっ、ワンマンライブもあるし！","응!\n──그 왜, 단독 라이브도 있고!"
1007004020210,結華,この作戦、成功させてさ,"이 작전, 성공해서"
1007004020220,結華,"いろんな三峰を見たファンのみんなに
もっと三峰にハマってもらって",다양한 미츠미네를 본 팬들을\n더욱 더 미츠미네에게 빠져들게 만들어서
1007004020230,結華,"その上で本業の三峰をお出しして、
もっともっと落ちてもらいたいじゃん？","거기에 더해 원래의 미츠미네를 내놓아서,\n더더욱 빠지게 만들고 싶잖아?"
1007004020240,結華,"──そのためには
準備をちゃんとしなくちゃだから",──그러기 위해서는\n준비를 확실히 해야만 하니까
1007004020250,結華,"いろんな三峰を、いろんな伝え方で──
ちゃんと、知ってもらうの","다양한 미츠미네를,. 다양한 전달 방법으로──\n확실하게, 알리는 거야"
0000000000000,プロデューサー,……──そうか,……──그렇구나
1007004020260,結華,うん！,응!
0000000000000,プロデューサー,"（……結華は本当に、
今回のことに前向きに取り組んでる）","(…… 미츠미네는 정말로,\n이번 일에 진취적으로 임하고 있어)"
0000000000000,プロデューサー,（危なっかしさはない、それはそうだ）,(염려스러운 모습은 없어. 그건 맞아)
0000000000000,プロデューサー,（────……でも、なんとなく……）,"（────……그런데, 왠지 모르게……)"
0000000000000,プロデューサー,"んー……
杞憂ならいいんだけどな……",음ー……\n기우였으면 좋겠는데……
info,produce_events/100700402.json,
번역자,,
