id,name,text,trans
0000000000000,off,"ハッピーハロウィンという
メッセージが添えられたお菓子────","해피 할로윈이라는
메시지가 붙은 과자────"
0000000000000,off,"それは見た目はそっくりだが、
どちらかが『超すっぱい』ふたつのプチケーキだった","겉보기에는 똑같은 작은 케이크 두 개지만,
하나만 『완전 시큼한』 케이크였다"
4901025150010,甜花,"え……
にぶんのいち……ってこと……？","에……
2분의 1……이란 뜻……?"
0000000000000,プロデューサー,……そういうことだな……,……그런 뜻이겠지……
4901025150020,甜花,"え、えと……
どうしよ……どっちかな……","어, 어어……
어떡하지…… 어느 쪽일까……"
4901025150030,甜花,"プロデューサーさん……
先に、選んで……","프로듀서님……
먼저, 골라……"
select,,左を食べる,왼쪽을 먹는다
select,,右を食べる,오른쪽을 먹는다
0000000000000,プロデューサー,"…………！
す、すっぱ…………！？","…………!
시, 시큼해…………!?"
4901025150070,甜花,"だ、大丈夫……？
これ、水……飲んで……！","괘, 괜찮아……?
여기, 물…… 마셔……!"
0000000000000,プロデューサー,"あ、ああ……
ありがとう、甜花──","아, 응……
고마워, 텐카──"
4901025150080,甜花,──あ、でも…………,"──아, 그치만…………"
4901025150090,甜花,"にへへ……
甜花の、勝ち……！！","니헤헤……
텐카의, 승리……!!"
0000000000000,プロデューサー,"…………
うん、甘いな……","……
응, 달콤하네……"
4901025150040,甜花,ひぃ…………っ！,히익…………!
0000000000000,プロデューサー,だ、大丈夫か甜花！？,"괘, 괜찮아 텐카!?"
0000000000000,プロデューサー,"口直しの何か、持ってくるよ
水でいいか……！？","입가심 거리 가지고 올게
물이면 되겠어……!?"
4901025150050,甜花,"……げほっ
う、うん……","……콜록
으, 응……"
4901025150060,甜花,"あと……甘いケーキも……
お願い……","그리고…… 달콤한 케이크도……
부탁할게……"
info,mypage_communications/490102515.json,
번역자,,
