id,name,text,trans
0000000000000,プロデューサー,"おはよう甜花
……どうしたんだ？　変な顔して","안녕, 텐카
……왜 그래? 이상한 표정 하고 있고"
1015001000410010,甜花,"あの……プロデューサーさん……
やっぱり甜花……お家が好き……","저…… 프로듀서님……
역시 텐카…… 집이 좋아……"
1015001000410020,甜花,"だから、その……
あんまり、外には出たくない、かも……","그러니까, 그……
그다지, 밖에는 나가고 싶지 않은, 걸지도……"
0000000000000,プロデューサー,"（うーん……
甜花は家にいたいのか……？）","(음ー……
텐카는 집에 있고 싶은 건가……?)"
select,,家は楽だもんな,집에 있으면 편하지
select,,出かけるのも楽しいぞ,외출도 즐거워
select,,帰りたいのか？,"돌아가고 싶은 거야? "
1015001000410030,甜花,"うん……お家にいるとパソコンも……
ゲームもできるし……","응…… 집에 있으면 컴퓨터 하고……
게임도 할 수 있고……"
1015001000410040,甜花,"お家で、楽しいこと、いっぱいして……
お仕事も……いっぱい、頑張るね……","집에서, 즐거운 일, 많이 하고……
일도…… 많이, 힘낼게……"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 얘기했다)"
1015001000410050,甜花,"ひとりでお出かけしても……あんまり……
人がいるとこ……怖いし……","혼자서 외출해도…… 그다지……
사람이 있는 곳…… 무섭고……"
1015001000410060,甜花,あ、でも……なーちゃんがいると……楽しい、かな……,"아, 그렇지만…… 나쨩이 있으면…… 즐거울, 지도……"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 얘기했으려나)"
1015001000410070,甜花,"あう……そういうことじゃなくて……
あの……","아으…… 그런 게 아니라……
저기……"
1015001000410080,甜花,その……ごめんなさい……,그…… 죄송해요……
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽…… 실수했다. 다른 얘기를 했으면 좋았을 텐데……)
info,produce_communications/101500100041.json,
译者,,
