id,name,text,trans
select,,真相ファイルです,진상 파일입니다
select,,ゴルフクラブです,골프채입니다
select,,共犯者です,공범자입니다
4901032390020,真乃,あ、あれ……？,"어, 어라……?"
0000000000000,弟子,…………,…………
0000000000000,弟子,（確かに、ファイルでは道は作れない、か……）,"(확실히, 파일로 길은 만들 수 없겠지……)"
0000000000000,弟子,すみません、少し勘違いをしていたようです,"죄송합니다, 조금 착각을 했나 봅니다"
4901032390010,真乃,"……私もそう思います……っ
きっと、犯人は──","……저도 그렇게 생각해요……
분명, 범인은──"
0000000000000,弟子,"犯人は共犯者に支えてもらい、
天窓に手をかけ、脱出したのではないでしょうか","범인은 공범자의 도움을 받아,
천창에 손을 얹어 탈출한 것 아닐까요?"
4901032390030,真乃,"……す、すみません……っ
それだと、共犯の方が部屋を出られないと思います……","……시, 실례지만……
그러면 공범자 쪽이 방을 나갈 수 없다고 생각해요……"
4901032390040,真乃,最初の犯人と、同じ状況になってしまいますから……,첫 번째 범인과 같은 상황이 되어버리니까요……
0000000000000,弟子,…………,…………
0000000000000,弟子,（確かに、彼女の言うとおりだ……）,"(확실히, 그녀 말대로다……)"
0000000000000,弟子,すみません、少し勘違いをしていたようです,"죄송합니다, 조금 착각을 했나 봅니다"
0000000000000,弟子,"ゴルフクラブを何本か束ねて、
オブジェを支える棒と棒の間に橋渡しにしたんでしょう","골프채 몇 개를 묶어서
오브제를 떠받치는 막대기와 막대기 사이에 다리를 놓아두었겠죠"
4901032390050,灯織,なるほど,그렇구나
4901032390060,灯織,"だから、オブジェを支える部品と、
ゴルフクラブに擦れた傷がついていた……","그래서, 오브제를 지탱하는 부품과
골프채에 긁힌 상처가 생겼다……"
4901032390070,透,"次の段に足をかけて、
つま先でゴルフクラブを持ち上げれば……","다음 단에 발을 걸고,
발끝으로 골프채를 들어올리면……"
4901032390080,透,"ゴルフクラブは床に落ちて、
何に使われたかわからなくなるし","골프채는 바닥에 떨어져서
뭐에 쓰엿는지도 모르게 되고"
4901032390090,小糸,"ご、ゴルフクラブだけ散らかってたら
怪しまれるから","고, 골프채만 어질러져 있으면
의심을 받을 테니까"
4901032390100,小糸,"本とかトロフィーもばら撒いて
部屋を荒らしたように見せかけた、ってことかな……？","책이나 트로피도 퍼뜨려 놓아서
방을 엉망진창으로 만든 것처럼 보이게 했다, 는 뜻일까……?"
4901032390110,雛菜,ん～,응~
4901032390120,雛菜,"遺体が最初、天窓の下にあったのも
死亡推定時刻を誤魔化すために見せかけて～","시체가 처음에 천창 아래 있던 것도
사망 추정 시각을 속이기 위한 것으로 꾸며서~"
4901032390130,雛菜,"天窓が開いてるのを
誤魔化すためだったのかも！","천창이 열려있는 걸
그냥 넘어가게 만들기 위해서였을지도!"
4901032390140,透,"それで雨が降ってる中、私の部屋の屋根の上を通って……
屋外から屋敷の中に入ったわけか","그래서 비가 내리는 가운데, 내 방 지붕 위를 지나서……
옥외에서 저택 안으로 들어간 건가"
4901032390150,透,ふふ、やるね,"후후, 좀 하네"
4901032390160,雛菜,外に出てた人も何人かいたけど～,밖에 나가 있던 사람도 몇 명 있었지만~
4901032390170,雛菜,"夜だし、雨も降ってたから
見つかりにくいんじゃない？","밤이었는 데다가 비도 내리고 있었으니까
찾기 힘들었겠지?"
info,special_communications/490103239.json,
번역자,,
