id,name,text,trans
select,,真乃,마노
select,,灯織,히오리
select,,めぐる,메구루
0000000000000,off,『──ああ、約束だ』,"『──그래, 약속이야』"
0000000000000,off,『必ず、君を迎えに行くよ』,"『반드시, 너를 데리러 갈게』"
0000000000000,off,『窓辺に薔薇を一輪、置いておいて』,"『창가에 장미를 한송이, 놔줘』"
0000000000000,off,『僕はそれを目印に──……』,『나는 그걸 표식으로──……』
4901011130050,真乃,…………,…………
0000000000000,主人公,君……は……,너……는……
4901011130060,真乃,"あぁ……やっと逢えた……
この時を、ずっと待ちわびていたの……","아아…… 드디어 만났다……
이 때를, 계속 고대하고 있었어……"
0000000000000,主人公,"あぁ……僕もだよ……
この瞬間が来るのを、何度も夢見ていた……","아아……나도야……
이 순간이 오기를, 몇번이나 꿈에 그렸어……"
4901011130070,真乃,……ねえ、どうして私を置いていってしまったの？,"……저기, 왜 나를 두고 가버렸던 거야?"
0000000000000,主人公,そんな、先にいってしまったのは君のほうで……,"그럴리가, 먼저 가버린건 네 쪽인게……"
4901011130080,真乃,"あなたのいない人生なんて、私にはなんの価値もない……
──わかるでしょう？","당신이 없는 인생 따윈, 나에게는 아무런 가치도 없어……
──알고 있잖아?"
0000000000000,主人公,…………,…………
4901011130081,真乃＆主人公,ふふっ……,후훗……
0000000000000,主人公,……僕たちはずっと勘違いしていたのかもしれないな,……우린 계속 착각하고 있었는 걸지도 모르겠네
4901011130090,真乃,ええ……でも、それも今日まで……,"그래……하지만, 그것도 오늘까지……"
4901011130100,真乃,これからの時間はずっとずっと……,앞으로의 시간은 계속 계속……
0000000000000,主人公,ああ、共に彼方へと行こう……,"그래, 함께 저 너머로 가자……"
4901011130110,真乃,はい……あなたと一緒に……,네…… 당신과 함께……
0000000000000,off,『──ああ、約束だ』,"『──그래, 약속이야』"
0000000000000,off,『必ず、君を迎えに行くよ』,"『반드시, 너를 데리러 갈게』"
0000000000000,off,『窓辺に薔薇を一輪、置いておいて』,"『창가에 장미를 한송이, 놔줘』"
0000000000000,off,『僕はそれを目印に──……』,『나는 그걸 표식으로──……』
4901011130160,灯織,…………,…………
0000000000000,主人公,君……は……,너……는……
4901011130170,灯織,"あぁ……やっと逢えた……
この時を、ずっと待ちわびていたの……","아아…… 드디어 만났다……
이 때를, 계속 고대하고 있었어……"
0000000000000,主人公,"あぁ……僕もだよ……
この瞬間が来るのを、何度も夢見ていた……","아아……나도야……
이 순간이 오기를, 몇번이나 꿈에 그렸어……"
4901011130180,灯織,……ねえ、どうして私を置いていってしまったの？,"……저기, 왜 나를 두고 가버렸던 거야?"
0000000000000,主人公,そんな、先にいってしまったのは君のほうで……,"그럴리가, 먼저 가버린건 네 쪽인게……"
4901011130190,灯織,"あなたのいない人生なんて、私にはなんの価値もない……
──わかるでしょう？","당신이 없는 인생 따윈, 나에게는 아무런 가치도 없어……
──알고 있잖아?"
0000000000000,主人公,…………,…………
4901011130191,灯織＆主人公,ふふっ……,후훗……
0000000000000,主人公,……僕たちはずっと勘違いしていたのかもしれないな,……우린 계속 착각하고 있었는 걸지도 모르겠네
4901011130200,灯織,ええ……でも、それも今日まで……,"그래……하지만, 그것도 오늘까지……"
4901011130210,灯織,これからの時間はずっとずっと……,앞으로의 시간은 계속 계속……
0000000000000,主人公,ああ、共に彼方へと行こう……,"그래, 함께 저 너머로 가자……"
4901011130220,灯織,はい……あなたと一緒に……,네…… 당신과 함께……
0000000000000,off,『──ああ、約束だ』,"『──그래, 약속이야』"
0000000000000,off,『必ず、君を迎えに行くよ』,"『반드시, 너를 데리러 갈게』"
0000000000000,off,『窓辺に薔薇を一輪、置いておいて』,"『창가에 장미를 한송이, 놔줘』"
0000000000000,off,『僕はそれを目印に──……』,『나는 그걸 표식으로──……』
4901011130270,めぐる,…………,…………
0000000000000,主人公,君……は……,너……는……
4901011130280,めぐる,"あぁ……やっと逢えた……
この時を、ずっと待ちわびていたの……","아아…… 드디어 만났다……
이 때를, 계속 고대하고 있었어……"
0000000000000,主人公,"あぁ……僕もだよ……
この瞬間が来るのを、何度も夢見ていた……","아아……나도야……
이 순간이 오기를, 몇번이나 꿈에 그렸어……"
4901011130290,めぐる,……ねえ、どうして私を置いていってしまったの？,"……저기, 왜 나를 두고 가버렸던 거야?"
0000000000000,主人公,そんな、先にいってしまったのは君のほうで……,"그럴리가, 먼저 가버린건 네 쪽인게……"
4901011130300,めぐる,"あなたのいない人生なんて、私にはなんの価値もない……
──わかるでしょう？","당신이 없는 인생 따윈, 나에게는 아무런 가치도 없어……
──알고 있잖아?"
0000000000000,主人公,…………,…………
4901011130301,めぐる＆主人公,ふふっ……,후훗……
0000000000000,主人公,……僕たちはずっと勘違いしていたのかもしれないな,……우린 계속 착각하고 있었는 걸지도 모르겠네
4901011130310,めぐる,ええ……でも、それも今日まで……,"그래……하지만, 그것도 오늘까지……"
4901011130320,めぐる,これからの時間はずっとずっと……,앞으로의 시간은 계속 계속……
0000000000000,主人公,ああ、共に彼方へと行こう……,"그래, 함께 저 너머로 가자……"
4901011130330,めぐる,はい……あなたと一緒に……,네…… 당신과 함께……
info,special_communications/490101113.json,
译者,,
