id,name,text,trans
0000000000000,プロデューサー,千雪、すまん、遅くなった――,"치유키, 미안, 늦어졌어――"
1016004010010,千雪,……、…………♪,"……, …………♪"
0000000000000,プロデューサー,千雪……？,치유키……?
1016004010020,千雪,あ、プロデューサーさん……！,"아, 프로듀서님……!"
1016004010030,千雪,"す、すみません
気がつかなくって……","죄, 죄송해요
몰랐어요……"
0000000000000,プロデューサー,いや、構わないよ,"아냐, 괜찮아"
0000000000000,プロデューサー,"ずいぶん集中してたみたいだけど、
何を聴いていたんだ？","꽤나 집중하고 있어보였는데,
뭘 듣고 있었어?"
1016004010040,千雪,"お留守番している間に、
プレイリストを作っていたんです","자리 비우신 사이에,
플레이리스트를 만들고 있었어요"
1016004010050,千雪,気持ちを高めて、気合いを入れられるような……,"기분을 고조시키고, 기합이 들어갈만한……"
1016004010060,千雪,"アルストロメリアのワンマンライブに向けて、
いろいろ、整えていきたくて","알스트로메리아 단독 라이브를 위해,
이것저것, 다듬고 싶어서요"
1016004010070,千雪,"どんな感じかなぁ……って、
通しで聴いてみていて、それで","어떤 느낌일까……하고,
계속 들어보고, 그래서"
0000000000000,プロデューサー,なるほど……,그렇구나……
0000000000000,プロデューサー,"アスリートも、大会の前にお気に入りの曲を聴いて
テンション上げるっていうもんな……","운동선수도, 대회 전에 좋아하는 곡을 들으면서
기합을 넣고는 하지……"
0000000000000,プロデューサー,どんな曲が入ってるんだ？,어떤 곡을 넣었어?
1016004010080,千雪,えっと、こんな感じなんですけど――,"그게, 이런 느낌인데요――"
0000000000000,プロデューサー,どれどれ……,어디 보자……
1016004010090,千雪,"……って、お見せするの、
なんだか恥ずかしいですね……！","……역시, 보여드리는 거,
왠지 부끄러워요……!"
0000000000000,プロデューサー,そういうものか……？,그런가……?
1016004010100,千雪,そういうものです……！,그렇다구요……!
1016004010110,千雪,"部屋の本棚やＤＶＤのコレクションを見られたりするのも、
私は少し照れちゃうんですけど……","방의 책장이나 DVD 콜렉션을 보여주는 것도,
전 조금 쑥스러운데……"
1016004010120,千雪,それと似たような感じと言いますか……,그거랑 비슷한 기분이라고 할까……
1016004010130,千雪,…………,…………
1016004010140,千雪,"自分の趣味というか、好みというかが……
生々しい裸の状態で、そこにある気がして……","자기 취미라든가, 취향이라든가……
생생하게 벌거벗은 채로, 거기 있는 기분이라……"
0000000000000,プロデューサー,"なるほど……
千雪のリストを見てると、ひとつの世界って気がするし","과연……
치유키의 리스트를 보면, 하나의 세계라는 느낌이 들어"
0000000000000,プロデューサー,"半端に触れられたくない気持ちは、
わかるような気がするな……","장난스레 건드리지 말아줬으면 하는 기분은,
알 것 같기도 해……"
0000000000000,プロデューサー,…………お、アルストロメリアの曲も入れてあるのか,"…………오, 알스트로메리아의 노래도 넣었네"
1016004010150,千雪,はい……！,네……!
1016004010160,千雪,"今まで自分達の曲を入れるのは、
なんだか、こそばゆいような……","지금까지 저희들의 노래를 넣는 건,
뭔가, 근질거릴 듯하고……"
1016004010170,千雪,"落ち着かないような気がして、
できなかったんですが……","진정이 안 될 듯한 느낌이라서,
그렇게 못 했었는데……"
1016004010180,千雪,今回は思い切って,이번엔 큰맘 먹고
0000000000000,プロデューサー,そうだったのか,그랬구나
0000000000000,プロデューサー,"――７曲目に入れたのは、
ラッキーセブンってことか？","――7곡째에 넣은 건,
럭키 세븐이란 거야?"
1016004010190,千雪,"ふふっ、確かに……！
ラッキーセブンですね","후훗, 확실히……!
럭키 세븐이네요"
1016004010200,千雪,でも、今回はそうではなくて――,"하지만, 이번엔 그게 아니라――"
1016004010210,千雪,"私の好きなアーティストのアルバム、
７曲目くらいに、いいな……って思う曲が入ってるんです","제가 좋아하는 아티스트의 앨범의
7곡째 정도에, 좋다……라고 생각한 노래가 들어있거든요"
1016004010220,千雪,偶然かな、って思ってたんですけど……,"우연인가, 라고 생각했지만……"
1016004010230,千雪,"『カセットテープのＢ面、その１曲目に
どんな曲を入れるのか、いつも悩んだものだった』","『카세트테이프의 B면, 그 첫 곡으로
어떤 곡을 넣을지, 항상 고민되는 부분이었다』"
1016004010240,千雪,"『だからだろうか、
テープがすたれた今でも……』","『그래서일까,
테이프가 사라진 지금도……』"
1016004010250,千雪,"『私はそこに、
始まりじゃないけど、始まり……っていう曲を入れている』","『나는 그곳에,
시작은 아니지만, 시작……이라는 곡을 넣는다』"
1016004010260,千雪,"アーティストの方が、
そうお話ししているインタビューを見つけて……","아티스트분께서,
그렇게 말한 인터뷰를 봐서……"
1016004010270,千雪,ああ、今の私の気持ちにぴったりだなって,"아아, 지금 내 기분이랑 똑같구나"
1016004010280,千雪,『始まりじゃないけど、始まり――』,"『시작은 아니지만, 시작――』"
1016004010290,千雪,"ライブに向けて、
そんな気持ちを込めてみたんです","라이브를 향해,
그런 기분을 담고 싶었어요"
0000000000000,プロデューサー,"なるほどな……
そんな意味があったのか……","그렇구나……
그런 의미가 있었구나……"
0000000000000,プロデューサー,（千雪は気合い充分みたいだ――）,(치유키의 기합은 충분해 보인다――)
0000000000000,プロデューサー,"（最高のライブになるよう、
俺もサポート、頑張っていこう……！）","(최고의 라이브가 되도록,
나도 서포트, 열심히 해야지……!)"
info,produce_events/101600401.json,
번역자,,
