id,name,text,trans
0,プロデューサー,あ、あれ……,"어, 어라……"
4001030060010,千雪,"こんばんは、プロデューサーさんも
いらっしゃったんですね","안녕하세요, 프로듀서님도
오셨군요"
0,プロデューサー,"ああ……でも千雪の方が先だったか
……じゃ、悪いけど物資だけ預けるよ","응……그런데 치유키가 먼저 왔구나
……그럼, 미안하지만 물건만 맡길게"
4001030060020,千雪,わぁ……たくさん……！,와아…… 잔뜩……!
0,プロデューサー,……ちょっと買いすぎたかな,……너무 많이 산 걸까
4001030060030,千雪,"ふふ……そうですね
これを使い切る前には元気になってもらいたいですけど","후후……그렇네요
이걸 다 쓰기 전까지는 건강해졌으면 좋겠는데요"
0,プロデューサー,"いや、そうだよな……
──甘奈と甜花の具合は？","응, 그러게……
──아마나랑 텐카 상태는?"
4001030060040,千雪,"ええ、甘奈ちゃんは微熱になったみたいです
今は甜花ちゃんの方が……","네, 아마나쨩은 미열이 된 것 같아요
지금은 텐카쨩 쪽이……"
0,プロデューサー,……朝イチで病院に連れていくか,……아침 일찍 병원에 데려갈까
0,プロデューサー,"ん……それじゃ、千雪が帰る時は車で送るから、
メッセージをもらえるかな","음……그럼, 치유키가 돌아갈 때는 차로 데려다 줄 테니까,
메시지를 보내줄래?"
4001030060050,千雪,あら、帰るんです？,"어라, 가시게요?"
0,プロデューサー,"ん？　ああ……
俺があがると逆に気を使わせることもあるかなって","응? 아……
내가 올라가면 반대로 신경쓰이게 하는 일도 있으려나 해서"
0,プロデューサー,……この間、ちょっと気付いたんだよ,"……요전에, 좀 깨달았었어"
4001030060060,千雪,"ふふっ……
……ふふふっ","후훗……
……후후훗"
0,プロデューサー,いや……悪いな,이야……미안한걸
4001030060070,甘奈,あれっ、この食料品……？,"어라, 이 식료품……?"
4001030060080,千雪,"あぁ、甘奈ちゃんがお風呂に入ってる間に
プロデューサーさんが来てくれたの","아, 아마나쨩이 목욕하는 동안
프로듀서님이 와주셨어"
4001030060090,千雪,"ごめんね
さすがに、出られないかなって","미안해
역시 나오진 못하려나 해서"
4001030060100,甘奈,"あ、そうだったんだ！　ありがと……！
……えっと…………","아, 그랬구나! 고마워……!
……저기…………"
4001030060110,千雪,"ふふっ、大丈夫
玄関までだったから","후훗, 괜찮아
현관에만 계셨었으니까"
4001030060120,甘奈,"そ、そっか……！
せっかく来てくれたのに悪いな……","그, 그렇구나……!
기껏 와줬는데 미안하네……"
4001030060130,甘奈,お礼のチェインしとく──,고맙다고 체인 보내둘게──
0,リビングの声,……、…………,"……, …………"
4001030060140,甜花,うう……,으으……
4001030060150,甜花,……あうぅ…………,……아으으…………
4001030060160,甜花,ふ、うぅ……？,"후, 으……?"
4001030060170,甘奈,……大丈夫？　寒くない？,……괜찮아? 춥지 않아?
4001030060180,甘奈,"今、おでこのシート取り替えるからね……
ちょっとだけ、ひやっとするよ","지금 이마 시트 갈아줄 테니까……
살짝 차가울 거야"
4001030060190,甜花,あ、ありがと……,"아, 고마워……"
4001030060200,甘奈,お水、飲む？,"물, 마실래?"
4001030060210,甜花,飲む……,마실래……
4001030060220,甘奈,"ん、じゃあゆっくり頭持ち上げよっか
ストロー、あるから……","응, 그럼 천천히 머리 들어볼까
빨대, 있으니까……"
4001030060230,甜花,……ん…………,……응…………
4001030060240,甜花,…………はぁ……,…………하아……
4001030060250,甘奈,うん……,응……
4001030060260,甘奈,"何かあったらスマホで呼んで
すぐ来るからね……","무슨 일 있으면 폰으로 불러줘
바로 올 테니까……"
4001030060270,甜花,"……なーちゃんは……
寝ないの……？","……나쨩은……
안 자……?"
4001030060280,甜花,まだ……無理、しないで……,"아직……무리, 하지 마……"
4001030060290,甘奈,えへへ……ありがとー,에헤헤……고마워ー
4001030060300,甘奈,"溜まった洗濯物、
ちょっと片付けるだけだから","밀린 빨래,
정리만 조금 할 거니까"
4001030060310,甜花,あ、うぅ……,"아, 으……"
4001030060320,甜花,"甜花……
ダメなお姉ちゃん……","텐카……
그른 언니……"
4001030060330,甜花,デビ太郎…………,데비타로…………
4001030060340,甜花,すー……すー……,새근ー……새근ー……
4001030060350,甜花,すー…………、……,"새근ー…………, ……"
4001030060360,甜花,う……ぅ……？,으……으……?
4001030060370,甘奈,……,……
4001030060380,甜花,ん……？　あ……,응……? 아……
4001030060390,甘奈,えへへ……,에헤헤……
4001030060400,甜花,"なー……ちゃん？
あれ……？","나……쨩?
어라……?"
4001030060410,甘奈,一緒に寝よ……甜花ちゃん,같이 자자……텐카쨩
4001030060420,甜花,千雪さん、は……？,"치유키 씨, 는……?"
4001030060430,甘奈,千雪さんはプロデューサーさんの車で帰ったよ,치유키 씨는 프로듀서님 차로 돌아갔어
4001030060440,甜花,そ、そっか……,"그, 그렇구나……"
4001030060450,甜花,"あ……でも、ダメ……
甜花の風邪……うつる、から……","아……그치만, 안 돼……
텐카의 감기……옮을, 테니까……"
4001030060460,甘奈,その風邪、誰の風邪でしょーか……？,"그 감기, 누구 감기일까요ー……?"
4001030060470,甜花,……？　あ……,……? 아……
4001030060471,甘奈＆甜花,…………,…………
4001030060472,甘奈＆甜花,えへへ……,에헤헤……
4001030060480,甘奈,"……小っちゃい頃もさ、
こんなことしたよね","……어렸을 때도 말야,
이렇게 했었지"
4001030060490,甘奈,"パパとママには風邪を引いた甜花ちゃんには
近づいちゃダメーって言われたけど……","아빠랑 엄마는 감기 걸린 텐카쨩한테는
가까이 가면 안 된다고 했지만……"
4001030060500,甜花,"なーちゃん……
いつも、甜花のお布団に来てくれた……","나쨩……
언제나, 텐카 이불로 와줬어……"
4001030060510,甘奈,"甘奈が風邪の時には、
甜花ちゃんも来てくれたよ……？","아마나가 감기 걸렸을 때는,
텐카쨩도 와줬다구……?"
4001030060520,甘奈,それで、結局ふたりで風邪引いて……,"그래서, 결국 둘 다 감기 걸려서……"
4001030060530,甜花,"にへへ……
そうだった……","니헤헤……
그랬어……"
4001030060540,甘奈,"なんかさ……一緒に風邪引くの、
久しぶりだね……","뭔가 있지……같이 감기 걸리는 거,
오랜만이네……"
4001030060550,甜花,……ごめん、ね……,"……미안, 해……"
4001030060560,甘奈,ん？,응?
4001030060570,甜花,"なーちゃんが熱の間は、
甜花が……なーちゃん……だったのに……","나쨩이 열 있는 동안에는,
텐카가……나쨩……이었는데……"
4001030060580,甜花,"なーちゃん、みたいに、
なろうって思ってたのに……","나쨩, 처럼,
되자고 생각했었는데……"
4001030060590,甘奈,……,……
4001030060600,甘奈,"甜花ちゃんも熱が出たんだから、
……また交換","텐카쨩도 열이 났으니까,
……다시 교환"
4001030060610,甘奈,"甜花ちゃんは甜花ちゃんに戻って、
甘奈は甘奈に戻ったの","텐카쨩은 텐카쨩으로 돌아왔고,
아마나는 아마나로 돌아온 거야"
4001030060620,甜花,……そっか……,……그렇구나……
4001030060630,甜花,"甜花……
甜花に、戻っちゃった……","텐카……
텐카로, 돌아와버렸어……"
4001030060640,甘奈,うん……,응……
4001030060650,甘奈,"それで、甘奈は、
甜花ちゃんな甜花ちゃんがだーいすき","그래서, 아마나는,
텐카쨩인 텐카쨩이 너ー무 좋아"
4001030060660,甘奈,……だーいすき、なんだよ？,"……너ー무, 좋다구?"
4001030060670,甜花,……あぅ……,……아으……
4001030060680,甜花,……なーちゃん,……나쨩
4001030060690,甘奈,……ん？,……응?
4001030060700,甜花,えと……今の甜花は、甜花だけど…………,"그……지금의 텐카는, 텐카지만…………"
4001030060710,甜花,"なーちゃんも、甜花に……
甘えて、ね……？","나쨩도, 텐카한테……
어리광, 부려줘……"
4001030060720,甜花,頼っていい、からね……？,"기대도, 되니까……?"
4001030060730,甘奈,…………,…………
4001030060740,甘奈,うん…………,응…………
4001030060750,甜花,……ね……,……있지……
4001030060760,甜花,"プレゼント、違うの……
お願いするようになったの、何歳、だっけ……","선물, 다른 거……
원하게 된 거, 몇 살, 때였지……"
4001030060770,甜花,覚えてる……？,기억해……?
4001030060780,甘奈,"９歳じゃなかったかなぁ……
９歳の誕生日","9살 아니었을까……
9살 생일날"
4001030060790,甜花,あ……そうかも,아……그럴 지도
4001030060800,甜花,"えと……甜花がゲームで、なーちゃんがメイクセット……
買ってもらったの、何歳だっけ","어……텐카가 게임, 나쨩이 메이크업 세트……
받은 거, 몇 살 때였지"
4001030060810,甘奈,"あー……それは、
10歳くらいだったかなぁ……","아ー……그건,
10살 때 정도이려나……"
4001030060820,甜花,10歳……,10살……
4001030060830,甜花,"……本当は、甜花も……
あのメイクセット、欲しかった……","……사실은, 텐카도……
그 메이크업 세트, 갖고 싶었어……"
4001030060840,甘奈,えっ……そうだったの？,엣……그랬었어?
4001030060850,甜花,CMやってて……かわいかった……,CM 하고 있어서……귀여웠어……
4001030060860,甘奈,"そうだったんだ……
同じのお願いしてよかったのに","그랬었구나……
같은 걸 달라고 해도 괜찮았는데"
4001030060870,甜花,うん……,응……
4001030060880,甜花,……,……
4001030060890,甜花,"……でも……ゲームの方が、
もっと欲しかった……気がする……","……그치만……게임이,
더 갖고 싶었던 것 같은……기분이 들어……"
4001030060900,甜花,両方……欲しかった……,둘 다……갖고 싶었어……
4001030060910,甘奈,それはパパとママにダメって言われちゃうね,그건 아빠랑 엄마가 안 된다고 했겠지
4001030060920,甜花,にへへ……,니헤헤……
4001030060930,甘奈,"流星群、一緒に見ようって、
千雪さんを誘っておいたよ","유성군, 같이 보자고,
치유키 씨한테 권해뒀어"
4001030060940,甜花,わ……ありがとー……,와……고마워ー……
4001030060950,甜花,それまでに……治るかな……,그때까지……나아질까……
4001030060960,甘奈,"きっと、治るよ
まだ数日あるもん","분명 나을 거야
아직 며칠 더 남았는걸"
4001030060970,甜花,……うん……,……응……
4001030060980,甘奈,甜花ちゃんは……,텐카쨩은……
4001030060990,甘奈,"流れ星の願い事……
なんにする……？","별똥별 소원……
뭐 빌 거야……?"
0,off,……、…………,"……, …………"
0,off,──……,──……
4001030061000,甘奈,すぅ……、すぅ……,"새근……, 새근……"
4001030061010,甜花,んん……、すー……,"으음……, 새근ー……"
4001030061020,甜花,ん……んうぅ……なーちゃん……,음……으음……나쨩……
4001030061030,甜花,デビたろ……,데비타로……
4001030061040,甜花,あったかい……,따뜻해……
4001030061050,甜花,すー……すー……,새근ー……새근ー……
info,game_event_communications/400103006.json,
번역자,,
