id,name,text,trans
2020007010010,透,"ねぇ
これ","저기
이거"
2020007010020,透,こいつ,얘
2020007010030,透,"……これ
こいつ","……이거
얘"
2020007010040,透,生きてる？,살아있어?
2020007010050,透,"────何
捨てるの、これ","────뭐야
버리는 거야? 이거"
0000000000000,プロデューサー,"……え？
あぁ……","……어?
아아……"
0000000000000,プロデューサー,"そうじゃないか、
ごみのステッカー貼ってあるし","그렇지 않을까
쓰레기 스티커도 붙어 있고"
2020007010060,透,えー,에ー
0000000000000,プロデューサー,"ずっと埋もれてたやつだよ、このギター
棚の奥にさ","계속 묻혀있던 거야, 이 기타
선반 안쪽에 말야"
0000000000000,プロデューサー,"これ……
セミだな","이거……
매미네"
2020007010070,透,……白い。めっちゃ,……하얘. 엄청
0000000000000,プロデューサー,"うん。まだ殻から出てきたばっかりなんじゃないか
羽根も伸びてないし","응. 아직 허물을 벗고 얼마 안 되지 않았을까
날개도 안 펴졌고"
0000000000000,プロデューサー,"もうちゃんと音出ないんじゃないかな
弦とかも錆びてるし、首も反ってるし","이제 제대로 소리 안 나지 않을까
줄도 녹슬어 있고, 헤드도 젖혀져 있고"
2020007010080,透,"んー
古い。めっちゃ","응ー
낡았어. 엄청"
2020007010090,透,鳴るかな────,울리려나────
0000000000000,プロデューサー,────あっ、触るのか！,"───앗, 만지는 거냐!"
2020007010100,透,"えっ
ダメ？","엣
안 돼?"
0000000000000,プロデューサー,"いや……
わからないけど、まだ弱そうだからさ","아니……
잘은 모르지만, 아직 약해 보이니까"
2020007010110,透,あー……,아ー……
2020007010120,透,"うん
つきそう。指紋","응
묻겠다. 지문"
2020007010130,透,"柔らかそう、めっちゃ
羽根とか……お腹とか","부드러워 보여, 엄청
날개라든가…… 배라든가"
2020007010140,透,────鳴った,────울렸다
0000000000000,プロデューサー,"はは
まぁ、鳴ることは鳴るだろうけど","하하
뭐어, 울리긴 울리겠지만"
2020007010150,透,でも、ごみ？,"그치만, 쓰레기?"
0000000000000,プロデューサー,"──たぶん、まだしっかりした体じゃないよ
飛べるようになるまではこのままだ","──아마, 아직 멀쩡한 몸이 아닐 거야
날 수 있게 될 때까지는 이 상태겠지"
0000000000000,プロデューサー,"鳥とかにも狙われるんだろうし、
安全なとこに置いてあげたい気はするけど……","새도 노릴 것이고,
안전한 곳에 놓아주고 싶은 마음은 들지만……"
2020007010160,透,"……
そっか","……
그렇구나"
2020007010170,透,生きられないかもなんだ,못 살지도 모르는구나
0000000000000,プロデューサー,"まぁ……
ごみって言い方するのは、気が引けるよ","뭐어……
쓰레기라고 말하는 건, 좀 내키지 않네"
0000000000000,プロデューサー,楽器なんだもんな,악기잖아
2020007010180,透,"……
……えい","……
……에이"
2020007010190,透,"……
動かないね","……
안 움직이네"
0000000000000,プロデューサー,うん,응
2020007010200,透,鳴かないし,울지도 않고
0000000000000,プロデューサー,"……
弦、張り直してみるか？","……
줄, 고쳐볼까?"
2020007010210,透,え？,에?
0000000000000,プロデューサー,これ、捨てるのやめてさ,"이거, 버리지 말고"
2020007010220,透,"あー……
……────","아ー……
……────"
2020007010230,透,"ふふ
セミかな、鳴かなくても","후후
매미일까, 울지 않아도"
0000000000000,プロデューサー,……え？,……어?
2020007010240,透,"こいつだけじゃん
黙ってるの","얘뿐이잖아
입 다물고 있는 거"
2020007010250,透,……いいや,……됐어
2020007010260,透,"鳴り終わったんでしょ、きっと
もう","울림이 끝났잖아, 분명
이제"
0000000000000,プロデューサー,"……
黙っててもセミはセミだけど……","……
다물고 있어도 매미는 매미지만……"
0000000000000,プロデューサー,鳴くやつになろうとしてる,우는 애가 되려 하고 있어
2020007010270,透,……ふーん,……흐응ー
2020007010280,透,"きれいなのにね
めっちゃ、今","예쁜데 말야
엄청, 지금"
2020007010290,透,"鳴けなくて、
飛べないけど","울 수 없고,
날 수 없지만"
0000000000000,プロデューサー,……,……
0000000000000,プロデューサー,寿命かもしれないな,수명이 다한 걸지도 모르겠네
2020007010300,透,"んー
でも、きれい。鳴らないやつ","응ー
그치만, 예뻐. 울리지 않는 것"
2020007010310,透,"鳴ってた時が、
あるって思うと","울렸을 때가
있다고 생각하니"
2020007010320,透,"ギター、って呼ぼ
こいつのこと","기타, 라고 부르자
얘"
0000000000000,プロデューサー,……透,……토오루
select,,"……
いい名前だな","……
좋은 이름이네"
select,,"また会えるかは
わからないけど","다시 만날 수 있을지는
모르겠지만"
select,,"音楽になるのか
鳴き声","음악이 되는 걸까
울음소리"
0000000000000,プロデューサー,"きっと、いっぱい鳴ってくれるよ
無事に生きてさ","분명, 잔뜩 울어줄 거야
무사히 살아서"
2020007010330,透,んー……,음ー……
2020007010340,透,"ふふっ
ううん","후훗
아니"
2020007010350,透,"似てるから、
あの鳴らないやつと","닮았으니까,
저 울리지 않는 애랑"
2020007010360,透,"続いてたらいいなって。ここに
あのギターの時間","계속됐으면 좋겠다 싶어서. 여기에
저 기타의 시간"
2020007010370,透,聴こえる,들려
2020007010380,透,"……え、うん
だから","……에, 응
그러니까"
2020007010390,透,"覚えとくために
こいつのこと","기억하려고
얘를"
2020007010400,透,"鳴いても、
このまま鳴かないで終わっても","울든,
이대로 울지 않고 끝나든"
2020007010410,透,いつか鳴けなくなっても,언젠가 울지 않게 되든
2020007010420,透,きれいな音出してたってこと,예쁜 소리를 냈다는 것을
2020007010430,透,"ふふっ
何、かっこいい","후훗
뭐야, 멋있어"
0000000000000,プロデューサー,いや────,아니────
2020007010440,透,"なるんじゃない？
音楽になりたいって思えば、こいつが","되지 않을까?
음악이 되고 싶다고 생각하면, 얘가"
2020007010450,透,たぶん、ギターも,"아마, 기타도"
2020007010460,透,"次、なりたいって思ったらなれる
セミに","이 다음에, 되고 싶다고 생각하면 될 수 있어
매미가"
2020007010470,透,"……ね
久しぶり、ギター","……저기
오랜만이야, 기타"
info,produce_events/202000701.json,
번역자,,
