id,name,text,trans
2007013010010,結華,改めまして、ごちそうになりまーす！,"다시 한번, 잘 먹겠습니다ー!"
0000000000000,プロデューサー,おう、約束だからな,"그래, 약속이니까"
0000000000000,プロデューサー,"レッスン、お疲れ様
厳しい内容だったのに、よくついてってたよ","레슨, 수고했어
어려운 내용이었는데 잘 따라와줬어"
2007013010020,結華,"んふふ～
三峰ってば現金なので～","음후후~
미츠미네도 참 계산적이라니깐~"
2007013010030,結華,"目の前にご褒美ぶら下がってると
はちゃめちゃ頑張れちゃうんだよね～！","눈앞에 상이 어른거리면
마구마구 열심히 하게 되거든~!"
2007013010040,結華,──すべてはＰたんが身銭を切ってくれたお・か・げ♡,──모든 것은 P땅이 돈을 써준 덕・분♡
0000000000000,プロデューサー,"はは……そうか
覚えておくよ、結華にとってのご褒美が何か","하하…… 그렇구나
기억해 둘게, 유이카에게 상이 어떤 것인지"
2007013010050,結華,うん、頼むよー,"응, 부탁할게ー"
2007013010060,結華,"まだまだＰたんには、末永～く三峰を
プロデュースしてもらわなきゃだからね！","P땅은 앞으로도 오래~오래 미츠미네를
프로듀스해줘야 하니까!"
2007013010070,結華,──あ,──아
2007013010080,結華,……ねぇ、あのお店は？,"……저기, 그 가게는?"
0000000000000,プロデューサー,うん？,응?
2007013010090,結華,ほら、ラジオ局の近くの──,"그 왜, 라디오 방송국 근처에 있는──"
0000000000000,プロデューサー,──……ああ！　前に寄った──,──……아! 전에 들렀던──
2007013010100,結華,そうそうそう,맞아맞아
2007013010110,結華,Ｐたんがご褒美にごちそうしてくれたとこ～,P땅이 상으로 대접해줬던 곳~
0000000000000,プロデューサー,はは、そんなこともあったなぁ,"하하, 그런 적도 있었지"
0000000000000,プロデューサー,"うん、あそこにしよう
コーヒーが本格的だったよな、確か……！","응, 거기로 하자
커피가 본격적이었지, 분명……!"
2007013010120,結華,やだーさすが違いのわかる男～,아이참ー 역시 차이를 아는 남자야~
0000000000000,プロデューサー,"！？
違う違う、全然そんなんじゃないから……！","!?
아니아니, 그런 거 전혀 아니라고……!"
2007013010130,結華,え～？　そうなの？,에~? 그래?
0000000000000,プロデューサー,"そうだよ
憧れてるだけだ、違いのわかる大人の男に","그래
동경하는 것뿐이야, 차이를 아는 남자를"
2007013010140,結華,もうしっかり大人な年齢のくせに、まだ憧れー？,"분명 나이로는 이미 어른이면서, 아직도 동경한다구ー?"
0000000000000,プロデューサー,"……結華
それは突いちゃいけないポイントだぞ","……유이카
그건 들춰내면 안 되는 부분이라고"
2007013010150,結華,あははっ、冗談冗談！,"아하핫, 농담이야 농담!"
2007013010160,結華,"三峰から見たら十分大人だから
安心してよ、Ｐたん！","미츠미네 눈에는 충분히 어른이니까
안심해, P땅!"
2007013010170,結華,────……,────……
0000000000000,プロデューサー,ここ……で合ってたよな？,여기…… 맞지?
2007013010180,結華,うん……──,응……──
2007013010190,結華,……お店、なくなっちゃったんだね,"……가게, 없어졌구나"
0000000000000,プロデューサー,"ああ……
今はファストフードか……──","응……
지금은 패스트푸드가……──"
2007013010200,結華,……,……
2007013010210,結華,"……あーあ、残念！
ここのケーキ美味しかったのになぁ","……아ー아, 아쉽네!
여기 케이크 맛있었는데에"
0000000000000,プロデューサー,……そうだな,……그러게
select,,……他の店、探そう,……다른 가게 찾아보자
select,,もっと早く──……,좀 더 일찍──……
select,,──よし！,──좋아!
0000000000000,プロデューサー,"せっかくの空き時間、何もできないともったいないし
結華は何が食べたい？","모처럼 생긴 여유 시간에 아무것도 못 하면 아깝잖아
유이카는 뭐 먹고 싶어?"
2007013010220,結華,……んー,……음ー
2007013010230,結華,"──やっぱりケーキの気分！
近くに美味しそうなとこある？　Ｐたん！","──역시 케이크 먹을래!
근처에 맛있어 보이는 곳 있어? P땅!"
0000000000000,プロデューサー,ちょっと待ってな、調べる──！,"잠깐 기다려, 찾아볼게──!"
2007013010240,結華,……──うん、ありがとう,"……──응, 고마워"
2007013010250,結華,うん……？,응……?
0000000000000,プロデューサー,"──いや
俺も、もっと早く思い出してたらよかった、って","──아니
나도 좀 더 일찍 떠올렸으면 좋았을 텐데 싶어서"
0000000000000,プロデューサー,はは、勝手だよな……,"하하, 제멋대로네……"
0000000000000,プロデューサー,"……そういう人ばっかりだったから、
なくなるって結果になったんだろうに……──","……그런 사람뿐이었으니까
없어졌다는 결과로 이어진 걸 텐데……──"
2007013010260,結華,……そうかも,……그럴지도
2007013010270,結華,でも……,그래도……
2007013010280,結華,"勝手かもしれないけど……
……三峰には、嬉しい言葉だよ","제멋대로일지도 모르지만……
……미츠미네한테는 기쁜 말이야"
0000000000000,プロデューサー,"ショック受けた分、今日はパーッといこう
なんか派手なの、付き合ってくれ","충격받은 만큼, 오늘은 거침없이 가자
뭔가 화려한 걸 먹으러 같이 가줘"
2007013010290,結華,"──え。ええ？
派手なのって何？","──에, 에에?
화려한 게 뭔데?"
0000000000000,プロデューサー,"えっと……そうだな……
爆盛りのパフェとか……食べ放題とか……？","으음…… 글쎄……
초대형 파르페라든가…… 무한리필 집이라든가……?"
2007013010300,結華,あっは,앗하
2007013010310,結華,それ、Ｐたんの薄いお財布的に大丈夫？,"그거, P땅의 얇은 지갑으로 괜찮은 거야?"
0000000000000,プロデューサー,本音を言えばちょっと困る……けど、安いもんだろ,속마음을 말하자면 조금 곤란하지만…… 싸게 먹히는 거잖아
0000000000000,プロデューサー,"傷心……っていうと大袈裟かもだけど
まぁ、そういうのを癒すために。乗ってくれるよな？","상심……이라고 하면 과장일지도 모르지만
뭐 그런 걸 달랜다고 생각하면 말야. 같이 가줄 거지?"
2007013010320,結華,……ふふ、もちろん！,"……후후, 물론이지!"
info,produce_events/200701301.json,
번역자,,
