id,name,text,trans
0000000000000,off,ささ、御代官様……こちらへ……,"자자, 다이칸님……이쪽으로……"
0000000000000,同心,──奴ら、どうやら隠れ家に向かうみたいだな,"──저녀석들, 아무래도 은신처로 향하는 것 같군"
4901021730010,真乃,"……
お、追いかけましょう……っ","……
쪼, 쫓아가죠……"
0000000000000,同心,おう！,그래!
0000000000000,同心,"隠れ家はまだか……？
随分歩いたと思うんだが","은신처는 아직인가……?
꽤 걸었다고 생각하는데"
4901021730020,真乃,"……人目につかないよう、
もっと奥にあるんでしょうか……？","……남의 눈에 띄지 않도록,
좀 더 안쪽에 있는 걸까요……?"
0000000000000,同心,"はぁ……はぁ……
まだか……","하아……하아……
아직인가……"
4901021730030,真乃,きっと、もう少しです……,"분명, 이제 조금 남았을거에요……"
0000000000000,同心,"だといいんだけど……
はぁ……はぁ……","그러면 좋겠는데……
하아……하아……"
4901021730040,真乃,……だ、大丈夫ですか……？,"……괘, 괜찮으신가요……?"
0000000000000,同心,"少しだけ疲れたよ……
それより、真乃こそ大丈夫か……？","조금 지쳤어……
그것보다 마노야말로 괜찮아……?"
4901021730050,真乃,"は、はい……っ
私は全然平気です……っ","아, 네……
저는 전혀 아무렇지도 않아요……"
4901021730060,真乃,"悪代官さんたちに逃げられちゃったらダメですもんね……
頑張って追いかけます……っ","탐관오리님들이 도망가게 해선 안되죠……
열심히 뒤쫓겠어욧……"
info,special_communications/490102173.json,
번역자,사이버교주,
