id,name,text,trans
0000000000000,off,"ハッピーハロウィンという
メッセージが添えられたお菓子────","해피 할로윈이라는
메시지가 붙은 과자────"
0000000000000,off,"それは見た目はそっくりだが、
どちらかが『超すっぱい』ふたつのプチケーキだった","겉보기에는 똑같은 작은 케이크 두 개지만,
하나만 『완전 시큼한』 케이크였다"
4901025040010,恋鐘,"んふふ～
面白そうやね、プロデューサー","우후후~
재밌어 보이는구마잉, 프로듀서"
4901025040020,恋鐘,どのくらいすっぱかとやろか……？,을마나 시큼할랑가……?
0000000000000,プロデューサー,"はは……レモン何個分とかよくあるよな
その辺りは、書いてないが……","하하…… 레몬 몇 개와 맞먹는 맛 같은 거 종종 있지
그런 건 안 쓰여있지만……"
4901025040030,恋鐘,"口のきゅ～って、バッテンになるくらい
すっぱかかもしれん！","입 꾹~ 닫고 엑스자 그릴 정도로
시큼할지도 모른다잉!"
4901025040040,恋鐘,そいも、食べてみてのお楽しみたい！,고게 또 먹어보는 즐거움이겠제!
select,,左を食べる,왼쪽을 먹는다
select,,右を食べる,오른쪽을 먹는다
4901025040080,恋鐘,"んんん～～～～～～～！！！！
す、すっぱか～～～っ！！！！","으으으~~~~~~~!!!!
시, 시다~~~!!!!"
4901025040090,恋鐘,"ん～～～～
なんねこれ……！","으~~~~
뭐시여 이게……!"
0000000000000,プロデューサー,"だ、大丈夫か恋鐘
無理はするなよ……！？","괘, 괜찮아 코가네?
억지로 먹지 마……!?"
4901025040100,恋鐘,うん～……,음~……
4901025040110,恋鐘,"思わず飲み込んでしまったけん、
もうどうしようもなかけど……","나도 모르게 삼켜버렸응께,
우짤 수 없었지마는……"
4901025040120,恋鐘,"ふぇ……
まだ舌のちくちくするばい……！","후에……
아직도 혀가 따끔따끔하구마……!"
0000000000000,プロデューサー,………………！？,………………!?
0000000000000,プロデューサー,"（こ、これは……
思った以上に、すっぱい……！！！）","(이, 이거……
생각보다 더 시다……!!!)"
4901025040050,恋鐘,"プロデューサー！？
そがんすっぱかったと……？","프로듀서!?
그렇게 시큼하당가……?"
4901025040060,恋鐘,"そこまでやと思わんかったけん
申し訳なか……！","그 정도일 줄 생각 못 했어야
미안혀……!"
0000000000000,プロデューサー,"大丈夫だ、恋鐘
楽しかったし、いい気分転換になったよ","괜찮아, 코가네
재밌기도 했고, 기분 전환 잘 했어"
0000000000000,プロデューサー,ありがとうな……！,고마워……!
4901025040070,恋鐘,…………！,…………!
info,mypage_communications/490102504.json,
번역자,,
