id,name,text,trans
4901021330010,冬優子,"……初めてよ
あんたに会って、会いたくなかった、なんて思ったの","……처음이야
너랑 만나서, 만나고 싶지 않았다, 같은 생각을 한 건"
0000000000000,男,"俺もだよ
──でも……お互い、逃げられないよな","나도야
ー하지만……서로, 도망칠 수 없겠네"
0000000000000,男,国に忠誠を誓っているから,조국에 충성을 맹세했으니까
4901021330020,冬優子,…………ええ,…………그치
4901021330030,冬優子,──さ、始めましょうか,"ー자, 시작해 볼까?"
4901021330040,冬優子,"最後のデートだもの、出し惜しみはしないわ
ふゆの実力、とくと味わいなさい","마지막 데이트니까, 장난으론 안 할 거야
후유의 실력, 제대로 맛 보라고"
0000000000000,男,"はは……
お手柔らかに頼むよ","하하……
살살 좀 부탁할게"
4901021330050,冬優子,……安心して,……안심해
4901021330060,冬優子,あんたのことは、ふゆがちゃんと終わらせてあげるから,"너는, 후유가 확실히 끝내줄 테니까"
info,special_communications/490102133.json,
번역자,,
