id,name,text,trans
4901026240010,咲耶,"私からはこれを
──メリークリスマス、プロデューサー","나는 이걸
──메리 크리스마스, 프로듀서"
0000000000000,プロデューサー,"おお、ありがとう……！
開けてみてもいいか？","오오, 고마워……!
열어봐도 될까?"
4901026240020,咲耶,もちろん,물론
0000000000000,プロデューサー,靴べらか！,구두주걱인가!
4901026240030,咲耶,ああ,맞아
4901026240040,咲耶,"携帯用のものがあるということを、
今回初めて知ってね","휴대용이 있다는 걸,
이번에 처음 알아서"
4901026240050,咲耶,"アナタは外出の機会も多いから──
役に立つかもしれないと思ったんだ","당신은 외출할 일도 많으니까──
도움이 될지도 모르겠다 싶어서"
0000000000000,プロデューサー,"すごいなぁ、しゃれてるよ……！
さすが咲耶だ","굉장한 걸, 세련됐어……!
역시 사쿠야"
4901026240060,咲耶,"やめてほしいな
これでも緊張しながら選んでいるんだよ？","그만 둬줘
이래뵈도 긴장하면서 골랐다고?"
0000000000000,プロデューサー,そうなのか……？,그랬어……?
4901026240070,咲耶,フフ、当たり前じゃないか,"후후, 당연하잖아"
4901026240080,咲耶,"まだまだ社会というものを知らない私から
大人のアナタに贈るんだ","아직 사회라는 걸 모르는 내가
어른인 당신에게 보내는 걸"
4901026240090,咲耶,"不安にならない方がおかしいというものだろう？
だから──","불안해하지 않는 쪽이 이상한 거겠지?
그러니까──"
4901026240100,咲耶,"気に入ってもらえたみたいで
ほっとしているんだよ","마음에 들어하는 것 같아서
안심이 되네"
info,special_communications/490102624.json,
번역자,,
