id,name,text,trans
0000000000000,プロデューサー,"美琴は実家、
帰ったりするのか？","미코토는 본가,
돌아가거나 해?"
0000000000000,プロデューサー,……結構遠方だよな,……꽤 먼 곳이지
1025001001010010,美琴,"え？
……ううん、全然帰っていないの","에?
……아니, 전혀 돌아갔던 적 없어"
1025001001010020,美琴,"ちゃんと、ここで結果を出すことが
恩返しだと思っているから","확실하게, 여기서 결과를 내는 것이
보답이라고 생각하니까"
select,,なるほどな,과연
select,,そうなのか,그렇구나
select,,……でもさ,……그래도 말야
0000000000000,プロデューサー,"……確かに、美琴の言う通りだ
恩返し、していかないとな","……확실히, 미코토 말대로야
보답, 하고 가야겠지"
1025001001010030,美琴,"うん……そうなの
本当にね","응……맞아
정말로"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 얘기했다)"
0000000000000,プロデューサー,"ちゃんとご両親まで美琴の活躍が
届くように、俺も頑張らないとな……","확실하게 부모님에게까지 미코토의 활약이
닿을 수 있도록, 나도 노력해야겠지……"
1025001001010040,美琴,"……うん
そうだね……私も","……응
그렇지……나도"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 얘기했으려나)"
0000000000000,プロデューサー,"連絡くらいは、してあげてくれよ
きっと心配してるだろうし……","연락 정도는, 드리라고
분명 걱정하고 계실 테고……"
1025001001010050,美琴,"……うん
そうかもしれないね","……응
그럴지도 모르겠네"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽…… 실수했다. 다른 얘기를 했으면 좋았을 텐데……)
info,produce_communications/102500100101.json,
번역자,,
