id,name,text,trans
3006010010010,恋鐘,──……きれか～～……！,──……이쁘구마~~……!
3006010010020,摩美々,"出たぁ
恋鐘の初見リアクションー","나왔다아
코가네의 처음 볼 때 리액션ー"
3006010010030,結華,"ほーんとに
こがたんは感動を逃さないねぇ","정ー말로 
코가땅은 감동을 놓치질 않네"
3006010010040,恋鐘,んふふ～,응후후~
3006010010050,恋鐘,"よかもんば見たら
すごか～って言うものばい！","좋은 걸 보면
굉장허구마~ 허는게 인지상정이여!"
3006010010060,恋鐘,"今日の花火は、
きれか～ですごか～！","오늘 불꽃놀이는,
이쁘구마~ 에 굉장허구마~!"
3006010010070,霧子,"ふふ……
うん……","후후……
응……"
3006010010080,霧子,"空も……
海も……","하늘도……
바다도……"
3006010010090,霧子,"花火で……
いっぱいだね……","불꽃놀이로……
잔뜩 이네……"
3006010010100,咲耶,"フフ……
待った甲斐がある、というものだ","후후……
기다린 보람이 있다, 란 건 이런 거구나"
3006010010110,咲耶,"今日の私たちの仕事に対する報酬──
と思ってしまうのは、傲慢だろうか？","오늘 우리들이 열심히 일한 보수──
라고 생각하는 건, 오만이려나?"
3006010010120,結華,いいんじゃなーい？,괜찮지 않아ー?
3006010010130,結華,"アンティーカは今日のイベントでも、
お客さんたちをば～りばりに盛り上げてたでしょ！","안티카는 오늘 이벤트에서도, 
손님들을 겁~나 겁나 달아오르게 했으니까!"
3006010010140,摩美々,そうだったとしても……,그렇다 치더라도……
3006010010150,摩美々,報酬が花火だけなのは勘弁ー,보수가 불꽃놀이뿐이란 건 좀 봐줘ー
3006010010160,咲耶,おや,이런
3006010010170,咲耶,"あの輝く大輪の花でも、
摩美々を満足させられないんだね","저 반짝이는 커다란 꽃이라도, 
마미미를 만족시키진 못하나 보구나"
3006010010180,摩美々,見てるだけだしねー,보고 있을 뿐이니까ー
3006010010190,結華,"──じゃあさ
捕まえちゃえば加点できる？","──그럼 말야
잡을 수 있으면 점수를 더 받을 수 있어?"
3006010010200,恋鐘,"ふぇ？
どがんことすると～？","후에?
우짜믄 된디야~?"
3006010010210,結華,こがんことすると～！,이러믄 된디야~!
3006010010220,結華,──えいっ,──에잇
3006010010230,結華,ほらっ、こうすれば花火ゲット！　ってね,"봐, 이러면 불꽃 겟! 이지?"
3006010010240,霧子,"わ……！
ふふ……","와……!
후후……"
3006010010250,霧子,"結華ちゃん……
花火……捕まえちゃった……","유이카쨩……
불꽃…… 붙잡아버렸다……"
3006010010260,摩美々,えー？,에ー?
3006010010270,摩美々,"霧子、判定甘くないー？
あれじゃすぐ逃げられるじゃんー","키리코, 판정이 후한 거 아냐ー?
저러면 금방 도망가잖아ー"
3006010010280,結華,そこは見逃してよー,그건 모르는 척 해주라구~
3006010010290,霧子,ふふ……,후후……
3006010010300,恋鐘,"そがんことやったらうちも捕まえる～！
待って～！","그런 거면 내도 잡을 거구마~!
기다려~!"
3006010010310,咲耶,──……,──……
3006010010320,咲耶,……──フフ……！,……──후후……!
3006010010330,咲耶,"みんなと……！
海……！","모두랑……!
바다……!"
3006010010340,咲耶,──,──
3006010010350,咲耶,──その捕獲作戦、私にも噛ませてくれ！,"──그 포획작전, 나도 참가하게 해줘!"
3006010010360,結華,"おわぁっ！？
もー、さくやん！　勢い！","오와앗!?
정말ー, 사쿠양! 깜짝 놀랐잖아!"
3006010010370,咲耶,"ああ、フフ……！
すまない……！","아아, 후후……!
미안……!"
3006010010380,咲耶,"大好きな仲間と、大好きな海にいる──
そう思ったら、胸が高鳴ってしまって！","정말 좋아하는 동료와, 정말 좋아하는 바다에 있다──
그렇게 생각했더니, 가슴이 뛰어서 말야!"
3006010010390,恋鐘,"よかよか！
せっかくやけん、い～っぱい楽しまんばね！","좋구마 좋구마!
모처럼이니께, 자~안뜩 즐겨야제!"
3006010010400,恋鐘,"──あそこ！
新しかとのおるよ！","──저쪽!
방금 올라온 거 있어야!"
3006010010410,霧子,"うん……
綺麗な……紫……","응……
예쁜…… 보라색……"
3006010010420,咲耶,──よし……！,──좋아……!
3006010010430,摩美々,えー……,에ー……
3006010010440,摩美々,"…………
捕まえたいんなら、もっと静かにやったらぁ","…………
붙잡고 싶다면, 좀더 조용히 하지 그래"
3006010010450,結華,そうしないと、すぐ逃げちゃうもんねぇ？,"안 그러면, 금방 도망가겠지?"
3006010010460,摩美々,そーそー,맞아ー맞아ー
3006010010470,摩美々,"落ち着いた方が、
三峰より上手く捕まえられると思うしー","침착한 편이,
미츠미네보다 잘 잡을 수 있을 것 같고ー"
3006010010480,結華,ああっ、ひどい！,"아앗, 너무해!"
3006010010490,咲耶,"それもそうだね
私としたことが、失礼した","그것도 그렇군
나란 자가, 실례했어"
3006010010500,咲耶,みんな、協力を頼めないかな,"다들, 협력을 부탁할 수 없을까"
3006010010510,咲耶,とびきり大きい花火を、捕まえたいんだ,엄청나게 큰 불꽃을 잡고 싶어
info,produce_events/300601001.json,
번역자,,
