id,name,text,trans
0000000000000,off,『連載 時間を巡る旅』,'연재  시간을 도는 여행'
0000000000000,off,『第４回』,'제 4회'
0000000000000,プロデューサー,すまん、ちょっと道が悪い,"미안, 길 상태가 좀 안좋네"
0000000000000,プロデューサー,"しばらく揺れるかもしれない
ごめんな","한동안 흔들릴지도 몰라
미안해"
2021009040010,円香,はい,네
0000000000000,プロデューサー,"また山奥での撮影になるけど
今回は電波が入る場所らしいから","산속에서 또 촬영하게 될 텐데
이번에는 전화 터지는 곳이라고 하니까"
2021009040020,円香,……はい,……네
0000000000000,プロデューサー,"はは、この前は驚いたもんな
だからちゃんと確認しておいたんだ","하하, 저번에 놀랐었지
그래서 확실하게 확인해뒀어"
2021009040030,円香,…………,…………
2021009040040,円香,聞いてないけど,안 물어봤는데
0000000000000,プロデューサー,"でも、廃業した美術館にリゾートホテル……
普通は行かない場所ばかりで面白かったな","그래도 폐업한 미술관에 리조트 호텔……
보통은 안 가는 장소뿐이라 재밌었는데"
2021009040050,円香,監督の趣味ですかね,감독님 취미일까요
0000000000000,プロデューサー,そうだと思う,그런 것 같아
0000000000000,プロデューサー,……連載、終わっちゃうのが残念だな,……연재가 끝나버리는 게 아쉽네
2021009040060,円香,ねえ,있잖아
2021009040070,円香,"あなたの言葉は
一体、どこまで本当なの","당신 말은
대체 어디까지가 진심이야?"
2021009040080,円香,別に、最初から連載回数は決まっていましたので,"딱히, 연재 횟수는 처음부터 정해져 있었으니까요"
0000000000000,プロデューサー,はは、まあそうなんだけど,"하하, 뭐 그건 그렇지만"
0000000000000,プロデューサー,毎回、ちょっとした旅みたいでさ,매번 소박한 여행 같아서
0000000000000,プロデューサー,空き時間に円香とくだらない話をするのも楽しかったんだ,비는 시간에 마도카와 쓸데없는 이야기를 하는 것도 재밌었어
0000000000000,円香,……,……
0000000000000,プロデューサー,ほら、ミロのヴィーナスとか,"그 왜, 밀로의 비너스라든가"
2021009040100,円香,あなたは,당신은
2021009040110,円香,欠けた部分に完璧を見るの？,빠진 부분에서 완벽을 보는 거야?
2021009040120,円香,……ふうん,……흐응
2021009040130,円香,"じゃ、この仕事が終わったら
あなたのくだらない話はなくなるんですね","그럼 이 일이 끝나면
당신의 쓸데없는 이야기는 없어지겠네요"
0000000000000,プロデューサー,え,에
0000000000000,プロデューサー,そう来たか……,그렇게 나오기냐……
2021009040140,円香,ねえ,있잖아
2021009040150,円香,あなたは、おそらく,"당신은, 아마도"
2021009040160,円香,まあ,뭐
2021009040170,円香,どうせするんでしょ,어차피 할 거잖아요
2021009040180,円香,"この仕事が終わった後も
くだらない話","이 일이 끝난 뒤에도
쓸데없는 이야기"
0000000000000,プロデューサー,はは……,하하……
0000000000000,プロデューサー,そうか、円香も楽しんでくれていたならよかった,"그렇구나, 마도카도 재미있었으면 다행이고"
2021009040190,円香,そうは言ってない,그렇게는 말 안 했어
0000000000000,プロデューサー,言ってないな,말 안 했지
2021009040200,円香,"あなたは欠けたものを
そのままに愛する人では","당신은 빠진 것을
그대로 사랑하는 사람 아니야?"
2021009040210,円香,過去ではなく今を見る人では,과거가 아닌 지금을 보는 사람 아니야?
0000000000000,プロデューサー,"ああ、ドライフラワーのカフェには
もう一度行かないとな","아, 드라이플라워 카페에는
한 번 더 가야지"
