id,name,text,trans
0000000000000,プロデューサー,──……ここで樹里をスカウトしたんだったよなぁ,──…… 여기서 쥬리를 스카우트 했었지
1011002010010,樹里,え、なんだよ急に……,"에, 뭐야 갑자기……"
0000000000000,プロデューサー,"いや……なんか、思い出してさ
あの時の樹里は……そうだ","아니…… 뭐랄까, 생각이 나길래
그 때의 쥬리는…… 그래"
0000000000000,プロデューサー,"ちょうど今みたいに
日の光で髪がキラキラしててさ──","딱 지금처럼
햇빛에 머리카락이 반짝반짝해서 말야──"
1011002010020,樹里,"はぁ！？
……キ、キラキラって……","하아!?
…… 바, 반짝반짝이라니……"
0000000000000,プロデューサー,"それに、この街の景色の中でもひときわ輝いてて……
だけど──","그리고, 이 거리의 풍경 속에서도 한층 더 빛나고 있어서……
하지만──"
1011002010030,樹里,"──や、やめろよな！
だから、輝いてるとか、そういうの……！","──그, 그만해!
그러니까, 빛나네 뭐네 하는 그런거……!"
0000000000000,プロデューサー,"……？
本当のことだぞ？","……?
사실을 말할 뿐인데?"
1011002010040,樹里,"っあー……もーいいよ……！
はぁ……","아─…… 이제 됐어……!
하아……"
1011002010050,樹里,"……それに、あの頃──アンタに会う前は
ほんとに、そんなんじゃなくて……","…… 그리고, 그 때── 널 만나기 전엔
정말로, 그런게 아니라……"
1011002010060,樹里,──……なぁ、プロデューサー,"──…… 저기, 프로듀서"
0000000000000,プロデューサー,……ん？,…… 응?
1011002010070,樹里,"アタシは……あの時、どっかの物好きなプロデューサーに
ここで人生を変えられたんだ","나는…… 그 때, 어딘가의 유별난 프로듀서가
여기서 인생을 바꿔준거야"
1011002010100,樹里,"……けどさ、アンタ的にはどうなんだよ
今のアタシは、あの時から変わって見えるか？","…… 그치만 말야, 네가 보기엔 어때
지금의 나는, 그 때와 다르게 보여?"
0000000000000,プロデューサー,"……樹里らしさってことでいうなら──
きっと変わってないと思う","…… 쥬리다움을 말해보면──
분명 변하지 않았다고 생각해"
0000000000000,プロデューサー,"でも樹里は、出会った時の樹里のまま……
一生懸命成長して、ずっとアイドルとして立っているんだ","하지만 쥬리는, 만난 후부터 쭉 쥬리 그대로……
있는 힘껏 성장해서, 쭉 아이돌로서 서있는거야"
0000000000000,プロデューサー,そういう意味では、変わり続けてるんだと思うよ,"그런 의미로는, 계속 변하고 있다고 생각해"
1011002010110,樹里,……おー、そっか,"…… 오─, 그런가"
1011002010120,樹里,"だったら……
これからも、アタシらしくいなきゃだよな……！","그러면……
앞으로도, 나답게 있어야겠지……!"
info,produce_events/101100211.json,
번역자,,
