id,name,text,trans
1006004040010,咲耶,──小さな天使たち、楽しんでいるかい？,"──작은 천사들, 즐기고 있어?"
1006004040020,咲耶,"ありがとう
どうかそのまま、めいっぱい楽しんでほしい","고마워
부디 그 상태로, 힘껏 즐겨줘"
1006004040030,咲耶,"そしてよかったら──
キミたちの思い出に、私たちを住まわせてくれ","그리고 괜찮다면──
너희의 추억에, 우리가 깃들게 해줘"
1006004040040,咲耶,"キミたちが会いたいと思ったその時に
何度だって出会い、繋がろうじゃないか！","너희가 만나고 싶다고 생각한 그때
몇 번이라도 만나서, 이어 나가자!"
1006004040050,咲耶,私たちはそのためにいるのだから,우리는 그러기 위해 있으니까
1006004040060,咲耶,……どうか、この魔法にかかってくれますよう,"……부디, 이 마법에 걸려주기를"
0000000000000,プロデューサー,──この間の録画か？,──지난 번 녹화야?
1006004040070,咲耶,！,!
1006004040080,咲耶,"──フフ
ああ、そうだよプロデューサー","──후후
응, 맞아 프로듀서"
1006004040090,咲耶,"生徒さんたちの笑顔が
とてもよく映っていて──……","학생분들의 미소가
정말로 잘 찍혀서──……"
1006004040100,咲耶,"改めて
嬉しいなぁ、と……","새삼스럽게
기뻐서……"
0000000000000,プロデューサー,おう,응
1006004040110,咲耶,"……そして、白状しよう
実は探してしまったんだ","……그리고, 자백할게
실은 찾고 있었어"
1006004040120,咲耶,あの時の女の子が映っているんじゃないかって,그때 그 여자애가 찍히지 않았을까 하고
0000000000000,プロデューサー,どうだった？,어땠어?
1006004040130,咲耶,……私は、ライブを通してあの子に伝えたかった,"……나는, 라이브를 통해 그 애에게 전하고 싶었어"
1006004040140,咲耶,"実際に隣にいることは叶わなくても
きっとキミの支えになるからと","실제로 옆에 있는 건 이루어지지 않더라도
반드시 너의 버팀목이 될 거라고"
1006004040150,咲耶,"…………
あの子の寂しさを、少しは理解できるつもりだから","…………
그 애의 외로움을, 조금은 이해하고 있으니까"
1006004040160,咲耶,だから、特に力になりたくて──,"그러니까, 특히 더 힘이 되고 싶어서──"
0000000000000,プロデューサー,"──うん
伝えよう。力になろう","──응
전하자. 힘이 되자"
0000000000000,プロデューサー,"今回の結果は──わからなかったかもしれないけど
あの子にも、他のもっとたくさんの人たちにも","이번 결과는──몰랐을지도 모르지만
그 애에게도, 훨씬 더 많은 다른 사람에게도"
0000000000000,プロデューサー,"誰かに寄り添おうとする咲耶の気持ちを
誰にでも、どこにでも、何度だって","누군가에게 다가서려는 사쿠야의 마음을
누구에게든, 어디에든, 몇 번이라도"
0000000000000,プロデューサー,伝えていこう,전해나가자
1006004040170,咲耶,──……フフッ……！,──……후훗……!
1006004040180,咲耶,"まったく同じことをお願いしようとしていたんだよ、
私のプロデューサー","완전히 똑같은 부탁을 하려고 했어,
나의 프로듀서"
0000000000000,プロデューサー,え,에
1006004040190,咲耶,……私は、いくつもの選択を経てここにいる,"……나는, 몇 가지 선택을 거쳐서 여기에 있어"
1006004040200,咲耶,"ここにいることは、
常に最良の選択をした結果だと思っている","여기에 있는 건,
항상 최선의 선택을 한 결과라고 생각해"
0000000000000,プロデューサー,ああ,응
1006004040210,咲耶,"──だからね
私は自分の選択の結果に、胸を張りたいんだ","──그러니까
나는 내 선택의 결과에, 가슴을 펴고 싶어"
1006004040220,咲耶,"……もしかしたら
誰かを傷つける選択もあったかもしれない","……어쩌면
누군가를 상처 입히는 선택도 있었을지도 몰라"
0000000000000,プロデューサー,……,……
1006004040230,咲耶,"──いや、今のは綺麗に言ってしまったね
誰かを傷つけて選んだ道もある","──아니, 방금 건 아름답게 포장해버린 말이네
누군가를 상처 입히고 고른 길도 있어"
0000000000000,プロデューサー,……咲耶……,……사쿠야……
1006004040240,咲耶,その人たちへの、私なりのせめてもの誠意として,"그 사람들을 향한, 내 나름의 최소한의 성의로"
1006004040250,咲耶,"この道を。選び取った今の道を──
私は、しっかり進んでいると","이 길을. 선택해서 취한 이 길을──
나는, 착실하게 나아가고 있다고"
1006004040260,咲耶,"そう示さなければ、と思っていた
──それは、変わらない","그렇게 보여줘야겠다, 하고 생각했어
──그건, 변함없어"
1006004040270,咲耶,けれどその上でひとつ、やりたいことを見つけた,"하지만 거기에 더해 한 가지, 하고 싶은 일을 찾았어"
1006004040280,咲耶,"この間あの子を前にして
強く心が動いたことで気付いたんだ","저번에 그 아이를 앞에 두고
강하게 마음이 움직여서 깨달았어"
1006004040290,咲耶,"『ひとが私に求めるものすべてに応える』
……それと同時に","『사람이 나에게 원하는 모든 것에 응한다』
……그것과 동시에"
1006004040300,咲耶,"私を求めていない人、求めることができない人にも
寄り添いたい","나를 원하지 않는 사람, 원하지 못하는 사람에게도
다가서고 싶어"
1006004040310,咲耶,アイドルになって、私は、きっと──,"아이돌이 되어서, 나는, 꼭──"
1006004040320,咲耶,──……寂しがっている誰かの、支えになりたいんだ,"──……외로워하는 누군가의, 버팀목이 되고 싶어"
0000000000000,プロデューサー,……それは、新しい目標ってことでいいのかな,"……그건, 새로운 목표라고 해도 될까?"
1006004040330,咲耶,"ああ
……今さらな決意表明になってしまったけれど","응
……지금에 와서야 하는 결의 표명이 되어버렸지만"
0000000000000,プロデューサー,"ははっ、とんでもない！
承ったよ","하핫, 천만에!
잘 들었어"
0000000000000,プロデューサー,一緒に、叶えていこう,"함께, 이뤄나가자"
1006004040340,咲耶,よろしく頼むよ、プロデューサー,"잘 부탁해, 프로듀서"
info,produce_events/100600404.json,
번역자,,
