id,name,text,trans
0000000000000,精肉店の店員,"──プロデューサーさん
夏葉ちゃん！","──프로듀서님
나츠하쨩!"
2013013030010,夏葉,"……あら
精肉店の……","……어머
정육점의……"
0000000000000,精肉店の店員,"おばちゃんでいいんだよ
樹里ちゃんもいつもそう呼ぶんだから","아줌마라고 해도 돼
쥬리쨩도 항상 그렇게 부르니까"
0000000000000,精肉店の店員,"それより新メニューが出たのよ
ひとつどう？","그것보다 신메뉴가 나왔거든
하나 어때?"
0000000000000,プロデューサー,……新メニューってもしかして,……신메뉴란 게 혹시
0000000000000,プロデューサー,"あそこに書かれてる
『チョコのコロッケ』ってやつか……？","저기에 쓰여있는
『초콜릿 크로켓』인가……?"
2013013030020,夏葉,"ええ、そうじゃないかしら……
『新商品』って書いてあるし","응, 그렇지 않을까……
『신상품』 이라고 쓰여있고"
0000000000000,プロデューサー,"…………
それって美味いのか……？","…………
그거 맛있을까……?"
2013013030030,夏葉,"そうね、チョコとコロッケ
合うのかどうか……","글쎄, 초콜릿과 크로켓
어울릴지 어떨지……"
2013013030031,夏葉,…………,…………
0000000000000,精肉店の店員,"ほら、もうすぐバレンタインでしょう？
だからウチでもそれに合わせて作ったのよ","보렴, 이제 곧 발렌타인이잖니?
그래서 우리도 거기에 맞춰서 만든 거란다"
0000000000000,プロデューサー,はは、そうなんですね……,"하하, 그러셨군요……"
0000000000000,精肉店の店員,これが意外にイケるのよ？,이게 의외로 먹힌다니까?
0000000000000,精肉店の店員,"ここら辺の学生さんたちなんか
みんな帰りに買って行くんだから","이 근처의 학생들이 왠지
다들 하교길에 사가더라고"
0000000000000,プロデューサー,"この商店街でも、バレンタイン商戦が
始まってるのか……！","이 상점가에도, 발렌타인 경쟁이
시작되고 만 건가……!"
2013013030040,夏葉,そうみたい,그런 것 같아
2013013030041,夏葉,…………,…………
2013013030042,夏葉,……うん,……응
0000000000000,プロデューサー,"……じゃあ
それをふたつ、お願いします","……그럼
그거 두 개, 부탁드릴게요"
0000000000000,精肉店の店員,"はいよー
毎度ねー！","알았어
항상 고마워!"
0000000000000,プロデューサー,──お……？,──오……?
0000000000000,プロデューサー,これ、意外といけるな……！,"이거, 의외로 괜찮아……!"
2013013030050,夏葉,"ふふっ、本当？
それなら、私も──……","후훗, 정말?
그럼, 나도……"
2013013030060,夏葉,"……！
本当ね……！","……!
정말이네……!"
2013013030070,夏葉,"コロッケというよりは
チョコレートのお菓子って感じだけど……","크로켓이라기 보다
초콜릿 과자란 느낌이지만……"
0000000000000,プロデューサー,ああ、そうだな,"응, 그러게"
0000000000000,プロデューサー,"バレンタインって
色々なチョコの商品が出るけど","발렌타인 시즌엔
여러가지 초콜릿 상품이 나오지만"
0000000000000,プロデューサー,"こういう変わり種も
面白いよな","이런 색다른 것도
재밌네"
2013013030080,夏葉,……ええ、そうね,"……응, 그러게"
select,,また買いに行こう,또 사러가자
select,,何事も挑戦だよな,뭐든 도전해볼 가치가 있네
select,,"買い食いすると
余計に美味いよな","군것질하다 보면
괜히 더 맛있지"
2013013030090,夏葉,ふふっ、そんなに気に入ったの？,"후훗, 그렇게 마음에 들었어?"
0000000000000,プロデューサー,"だって、さっきあの店のおばちゃん
言ってただろ？","그렇지만, 아까 가게 아주머니도
그랬잖아?"
0000000000000,プロデューサー,バレンタインまでの限定だって,발렌타인까지 한정판매라고
2013013030100,夏葉,"そうね、そう考えたら
もう一度くらい食べたい気もするわ","그랬지, 그렇게 생각하니
한번 더 먹고 싶어질만 하네"
0000000000000,プロデューサー,そうだろ？,그렇지?
2013013030110,夏葉,"でも、来月にはホワイトデー用の
新メニューが出てるんじゃないかしら","그렇지만, 다음달에는 화이트데이용으로
신메뉴가 나오지 않을까?"
0000000000000,プロデューサー,"……た、確かに……！
あり得るな","……화, 확실히……!
그럴 법해"
2013013030120,夏葉,そしたら、また一緒に買いに行きましょう,"그러면, 그때 또 같이 사러가도록 하자"
0000000000000,プロデューサー,"新しい味もさ
結構、食わず嫌いすることもあるけど","새로운 맛도 
먹어보지도 않고 싫어하는 경우도 꽤 있지만"
0000000000000,プロデューサー,"合わないかもって思ってたものが
意外と合ったりするし","안 어울리겠지 싶었던 게
의외로 어울리기도 하고"
2013013030130,夏葉,"そうね
あそこで呼びかけてもらえてよかったわ","그러게
저기서 말을 걸어줘서 다행이었어"
0000000000000,プロデューサー,"ああやって新しいメニューを
出していくのも挑戦的だし……","저렇게 새로운 메뉴를
내놓는 건 도전적인 일이고……"
0000000000000,プロデューサー,すごいな、おばちゃんたち,"굉장하네, 정육점분들"
2013013030140,夏葉,"ええ、私たちも
負けていられないわ","그러게, 우리들도
지고 있을 순 없어"
0000000000000,プロデューサー,"はは、おう！
そうだな","하하, 응!
그렇지"
2013013030150,夏葉,"重めのおやつも頂いてしまったし
今日はしっかりトレーニングしないと！","칼로리가 높은 간식도 먹었겠다
오늘은 똑바로 트레이닝을 해야겠어!"
2013013030160,夏葉,プロデューサーも一緒にどうかしら？,프로듀서도 같이 하는 건 어떨까?
0000000000000,プロデューサー,こうやって外で食べてるとさ,이렇게 밖에서 먹다 보면 말야
2013013030170,夏葉,"……そうね
とっても気持ちがいいし","……그러게
무척 기분이 좋아"
2013013030180,夏葉,なんだか特別な感じがするわよね,왠지 특별한 느낌이 드네
0000000000000,プロデューサー,ああ、そうだよな,"응, 그렇지"
2013013030190,夏葉,それに、誰と一緒かも重要かもしれないわ,"그리고, 누구와 함께 있는가가 중요한 걸지도 몰라"
