id,name,text,trans
1021003090010,円香,哀れみ……,동정……
1021003090020,円香,励まし……,격려……
0,プロデューサー,よかったなあ、CMの評判も上々で──,"다행이네, CM 평판도 좋아서──"
0,プロデューサー,長時間の打ち合わせ、お疲れさま,"긴 시간 미팅, 수고했어"
1021003090030,円香,"お疲れさまでした
この先のスケジュールを整理したいのですが","수고하셨어요
이 다음 스케줄을 정리하고 싶은데요"
0,プロデューサー,"ああ！　俺もそう思っていた
駐車場に戻ったら──","응! 나도 그 생각 했어
주차장에 돌아가서──"
1021003090040,円香,あ……,아……
0,アイドル,あっ……,앗……
0,アイドル,……１階で大丈夫ですかっ？,……1층이면 되나요?
0,プロデューサー,はい、ありがとうございます,"네, 감사합니다"
0,アイドル,いいえ！,아니에요!
1021003090050,円香,尊敬……称賛……？　──違う、どれも失礼,"존경……칭찬……? ──아냐, 둘 다 실례야"
1021003090060,円香,私はこの子になりたいとは思わない,나는 이 아이가 되고 싶지는 않아
1021003090070,円香,なら優越感……いや──……,그렇다면 우월감……아니──……
0,アイドル,"あの……
この間はすみませんでした","저기……
저번에는 죄송했어요"
1021003090080,円香,"え、いや
あれは私が──","에, 아니
그건 내가──"
0,アイドル,"聞いてください！
──私、すぐに降りちゃうので","들어주세요!
──저, 금방 내릴 거라서요"
1021003090090,円香,…………,…………
0,アイドル,樋口さんのことが好きでした,히구치씨를 좋아했어요
0,アイドル,"凛々しくて、迷いがなくて……
たくさんのことを知っていて……","늠름하고, 망설임 없고……
많은 걸 알고 있고……"
0,アイドル,だから、本当は少し嫌い、なんて……えへへ,"그래서, 사실은 조금 싫다, 고 할까……에헤헤"
1021003090100,円香,…………,…………
0,アイドル,──私、樋口さんに会えてよかった,"──저, 히구치씨랑 만나서 다행이에요"
0,アイドル,"あ、着いちゃいました……
すみません、私はここで！","아, 다 왔네요……
실례할게요, 저는 여기서!"
0,アイドル,これからも頑張ってください、樋口さん,"앞으로도 힘내주세요, 히구치씨"
0,アイドル,──またどこかで！,──또 어딘가에서 뵈요!
1021003090130,円香,……待って,……기다려
1021003090140,円香,あのね,있잖아
1021003090150,円香,あなたの一歩は、軽くない,"당신의 한걸음은, 가볍지 않아"
1021003090160,円香,とても重くて、力強い,"무척 무겁고, 힘차"
1021003090170,円香,……頑張ろう。お互いに,……힘내자. 서로
0,アイドル,──！,──!
0,プロデューサー,…………,…………
0,プロデューサー,……伝えられたかな,……전해졌을까
1021003090180,円香,おかげさまで,덕분에
1021003090190,円香,終わりも始まりも、同じように,"끝도, 시작도, 똑같이 "
1021003090200,円香,軽やかで,가벼워서
1021003090210,円香,しかし,하지만
1021003090220,円香,行きましょう,가요
0,プロデューサー,よし,좋아
info,produce_events/102100309.json,
번역자,,
