id,name,text,trans
0000000000000,審判,"────ファイブ・トゥー
チェンジエンド","────파이브 투
체인지 엔드"
0000000000000,クラスメイト１,"……っと
えっ……","……휴
엣……"
0000000000000,クラスメイト１,"……っ
浅倉さん……！？","……
아사쿠라 씨……!?"
3020009020010,円香,……こんな人いた？,……이런 사람 있었어?
3020009020020,透,"え？
……あー、この人ね","에?
……아ー, 이 사람"
3020009020030,透,"────んー……
グー","────음ー……
굿"
3020009020040,透,あの人じゃん、ほら,"그 사람이잖아, 봐봐"
3020009020050,円香,"……
あーはいはい","……
아ー 네 네"
0000000000000,クラスメイト２,さ、２セットめも取るよー！！,"자, 2세트도 따오자ー!!"
0000000000000,クラスメイト２,"おー！　────っと、浅倉さん……！？
ちょ待っ……今────！？","오ー! ────아니, 아사쿠라 씨……!?
잠깐…… 지금────!?"
3020009020060,小糸,こっちのは、入口の席の人じゃないかな……！,이쪽은 입구 쪽 자리에 앉는 사람 아닐까……!
3020009020070,雛菜,小糸ちゃん、知ってるの～？,코이토쨩 알고 있어~?
3020009020080,小糸,"う、うん……！
お昼食べようって迎えに行ったら、いつも入口に──","으, 응……!
점심 먹자고 부르러 가면, 항상 입구에──"
3020009020090,透,"イエス、入口の人
上手いでしょ、バレー","예스, 입구 쪽 사람
잘하잖아, 배구"
0000000000000,クラスメイト３,４組勝利ー！！,4조 승리ー!!
3020009020100,小糸,これ、バレー……だったんだね……！,"이거, 배구……였구나……!"
0000000000000,クラスメイト４,"集中ー
集中ーー！","집중ー
집중ーー!"
3020009020110,透,────……,────……
3020009020120,透,"で、後ろの席の人
これが","그리고, 뒷자리 사람
이게"
3020009020130,透,おー……,오ー……
3020009020140,透,頑張ってた。バスケ,열심히 했어. 농구
3020009020150,小糸,"……！
こ、こっちはバレーじゃないんだね……！","……!
이, 이쪽은 배구가 아니구나……!"
3020009020160,円香,……随分、アップで撮ったね,……너무 얼빡샷이네
3020009020170,雛菜,"ん～
顔しか写ってないね～","응~
얼굴밖에 안 나왔네~"
3020009020180,小糸,ほ、ほんとだ……,"저, 정말이네……"
3020009020190,透,"ふふっ
いいでしょ","후훗
좋잖아"
0000000000000,透の担任,"……おーっと、浅倉
これ、顔ばっかりだなー……！","……어이쿠, 아사쿠라
이거 얼굴밖에 없잖아……!"
3020009020200,透,はい,네
