id,name,text,trans
4901021610010,摩美々,……幽霊？,……유령?
0000000000000,付き人,"ああ
市中で幽霊騒ぎが頻発してるらしい","응
시내에서 유령소동이 빈발하고 있다는 모양이야"
4901021610020,摩美々,へー……,헤ー……
0000000000000,付き人,……『へー』って……,……『헤ー』라니……
4901021610030,摩美々,"……や、だって
私、将軍ですよー？","……아니, 그치만
저, 쇼군이라구요ー?"
4901021610040,摩美々,"私がどうにかできることじゃ
なくないですかぁ？","제가 어떻게 할 수 있는 일이
없지 않나요오?"
4901021610050,摩美々,"将軍家の家紋を見せて
ははーってなる相手ならまだしも……","쇼군 가문의 문장을 보여줘서
네 네ー엣 할 수 있는 상대면 몰라도……"
0000000000000,付き人,"た、確かに
それはそうだな……","화, 확실히
그건 그렇지……"
0000000000000,付き人,──かくなる上は,──이렇게 된 바
0000000000000,付き人,俺がどうにかするしかなさそうだな……！,내가 어떻게든 하는 수 밖에 없겠군……!
0000000000000,付き人,"うおおおおぉぉッッ……！
悪霊退散────！","우오오오오오오옷……!
악령퇴산────!"
4901021610060,摩美々,……熱ー……,……뜨겁네ー……
info,special_communications/490102161.json,
번역자,,
