id,name,text,trans
0000000000000,メイド,きゃっ……,꺄앗……
4901021220010,咲耶,"驚かせてすまないね、
何もアナタを食べてしまおうというわけではないんだ","놀래켜서 미안해,
딱히 당신을 잡아먹으려는 건 아냐"
4901021220020,咲耶,"少し、話を聞きたいだけさ
ほんの少しだけ……","조금, 얘기를 듣고 싶어서 말이지
아주 조금만……"
4901021220030,咲耶,──構わないだろう？,──상관없지?
4901021220040,咲耶,"『館の主人の指輪が盗まれた』という今回の事件……
犯人はアナタだね、可愛らしいメイドさん","『저택 주인의 반지가 도난당했다』는 이번 사건……
범인은 당신이지, 귀여운 메이드씨"
0000000000000,メイド,"そ、そんなわけないでしょう！
私はご主人様に迷惑がかかるようなことはいたしません！","그, 그럴리가 없잖아요!
저는 주인님께 폐를 끼칠만한 일은 하지 않아요!"
4901021220050,咲耶,この館の本当のメイドさんであれば、そうだろうね,"이 저택의 진짜 메이드씨라면, 그렇겠지"
0000000000000,メイド,……どういう意味ですか,……무슨 의미인가요
4901021220060,咲耶,"変装が甘いということさ。気付かなかったかい？
さぁ、盗んだ指輪を出すんだ","변장이 무르다는 의미야. 눈치채지 못한 걸까?
자아, 훔친 반지를 돌려줘"
0000000000000,メイド,"いい加減なことを言わないでください！
私、ダイヤの指輪なんて──","허튼소리 하지 마세요!
저, 다이아 반지따위──"
4901021220070,咲耶,"……おや
私は『ダイヤ』だとは言っていないよ？","……이런
나는 『다이아 반지』라고 말하지 않았다고?"
0000000000000,犯人,！,!
4901021220080,咲耶,"変装は完璧だったのだけれどね
……動揺させてしまったかな","변장은 완벽했지만 말야
……동요시켜 버린 걸까"
info,special_communications/490102122.json,
번역자,,
