id,name,text,trans
990500010001,一同,………………,………………
990500010010,冬優子,………………ん、んん……？,"………………응, 으응……?"
990500010020,冬優子,………………,………………
990500010030,冬優子,…………バカ面ふたり,…………바보같은 얼굴이 둘이라
990500010040,冬優子,"ったく、悩みなんてなんもなさそーな寝顔ね……
…………ふあ","나 참, 아무런 고민도 없다는 듯한 얼굴이네……
…………후아"
990500010050,愛依,"ん……？
あれ……？","응……?
어라……?"
990500010060,愛依,"あー……今日、朝早かったもんね
……ふたりとも、お疲れ","아ー……오늘, 아침 일찍 나왔었지
……둘 다, 수고했어"
990500010070,愛依,"…………いやー……
かわいい子は寝顔もかわいい……","…………이야ー……
귀여운 애는 자는 얼굴도 귀엽네……"
990500010080,愛依,…………やば、うちも眠……,"…………이런, 나도 졸려……"
990500010090,あさひ,"…………………
…………………重い……","…………………
…………………무거워……"
990500010100,あさひ,"むー、わたしは枕じゃないっすよ
ねえ、ふたりと──…………………","무ー, 전 베개가 아니라구요
저기, 둘 다──…………………"
990500010101,冬優子＆愛依,……………,……………
990500010110,あさひ,…………今日だけっすよ,…………오늘만임다
990500010120,あさひ,"………………
わたしも、あとちょっとだけ……","………………
나도, 조금만 더……"
990500010130,あさひ,"おやすみっす……
冬優子ちゃん、愛依ちゃん","잘 자는 검다……
후유코쨩, 메이쨩"
info,business_unit_communication/99050001.json,
번역자,,
