id,name,text,trans
3022004030010,小糸,わたし……！,나……!
3022004030020,小糸,ハロウィンパーティーって初めて……！,할로윈 파티 하는 거 처음이야……!
3022004030030,小糸,ま、円香ちゃん……！,"마, 마도카쨩……!"
3022004030040,小糸,"昨日、あの後作り直して
お、美味しくできたよ！","어제, 그  다음에 다시 만들어서
마, 맛있게 됐어!"
3022004030050,小糸,す、すぐに……！,"그, 금방……!"
3022004030060,円香,"……ん
よかったね","……응
잘됐네"
3022004030070,小糸,"え、えへへ……
テーブルに並べちゃおうかな……！","에, 에헤헤……
테이블에 늘어 놓을까……!"
3022004030080,小糸,"みんなのお菓子も並べよう！
もうそろそろ始まりだもんね……！","모두의 간식도 늘어놓자!
이제 슬슬 시작이니까……!"
3022004030090,円香,…………,…………
3022004030100,円香,"あのふたり、
何も持ってきてないみたいだけど","그 둘,
아무것도 안 가져온 거 같은데"
3022004030110,小糸,え…………！,에…………!
3022004030120,小糸,"と、透ちゃんと雛菜ちゃん、
お菓子は！？","토, 토오루쨩하고 히나나쨩,
간식은!?"
3022004030130,透,え？,에?
3022004030140,雛菜,へ～？,헤~?
3022004030150,小糸,"今日、お菓子、
ひとりひとつって……","오늘, 간식,
한 사람당 한 개씩이라고……"
3022004030160,小糸,約束だった、よね……？,"약속했었, 지……?"
3022004030170,小糸,…………,…………
3022004030180,小糸,"も、もう！
仕方ないな……！","저, 정말!
어쩔 수가 없네……!"
3022004030190,小糸,"こ、こんなこともあろうかと
いっぱい作っておいてよかった！","이, 이런 일이 있을까 싶어서
잔뜩 만들어서 가져오길 잘했어!"
3022004030200,小糸,"ほら、もうそろそろ
放送始まっちゃうよ……！","자, 이제 슬슬
방송 시작한다구……!"
3022004030210,透,────映ってる？　これ,────나오는 거야? 이거
3022004030220,雛菜,"やは～！
雛菜の声聞こえてる～？","야하~!
히나나의 목소리 들려~?"
3022004030230,雛菜,"わ～、すごい
『聞こえてる』ってコメント流れてく～！","와~, 굉장해
『들려』라고 코멘트 흐르고 있어~!"
