id,name,text,trans
4001030080001,off,服が２着、同じもの,"옷 두 벌, 똑같은 것"
4001030080002,off,靴が２足、同じもの,"구두 두 켤레, 똑같은 것"
4001030080003,off,イチゴ、ピーチ、砂糖菓子,"딸기, 복숭아, 설탕과자"
4001030080004,off,ケーキの上に、同じだけ,"케이크 위에, 똑같은 만큼"
4001030080010,甘奈,服が２着、違うもの,"옷 두 벌, 다른 것"
4001030080020,甜花,靴が２足、違うもの,"구두 두 켤레, 다른 것"
4001030080030,甘奈,違う遊び、違う願い,"다른 놀이, 다른 소원"
4001030080040,甜花,イチゴとピーチはそれぞれで,딸기랑 복숭아는 제각각
4001030080041,甘奈＆甜花,砂糖菓子は、はんぶんこ,"설탕과자는, 반반"
4001030080042,甘奈＆甜花,デビ太郎！　デビ太郎！　デビ太郎！,데비타로! 데비타로! 데비타로!
4001030080043,甘奈＆甜花,デビ太郎！　デビ太郎！　デビ太郎！,데비타로! 데비타로! 데비타로!
4001030080050,甜花,い、今ので……何秒……！？,"지, 지금 걸로……몇 초……!?"
4001030080060,千雪,……！　１秒……切ってる……！,……! 1초……끊었어……!
4001030080070,甘奈,ね～っ！？,그치~!?
4001030080080,千雪,"すごーい……！
これなら、３回お願いできちゃいそう……","굉장해ー……!
이러면 소원 3번은 빌 수 있을 것 같아……"
4001030080090,甜花,"にへへ……だから、
デビ太郎、おうちに……来た……！","니헤헤……그래서,
데비타로, 우리 집에……왔어……!"
0,パパ,"ハハハ、ふたり揃ってデビ太郎を
連呼しはじめた時には何事かと思ったよ","하하하, 둘이서 데비타로를
계속 부르기 시작했을 때는 무슨 일인가 했지"
0,パパ,"キャンプ場いっぱいに響いてな
他のテントの人たちも笑っていたなぁ……","캠핑장에 가득 울려서 말야
다른 텐트 사람들도 웃고 있었지……"
4001030080100,甘奈,"えー、そうだったの！？
全然気付かなかった……","에ー, 그랬었어!?
전혀 몰랐어……"
4001030080110,千雪,ふふふっ,후후훗
4001030080120,甘奈,"うう……今日はキャンプ場じゃないし……
ご近所迷惑なので……心の中で……","으으……오늘은 캠핑장도 아니고……
근처에 민폐가 되니까……마음 속으로……"
4001030080130,甜花,"にへへ……
なーちゃん、ずるっこ","니헤헤……
나쨩, 약삭빨라"
4001030080140,甘奈,ず、ずるくないよ～！,"야, 약삭빠르지 않아~!"
4001030080141,一同,あはは……！,아하하……!
0,ママ,みんな、そろそろ時間になるわよ──,"다들, 슬슬 시간 된다──"
4001030080150,甜花,"ち、千雪さん……！　これ、ママから……
あったかいの、飲んで……","치, 치유키 씨……! 이거, 엄마가……
따뜻한 거, 마셔……"
4001030080160,千雪,"ありがとう……！
あれ、これもしかしてホットワイン……？","고마워……!
어라, 이거 혹시 핫 와인……?"
4001030080170,甘奈,"あっ、そう！
甘奈がお母さんに作ってもらったの","아, 맞아!
아마나가 엄마한테 만들어달라 했어"
4001030080180,甘奈,今日の千雪さんは大崎家のゲストですから……！,오늘의 치유키 씨는 오사키가의 손님이시니까요……!
4001030080190,千雪,"わ……！　そんな……
私のせいで遠出できなかったのに……","와……! 그럴 수가……
나 때문에 멀리 나가지 못한 건데……"
4001030080200,千雪,"えーん……
明日、部屋のガス点検がなければ……","에엥ー……
내일 방 가스 점검만 없었으면……"
4001030080210,甘奈,"ええっ、むしろ、
うちにご招待でごめんなさい……！","에엣, 오히려,
집에 초대해서 미안해……!"
4001030080220,甘奈,"でも今日は『千雪さんにお礼する日』なので、
ささやかですが、めーっちゃ、おもてなしさせてください☆","그치만 오늘은 『치유키 씨에게 답례하는 날』이니까,
소소하지만, 엄ー청, 대접하게 해주세요☆"
4001030080230,甜花,うん……！,응……!
4001030080240,甜花,"いっぱい、いっぱい、助かりました
いっぱいありがと……千雪さん","많이, 많이, 도움이 됐어요
많이 고마워……치유키 씨"
4001030080250,千雪,……ううん,……아니야
4001030080260,千雪,"じゃあ恐縮ながら……
いただきます","그럼 황송하지만……
잘 먹겠습니다"
4001030080270,千雪,…………,…………
4001030080280,千雪,"ふふっ……
あったかい……","후훗……
따뜻해……"
4001030080290,甘奈,……あっ、見て……！,"……앗, 봐……!"
4001030080300,甘奈,流れ星……！,별똥별……!
4001030080310,甜花,……ほんとだ、いた……！,"……정말이다, 있어……!"
4001030080320,千雪,"わぁ…………
すごい……！","와아…………
굉장해……!"
0,ママ,ふふ……,후후……
0,ママ,ほらほら、みんな。願い事は？,"자, 자, 얘들아. 소원은?"
4001030080321,一同,…………！,…………!
4001030080322,一同,…………,…………
4001030080323,一同,えへへ……,에헤헤……
4001030080330,甜花,……住宅街だから,……주택가니까
4001030080340,千雪,心の中、かな,"마음 속, 으로려나"
4001030080350,甘奈,うん,응
4001030080360,千雪,流れ星は、１秒,"별똥별은, 1초"
4001030080370,甘奈,その間に,그 사이에
4001030080380,甜花,３回……,3번……
4001030080381,一同,…………,…………
4001030080390,甜花,すー……すー……,새근ー……새근ー……
4001030080400,甜花,すー…………、……う……ぅ……？,"새근ー…………, ……으……으……?"
4001030080410,甜花,"ん……？　あ……
なー……ちゃん？","응……? 아……
나……쨩?"
4001030080420,甘奈,えへへ、デビたろうとふたりなんてずるいよ～,"에헤, 데비타로랑 둘만이라니 치사해~"
4001030080430,甘奈,あまなも入れて,아마나도 껴줘
4001030080440,甘奈,"いっしょにねよ……
てんかちゃん","같이 자자……
텐카쨩"
4001030080450,甜花,"でも……
かぜうつっちゃうからダメって……","그치만……
감기가 옮아서 안 된다고……"
4001030080460,甘奈,うん……,응……
4001030080470,甘奈,……だから、ないしょね？,"……그러니까, 비밀이야?"
4001030080480,甜花,……わかった,……알았어
4001030080481,甘奈＆甜花,……,……
4001030080490,甘奈,ね、てんかちゃん……,"있잖아, 텐카쨩……"
4001030080500,甜花,ん……？,응……?
4001030080510,甘奈,"ねつの時くらい、
あまなのこと……たよってね","열 날 때 정도는
아마나한테……기대줘"
4001030080520,甜花,ん……？　んー………………,응……? 음ー………………
4001030080530,甜花,"てんか……
いつも、たよってばっかだよ","텐카……
언제나, 기댈 뿐인걸"
4001030080540,甘奈,……,……
4001030080550,甘奈,ありがと……,고마워……
4001030080551,甘奈＆甜花,……,……
4001030080552,甘奈＆甜花,すぅ……、すぅ……,"새근……, 새근……"
4001030080553,甘奈＆甜花,すぅ……,새근……
info,game_event_communications/400103008.json,
번역자,,
