id,name,text,trans
3007007010010,恋鐘,う～ん……,음~……
3007007010020,恋鐘,"コアクマ……コアクマ……
どがんクマばい～……","소악마……소악마……
뭔 곰이여~……"
3007007010030,咲耶,クマではなくてアクマだよ、恋鐘,"곰이 아니라 소악마야, 코가네"
3007007010040,恋鐘,……知っとるよ～！　冗談ばい！,……알고 있어야~! 농담이여!
3007007010050,結華,"いや絶対、『知らんかったよ～！』な
動きだったやないか～い！","아니, 완전히 『몰랐어~!』 하는
몸짓 아녔냐~!"
3007007010060,結華,"っていうか、ぶふっ……！
これ、最初っから面白すぎない……！？","그러고 보니까, 후훗……!
이거, 처음부터 너무 재미있지 않아……!?"
3007007010070,霧子,ふふっ……クマさん……！,후훗……곰 씨……!
3007007010080,結華,"こがたんほんっとずるいよね～……！
それにさくやんもさぁ、善意のマジレス破壊力高いわぁ","코가땅 정말 치사하네~……!
거기다 사쿠양도 말야, 선의로 한 진지 답변이 파괴력 높구만~"
3007007010090,結華,はーもう……,하ー정말……
3007007010100,結華,"このオーディオコメンタリー、終わる頃には
三峰笑いすぎで腹筋どうにかなってるんじゃないかなぁ","이 오디오 코멘터리 끝날 때쯤이면
미츠미네는 너무 웃어서 복근이 어떻게 되어버리지 않으려나"
3007007010110,霧子,"うん……
ふふふっ……","응……
후후훗……"
3007007010120,恋鐘,"『……ん～～
色々イメージはしてきたばってん……』","『……음~~
여러 가지 이미지는 그려 왔지만은……』"
3007007010130,恋鐘,"『次、本番って思ったら
急にわからんくなってきたと……！』","『인쟈, 실전이라고 생각한께
갑자기 머릿 속이 새하얗게 된 거여……!』"
3007007010140,結華,あーあーほら、こがたん迷走しちゃってるし,"아ー아ー봐, 코가땅 이상한 데로 가고 있잖아"
3007007010150,結華,……まぁでもわかるよー,……뭐 그래도 이해해ー
3007007010160,結華,"慣れないことやる時って色々考えるし、
そのくせ直前になると吹っ飛んじゃったりするよねー","익숙하지 않은 걸 할 때는 여러 가지 생각하고,
그런데도 직전에는 휙 날아가버리지"
3007007010170,結華,きりりんはどう？,키리링은 어때?
3007007010180,霧子,"わたしも……
そうだよ……","나도……
그래……"
3007007010190,結華,"そっかそっか。やっぱり小悪魔とかクールとか──
今回の設定、悩んだ？","그렇구나. 역시 소악마라든가 쿨이라든가──
이번 설정 고민했어?"
3007007010200,霧子,"うん……
でも……","응……
그래도……"
3007007010210,霧子,"咲耶さんに教えてもらったから……
今は……ばーりばりだよ……","사쿠야씨가 가르쳐 줬으니까……
지금은……겁ー나겁나야……"
3007007010220,結華,"あははっ、ばーりばりか～！
確かに、今回はさくやん特にイキイキしてたよね！","아하핫, 겁ー나겁나인가~!
확실히, 이번에는 사쿠양이 특히 팔팔했었지!"
3007007010230,結華,"演技指導もお手の物って感じでさ～
ま、三峰のこと放っておく薄情っぷりも見せてたけど！","연기 지도도 특기라는 느낌으로 말야~
뭐, 미츠미네는 내버려두는 박정한 모습도 보여줬지만!"
3007007010240,霧子,"ふふっ……
結華ちゃんは……得意そうだから……","후훗……
유이카쨩은……자신있는 것 같으니까……"
3007007010250,結華,"えー？
だっから小悪魔なんて柄じゃないって～","엥?
그러니까 소악마 같은 거 안 어울린다니까~"
3007007010260,恋鐘,"『あ～っ！　そればい～！
摩美々の真似すればよか～！！』","『아~! 바로 그거여~!
마미미 흉내를 내면 되잖어야~!!』"
3007007010270,結華,"──ほらね？
こがたんもああ言ってることだし","──봐봐?
코가땅도 저렇게 말하잖아"
3007007010280,霧子,ふふ……,후후……
3007007010290,恋鐘,"うん～！
えっとね～……","응~!
으음~……"
3007007010300,恋鐘,──……『ふふー』,──……『후후ー』
3007007010310,咲耶,クスッ……,훗……
3007007010320,恋鐘,どがん～！？,워뗘~!?
3007007010330,摩美々,…………私、そんなんじゃないケドー……,…………나 그렇게 안 하는데ー……
3007007010340,結華,こがたん渾身の小悪魔……！,코가땅 혼신의 소악마……!
3007007010350,霧子,こがみちゃん……だね……,코가미쨩……이네……
3007007010360,結華,"こがたん＋まみみんだから？
わー……大変なハイブリッドだよそれは","코가땅+마미밍이니까?
와ー……꽤나 하이브리드야 그거"
3007007010370,結華,"──しかしまぁ、三峰が頑張って撮影してる間に
こんな愉快なことになっていたとは……","──그래도 뭐, 미츠미네가 열심히 촬영하는 사이
이렇게 유쾌한 상황이 됐을줄은……"
3007007010380,霧子,"ふふっ……
あ、ごめんね……結華ちゃん……","후훗……
아, 미안해……유이카쨩……"
3007007010390,結華,"アンティーカはちょっと目を離すとすぐこれなんだもん
人がいない時に面白いことやるの禁止だよー？","안티카는 잠깐 눈을 떼면 바로 이렇게 되는걸
나 없을 때는 재미있는 일 금지라구ー?"
3007007010400,霧子,"うん……
今度は……結華ちゃんも一緒に……","응……
다음에는……유이카쨩도 같이……"
3007007010410,霧子,面白いこと……しようね……,재미있는 일……하자……
3007007010420,摩美々,……じゃー,……그럼ー
3007007010430,摩美々,──『ば～りばりばい～』,──『겁~나겁나여~』
3007007010440,恋鐘,"なっ……なして～っ！
それ、うちばい～！？","뭐……뭐시여~!
그거, 나인겨~!?"
3007007010450,霧子,ふ……ふふっ……,후……후훗……
3007007010460,恋鐘,うちじゃなくて～！　小悪魔～！,나가 아니라~! 소악마~!
3007007010470,結華,"──と言いながら、早速画面の中で
大層楽しそうなきりりんなのであった──","──그러면서, 바로 화면 가운데서
엄청 즐거워하는 키리링이 있었다──"
3007007010480,霧子,えっ……,엣……
3007007010490,結華,"えへへ、冗談っ
だってうらやましいんだもーん","에헤헤, 농담
하지만 부러운걸ー"
3007007010500,霧子,…………そっか……,…………그렇구나……
3007007010510,結華,あーあ、もっと早く撮影終わってればなぁ,"아ー, 좀더 빨리 촬영 끝났더라면 좋았을걸"
3007007010520,霧子,……でも……,……하지만……
3007007010530,霧子,"結華ちゃんの撮影は……
すっすって……","유이카쨩의 촬영은……
슥슥해서……"
3007007010540,霧子,とっても早かったよ……！,무척 빨랐어……
3007007010550,結華,うん？　そうだった？,응? 그랬어?
3007007010560,霧子,"うん……！
ほら──","응……!
봐봐──"
3007007010570,結華,『お疲れ様でーす』,『수고하셨습니다ー』
3007007010580,結華,"あ、ほんとだ。帰ってきてる
なんだぁ、ほんとにニアミスじゃん！","아 진짜다. 돌아왔어
뭐야, 정말로 간발의 차였잖아!"
3007007010590,結華,惜しいことしたな～……,아쉽게 됐네~……
3007007010600,咲耶,おや結華、お疲れ様,"어머 유이카, 수고했어"
3007007010610,霧子,おかえりなさい……,어서 오세요……
3007007010620,結華,うん、ただいまぁ,"응, 다녀왔어"
3007007010630,霧子,あ、結華ちゃん……,"아, 유이카쨩……"
3007007010640,霧子,前髪、直した……,"앞머리, 고쳤다……"
3007007010650,結華,え？,응?
3007007010660,霧子,"あのね……ときどき……
結華ちゃんが……してる仕草で……","있잖아……가끔씩……
유이카쨩이……하는 버릇……"
3007007010670,霧子,"みんなに会った時……
前髪……サラッて……","모두랑 만날 때……
앞머리……스륵 하고……"
3007007010680,結華,"えっ、嘘？
そんなことしてる？","에, 진짜?
그런 거 했어?"
3007007010690,霧子,うん……,응……
3007007010700,霧子,きっと……みんなのことを見て……,분명……모두를 보고……
3007007010710,霧子,"ただいまって……
言ってくれてるんだなって……","다녀왔어 하고……
말해주는구나 하고……"
3007007010720,結華,……っ,……읏
3007007010730,結華,"も、もー……！　きりりんはー……！
またそうやっておしゃれなこと言って～……！","저, 정말……! 키리링은ー……!
또 그렇게 멋진 말하고~……!"
3007007010740,霧子,……？,……?
3007007010750,結華,"そんなに素敵な意味もらっちゃったら、
三峰だって照れちゃうよ","그렇게 근사한 의미를 부여해버리면
미츠미네라도 부끄러워진다구"
3007007010760,霧子,ち、違う……かな……！,"아, 아니……려나……!"
3007007010770,結華,んー……,음ー……
3007007010780,結華,"まぁ、自覚のない前髪いじりでしたけどー
素敵なので採用です！","뭐, 자각 없는 앞머리 만지기였지만
근사하니까 채용하죠!"
3007007010790,霧子,採用……,채용……
3007007010800,結華,"そ！　──それで、もしきりりんが言ったみたいな意味が
こもってるんだったら──","응! ──그래서, 혹시 키리링이 말한 것 같은 의미가
들어있다면──"
3007007010810,結華,"それはきりりんを筆頭に、みんなが気持ちよく
迎えてくれるからなんじゃないかな？　なんて","그건 키리링을 필두로, 모두가 기분 좋게
맞이해 줬으니까 그런 게 아닐까? 막 이렇게"
3007007010820,結華,三峰は思ったり,미츠미네는 생각해봤어
3007007010830,霧子,わぁ……うん……！,와……응……
3007007010840,霧子,"そうだったら……
いいな……","그런 거였으면……
좋겠네……"
info,produce_events/300700701.json,
译者,,
