id,name,text,trans
0000000000000,プロデューサー,"終わったな……！
いいステージを見せてもらった","끝났네……!
좋은 스테이지를 보여줬어"
6002004040010,灯織,はい……！,네……!
6002004040020,灯織,"今の私ができる精いっぱいを
出せたんじゃないかなって思います","지금의 제가 할 수 있는 최선을
내보이지 않았나라고 생각해요"
6002004040030,灯織,まぁ……細かい反省点は多々ありますが,뭐……세세한 반성점은 많이 있지만
0000000000000,プロデューサー,……はは、うん,"……하하, 응"
0000000000000,プロデューサー,"でも、お客さんもイルミネみんなも
すごく楽しそうだった","그치만, 관객들도 일루미 전원도
정말 즐거워 보였어"
0000000000000,プロデューサー,今くらいは、成功を手放しに喜んでいいと思うぞ！,"지금 정도는, 성공을 내려놓고 기뻐해도 좋다고 생각한다고!"
6002004040040,灯織,"……そうですね
今くらいは","……그렇네요
지금 정도는"
6002004040050,灯織,"好きなものでいっぱいだった時間を
噛みしめようと思います","좋아하는 것이 잔뜩이었던 시간을
음미하려고 생각해요"
6002004040060,灯織,とても……楽しかったです,정말로…… 즐거웠어요
6002004040070,灯織,"こんな景色をまた見られるように
これからも頑張らないと……！","이런 풍경을 또 볼 수 있도록
앞으로도 열심히 해야겠죠……!"
6002004040080,灯織,"あの、プロデューサー
明日ってレッスン場は空いていますか？","저기, 프로듀서
내일 레슨실은 비어있나요?"
0000000000000,プロデューサー,"灯織……
わかった。確認しておくよ","히오리……
알겠어. 확인해둘게"
0000000000000,プロデューサー,"とりあえずは撤収が先な？
汗が冷えないうちに着替えないと","일단은 철수가 먼저니까?
땀이 식기 전에 옷 갈아입자"
6002004040090,灯織,"ふふっ
はい","후훗
네"
6002004040100,灯織,ありがとうございます……！,감사합니다……!
info,produce_events/600200404.json,
번역자,,
