id,name,text,trans
2015013020010,甜花,──う、売り切れ……,"다, 다 팔렸어……"
0000000000000,プロデューサー,"…………
甜花……","…………
텐카……"
2015013020020,甜花,あ──,아
0000000000000,プロデューサー,どうした、甜花？,"왜 그래, 텐카?"
2015013020030,甜花,え、えと……,"그, 그게……"
2015013020040,甜花,……あそこの、お菓子屋さん……,"……저쪽에 있는, 과자가게……"
2015013020050,甜花,"有名で、
美味しいとこ……って……","유명하고,
맛있는 곳……이라고……"
2015013020060,甜花,"なーちゃんが
言ってたなーって……","나쨩이
말했었지 싶어서……"
0000000000000,プロデューサー,おっ、そうなのか？,"오, 그랬어?"
0000000000000,プロデューサー,"それじゃあ、せっかく近くに来たんだし
帰りに買ってこうか","그러면, 모처럼 근처에 왔으니까
돌아가는 길에 사고 갈까"
2015013020070,甜花,"え……
や、やった……！","에……
마, 만세……!"
2015013020080,甜花,"じゃあ……
今日のお仕事……","그럼……
오늘 일……"
2015013020090,甜花,"これのために……
頑張る、ね……！","이걸 위해서……
힘낼, 게……!"
2015013020100,甜花,にへへ……,니헤헤……
0000000000000,プロデューサー,…………,…………
0000000000000,プロデューサー,──甜花,텐카
0000000000000,プロデューサー,"次、この辺りに来たときは
仕事の前に買っておくからさ","다음에, 이 근처에 올 때엔
일하기 전에 사둘 테니까"
2015013020110,甜花,甜花は……,텐카는……
2015013020120,甜花,"今日、お仕事……
頑張ったのに……","오늘, 일……
열심히 했는데……"
0000000000000,プロデューサー,…………,…………
0000000000000,プロデューサー,"そ……
そうだ、甜花！","그……
그래, 텐카!"
2015013020130,甜花,……？,……?
0000000000000,プロデューサー,"スイーツの代わりに、
そこの花屋さんで花でも買ってかないか？","간식 대신에,
저쪽 꽃집에서 꽃이라도 사지 않을래?"
2015013020140,甜花,"お花じゃ……
お腹いっぱいにならない……","꽃으론……
배를 채울 수 없어……"
select,,まあ、そう言わずにさ,"자 자, 그러지 말고"
select,,"リフレッシュには
なるんじゃないか？","기분전환은
되지 않을까?"
select,,"『心を満たす花々』
──だってさ","『마음을 채우는 꽃들』
이래"
2015013020150,甜花,…………,…………
2015013020160,甜花,わ……！,와……!
2015013020170,甜花,"す、すごい……！
お花、綺麗……！","괴, 굉장해……!
꽃, 예뻐……!"
0000000000000,プロデューサー,"はは
欲しい花、見つけたら言ってくれ","하하
갖고 싶은 꽃, 찾으면 말해줘"
2015013020180,甜花,あ……じゃあ──,아…… 그럼──
2015013020190,甜花,"甜花……このお花……！
ちっちゃくて、ピンクのやつ……！","텐카…… 이 꽃……!
쪼끄마한, 핑크색 꽃……!"
0000000000000,プロデューサー,おお、もう決めたのか,"오, 벌써 정한 거야?"
2015013020200,甜花,"うん……！
これ、可愛い……","응……!
이거, 귀여워……"
0000000000000,プロデューサー,"……そうか
今日のご褒美が見つかってよかったよ","……그렇구나
오늘의 상을 찾아서 다행이네"
2015013020210,甜花,"あ……
でも──","아……
그치만──"
2015013020220,甜花,"帰り……
コンビニで、プリンも……お願い、ね……！","가는 길에……
편의점에서, 푸딩도……부탁, 할게……!"
2015013020230,甜花,"え……
そう、かな……","에……
그러, 려나……"
2015013020240,甜花,わ……！,와……!
2015013020250,甜花,"ぷ、プロデューサーさん……！
このお花……可愛い……！","프, 프로듀서님……!
이 꽃…… 귀여워……!"
0000000000000,プロデューサー,"これか？
この、ピンク色の──","이거 말야?
이, 핑크색──"
2015013020260,甜花,そう……！,응……!
0000000000000,プロデューサー,"……なんか、
甜花に似合う花だな","……뭔가,
텐카한테 어울리는 꽃이네"
2015013020270,甜花,"え……
そ、そう……？","에……
그, 그래……?"
2015013020280,甜花,"じゃあ……
これ、欲しい、な……","그럼……
이거, 갖고 싶은, 데……"
0000000000000,プロデューサー,はは、オッケーだ,"하하, 오케이"
0000000000000,プロデューサー,"……やっぱり
リフレッシュになったみたいでよかったよ","……역시
기분전환이 된 것 같아서 다행이야"
2015013020290,甜花,"にへへ……
うん……！","니헤헤……
응……!"
2015013020300,甜花,"あ──
でも……","아──
그치만……"
2015013020310,甜花,"帰り、コンビニでアイスも……
買ってね……？","가는 길에, 편의점에서 아이스크림도……
사줄 거지……?"
2015013020320,甜花,"甜花は……
お腹を……満たされたい……","텐카는……
배를……가득 채우고 싶어……"
0000000000000,プロデューサー,"まあまあ……！
ほら、とりあえず行ってみよう","자자 그러지 말고……!
일단 들어가보자"
2015013020330,甜花,わ……！,와……!
2015013020340,甜花,"プロデューサーさん……！
これ、買ってくれる……？","프로듀서님……!
이거, 사줄래……?"
0000000000000,プロデューサー,"もちろんいいぞ
けど……もう欲しい花、見つけたのか","물론 괜찮지
그런데…… 벌써 갖고 싶은 꽃, 찾은 거야?"
2015013020350,甜花,うん……！,응……!
2015013020360,甜花,"このお花……
ちっちゃくて、ピンクで……可愛い……！","이 꽃……
쪼끄맣고, 핑크색이라…… 귀여워……!"
0000000000000,プロデューサー,はは、そうか,"하하, 그렇구나"
0000000000000,プロデューサー,"……なんかさ
その花、甜花に似合うな","……뭔가
그 꽃, 텐카한테 어울리네"
2015013020370,甜花,"わ……
ほ、ほんと……？","와……
저, 정말로……?"
2015013020380,甜花,にへへ……,니헤헤……
2015013020390,甜花,"心……
満たされた、かも……！","마음……
가득 찼을, 지도……!"
info,produce_events/201501302.json,
번역자,,
