id,name,text,trans
0000000000000,プロデューサー,"──────……
えっ、帰った……？","──────……
뭣, 갔다고……?"
0000000000000,AD,"……？　ええ。今タクシーで……
七草さん、お帰りは別だって","……? 네. 지금 택시로……
나나쿠사 씨, 따로 돌아간다고 해서요"
0000000000000,スマホ画面,"『にちか
もう家かな？』","『니치카
벌써 집에 갔어?』"
5007002050010,にちか,…………────,…………────
5007002050020,美琴,"ター……ダーダー……
……──────","타ー……다ー다ー……
……──────"
5007002050030,美琴,────やっぱり、ボーカルを重ねるのがいい,"────역시, 보컬을 쌓아올리는 게 좋아"
0000000000000,プロデューサー,"タクシー……って言ってたか
家じゃない、事務所にもレッスン場にも河原にもいない──","택시……라고는 했지만
집에도 없어, 사무소에도 레슨장에도 강변에도 없어──"
5007002050040,美琴,──────上へ……上へ…………,──────위로……위로…………
5007002050050,ルカ,"────んでだよ……！　ハァ……！？
なんでそうなるんだよ……！　勝手に決めんな…………！","────왜냐고……! 하아……!?
왜 그렇게 되는데……! 마음대로 정하지 마…………!"
0000000000000,マネージャー,"……ルカ、ごめんね
その、大事な時期だし────","……루카, 미안해
그, 중요한 시기이기도 하고────"
0000000000000,プロデューサー,"────美琴も出ないな……
………………もしかして──────","────미코토도 안 받네……
………………혹시──────"
5007002050060,美琴,"……コンテンポラリーは
また次の機会でいいんじゃない","……현대무용은
다음 기회에 또 하면 되잖아"
5007002050070,ルカ,"…………っ
美琴………………","…………읏
미코토………………"
5007002050080,美琴,"ちゃんと準備できないなら
あまり意味はないと思う","제대로 준비할 수 없으면
의미가 별로 없을 것 같아"
5007002050090,美琴,１、２…………──────,"1, 2…………──────"
5007002050100,にちか,────────…………,────────…………
0000000000000,プロデューサー,…………──────,…………──────
5007002050110,にちか,"…………
ここじゃ……なかったのかな…………","…………
여기가…… 아니었나…………"
5007002050120,にちか,"……
開いてる……────","……
열려 있어……────"
0000000000000,プロデューサー,"…………
なんの用だって、怒るだろうな","…………
무슨 용무가 됐든, 화내겠지"
5007002050130,にちか,………………美琴さん,………………미코토 씨
5007002050140,美琴,……どうしたの？,……어쩐 일이야?
5007002050150,にちか,"と、突然来てしまって…………すみません…………！
あの、ノックしたら、ドアが開いていて……────","가, 갑자기 와서………… 죄송해요…………!
그, 노크했더니 문이 열려 있어서……────"
