id,name,text,trans
6003004030010,めぐる,もうすぐ終わっちゃうんだなー……,이제 조금 있으면 끝나는구나ー……
0000000000000,プロデューサー,……そうだな,……그래
6003004030020,めぐる,すっごくたくさんの時間をかけて準備してきて,엄~청 많은 시간을 들여 준비했는데
6003004030030,めぐる,でも、本番って一瞬で終わっちゃうんだ,그래도 본 공연은 눈 깜짝할 새에 끝나네
6003004030040,めぐる,ずーっと本番だったらいいのに,계ー속 본 공연이었으면 좋았을 텐데
0000000000000,プロデューサー,"はは、それも面白そうだな
……でもさ","하하, 그것도 재미있겠는걸
……하지만"
6003004030050,めぐる,……？,……?
0000000000000,プロデューサー,そうすると、次のライブのために頑張ろう！　って,"그러면, 다음 라이브를 위해 힘내자! 라고"
0000000000000,プロデューサー,"仕事とか学校とか、色んなことを
頑張ってる人が、頑張れなくなっちゃうかもしれないから","일이라든가, 학교라든가, 이런저런 것들을
노력하는 사람이, 노력을 멈출 지도 모르는 일이지"
0000000000000,プロデューサー,"やっぱり、終わりがあるほうがいいんじゃないか
終わるものだから、今思い切り楽しもうと考えるんだと思う","역시, 끝이 있는 게 더 낫지 않을까?
끝이 있으니까, 지금을 마음껏 즐기자고 마음먹는다고 생각해"
0000000000000,プロデューサー,"めぐるもさっきステージで言ってたろ？
『また明日から頑張ろうって思ってもらえたらいい』って","메구루도 아까 무대에서 말했잖아?
『내일부터 다시 힘내자, 고 생각해주면 좋겠어』라고"
6003004030060,めぐる,あー！　そうだった！,아ー! 그랬었지!
6003004030070,めぐる,"じゃあじゃあ、みんなに
『次まで頑張ろう！』って思ってもらえるように","그러면 그러면, 팬 분들이
『다음 라이브까지 힘내자!』라고 생각하실 수 있게"
6003004030080,めぐる,最後まで最高の時間、みんなと作ってくるね！,"마지막까지 최고의 시간을, 모두와 함께 만들고 올게!"
info,produce_events/600300403.json,
번역자,,
