id,name,text,trans
0000000000000,プロデューサー,ここ、満開になると綺麗なんだぞ,"여기, 만개하면 엄청 예쁘게 피거든"
2014012040010,甘奈,"わぁ……！
めっちゃ綺麗に咲いてる……！","와아……!
엄청 예쁘게 피었어……!"
2014012040020,甘奈,その頃になったらまた来たいね～,그때가 되면 또 오고 싶을지도~
0000000000000,プロデューサー,はは、そうだな,"하하, 그러게"
2014012040030,甘奈,プロデューサーさん、今日戻ってくるんだったよね……,"프로듀서님, 오늘 돌아오시는 거였지……"
2014012040040,甘奈,（よかった、一緒に見られそう……）,"(다행이다, 같이 볼 수 있겠어……)"
2014012040050,甘奈,！　プロデューサーさんからだ,! 프로듀서님한테서다
0000000000000,プロデューサー,『すまん、３日間出張が伸びることになった』,"『미안, 3일 정도 출장이 길어지게 됐어』"
0000000000000,プロデューサー,"『迷惑かけて申し訳ないんだが
あと少し頑張ってくれ』","『폐를 끼치게 돼서 미안하지만
앞으로 조금만 더 힘내줘』"
2014012040060,甘奈,……,……
2014012040070,甘奈,"『プロデューサーさん、お疲れ様
なんか大変みたいだね……』","『프로듀서님, 수고했어
뭔가 큰일인 것 같네……』"
0000000000000,プロデューサー,『ああ、ちょっとな』,"『응, 약간』"
0000000000000,プロデューサー,『でも、もう少し粘ればまとまりそうなんだ』,"『그래도, 조금만 더 버티면 정리될 것 같아』"
2014012040080,甘奈,"『プロデューサーさんなら大丈夫！
頑張って！』","『프로듀서님이라면 괜찮을 거야!
힘내!』"
0000000000000,プロデューサー,『ああ、ありがとう』,"『응, 고마워』"
2014012040090,甘奈,……頑張って……！,……힘내……!
2014012040100,甘奈,まだ綺麗に咲いてるね……,아직 예쁘게 피어있네……
2014012040110,甘奈,……！,……!
0000000000000,プロデューサー,"『度々申し訳ないんだが
あと３日延びることになった』","『또 다시 미안하지만
앞으로 3일 더 연장하게 됐어』"
2014012040120,甘奈,……,……
2014012040130,甘奈,大丈夫……だよね……,괜찮은…… 거겠지……
0000000000000,トレーナー,"はい、それじゃ今日はここまで！
甘奈ちゃん、お疲れ様！","자, 그럼 오늘은 여기까지!
아마나쨩, 수고했어!"
2014012040140,甘奈,"ありがとうございます！
お疲れ様でした！","감사합니다!
수고하셨습니다!"
2014012040150,甘奈,ふぅ……,후우……
