id,name,text,trans
2021008010010,円香,はい,네
2021008010020,円香,……はい、お疲れ様です,"……네, 수고하십니다"
2021008010030,円香,プロデューサー,프로듀서
2021008010040,円香,"はい
大丈夫です","네
괜찮아요"
2021008010050,円香,"あ……ただすみません、出先なので……
まわりが騒がしく────","아…… 근데 죄송해요, 밖이라……
주변이 시끄러워서────"
2021008010060,円香,…………,…………
2021008010070,円香,"……ちょっと静かな道に行きます
お待ちください","……좀 조용한 길로 갈게요
기다려주세요"
2021008010080,円香,もしもし,여보세요
2021008010090,円香,……すみません、大丈夫です,"……죄송해요, 괜찮아요"
2021008010100,円香,"いえ、お気になさらず
どうされました？","아뇨, 신경쓰지 마세요
무슨 일인가요?"
2021008010110,円香,明日の集合場所を変更、はい,"내일 집합장소 변경, 네"
2021008010120,円香,"……確かに言っていましたよね
駅から離れると方向音痴には辛いって","……분명 그렇게 말했었죠
역에서 벗어나면 길치는 괴롭다고"
2021008010130,円香,"はい
覚えています","네
기억하고 있어요"
2021008010140,円香,そうですか？,그런가요?
2021008010150,円香,それは出発前にナビを見ましたから,그건 출발하기 전에 내비를 봤으니까
2021008010160,円香,すぐ近くのレストランでしたし,바로 근처 식당이기도 했고
2021008010170,円香,……それはプロデューサーが……,……그건 프로듀서가……
2021008010180,円香,そう、方向音痴だから……？,"그래요, 길치니까……?"
2021008010190,円香,私の記憶がいいとか悪いとかの問題では,제 기억력이 좋고 나쁘고 문제가 아니고
2021008010200,円香,"いいですよ
そんな","괜찮아요
그런 건"
2021008010210,円香,……もともとは集合場所の話だったって覚えています？,……원래 집합장소 이야기를 하려던 거 기억하세요?
2021008010220,円香,……,……
2021008010230,円香,"……わかりました
ありがとうございます","……알겠어요
감사합니다"
2021008010240,円香,あまり褒められると気恥ずかしいですが,너무 칭찬하시면 부끄러운데요
select,,（腕時計を見る）,(시계를 본다)
select,,（空を見上げる）,(하늘을 올려다본다)
select,,（缶コーヒーを一口）,(캔커피를 한 모금)
2021008010250,円香,……いえ,……아뇨
2021008010260,円香,"ああ……
今日も忙しそうですね","아……
오늘도 바쁘신 모양이네요"
2021008010270,円香,何時の新幹線ですか？,신칸센 몇 시 차인가요?
2021008010280,円香,え……,에……
2021008010290,円香,時間……,시간이……
2021008010300,円香,"……今、51分です
３分後には出発かと思いますが……","……지금, 51분이에요
3분 후에는 출발하지 않을까 싶은데……"
2021008010310,円香,"今、車内ですか？
それかホーム────","지금 열차 안이신가요?
아니면 홈────"
2021008010320,円香,駅前…………,역 앞…………
2021008010330,円香,それはちょっと急いだほうが良いかと……,그럼 좀 서두르셔야 할 것 같은데……
2021008010340,円香,そうしてください,그렇게 해주세요
2021008010350,円香,"いえ、はい、お気になさらず
事務所のメール宛でも構いませんし","아뇨, 네, 신경쓰지 마세요
사무소 메일로 보내셔도 상관없고요"
2021008010360,円香,いえ、いえ,"아뇨, 아니에요"
2021008010370,円香,え、何番線……,"에, 몇 번 탑승구인지……"
2021008010380,円香,"そうですね、記憶力の問題では…………
駅員さんに────","그러게요, 기억력 문제 아닌지…………
역무원한테────"
2021008010390,円香,……はい、お願いします,"……네, 부탁드려요"
2021008010400,円香,……,……
2021008010410,円香,…………間に合うといいけど,…………안 늦었으면 좋겠는데
2021008010420,円香,……あ、そういえば……,"……아, 그러고 보니……"
2021008010430,円香,"この間の現場に万年筆が落ちていたのですが……
プロデューサーのだったりしませんか？","저번 현장에 만년필이 떨어져 있던데……
프로듀서 물건은 아닌가요?"
2021008010440,円香,……やっぱり,……역시나
2021008010450,円香,"持ち主がわからなかったので、
スタッフさんに預けてしまいました","주인이 누군지 몰라서
스태프분께 맡겨버렸어요"
2021008010460,円香,今度、聞いてみてください,다음에 한번 물어보세요
2021008010470,円香,いえ、よかったです,"아뇨, 다행이네요"
2021008010480,円香,はい,네
2021008010490,円香,"あ……すみません
それで集合場所は…………","아…… 죄송해요
그래서 집합장소는…………"
2021008010500,円香,"駅の北口ですね
わかりました……ありがとうございます","역 북쪽 출구란 말이죠
알겠어요…… 감사합니다"
2021008010510,円香,はい。それでは,네. 그럼
2021008010520,円香,……,……
2021008010530,円香,…………今日も忙しそう,…………오늘도 바쁜가 보네
2021008010540,円香,……,……
2021008010550,円香,あ……誰ですか？,아…… 누구요?
2021008010560,円香,"ああ……どうでしょうか
ちょっとまだわかりませんが","아아…… 글쎄요
아직 잘 모르겠는데"
2021008010570,円香,ん……？,음……?
2021008010580,円香,そうなんですか,그런가요
2021008010590,円香,ああ………………,아………………
2021008010600,円香,"さあ……
どうでしょう","글쎄요……
어떠려나요"
2021008010610,円香,前々回の収録でご挨拶していますよね？,저저번 녹화 때 인사하고 계셨죠?
2021008010620,円香,"…………
じゃ、きっとそういう人ですよ","…………
그럼 분명 그런 사람일 거예요"
2021008010630,円香,"…………
……ふふっ……","…………
……후훗……"
2021008010640,円香,ああ、いえ,"아아, 아뇨"
2021008010650,円香,"私からのコメントは差し控えておきます
また機会もあると思いますので","저는 그만 언급할게요
기회가 또 있을 것 같으니까"
2021008010660,円香,"それですみません
明日の集合場所は……","그래서 죄송해요
내일 집합장소는……"
2021008010670,円香,"わかりました
駅の北口ですね","알겠어요
역 북쪽 출구란 말이죠"
2021008010680,円香,"はい
ありがとうございました","네
감사합니다"
2021008010690,円香,よろしくお願いします,잘 부탁드려요
2021008010700,円香,……,……
2021008010710,円香,…………何、どういう質問なの,"…………뭐야, 무슨 질문이야"
info,produce_events/202100801.json,
번역자,,
