id,name,text,trans
1019003030010,愛依,…………,…………
0000000000000,プロデューサー,──……い、愛依,"──……이, 메이"
1019003030020,愛依,…………！,…………！
0000000000000,プロデューサー,"おーい、愛依
大丈夫か……？","어이ー, 메이
괜찮아……?"
1019003030030,愛依,──あ……,──아……
1019003030040,愛依,"プロデューサー……
ごめん、うち……","프로듀서……
미안, 나……"
1019003030050,愛依,"ちょっと休憩のつもりだったんだけど……
ぼーっとしちゃってたみたい","잠깐 쉴 생각이였는데……
멍하니 있었던 모양이네"
0000000000000,プロデューサー,"……愛依
今日はもう上がろうか","……메이
오늘은 이만 끝낼까"
1019003030060,愛依,えっ、でも──……,"엣, 그렇지만──……"
0000000000000,プロデューサー,"今日は休んで、
また明日から頑張ろう……な？","오늘은 쉬고,
다시 내일부터 힘내자……응?"
1019003030070,愛依,"……うん、そだね
そうしよっかな","……응, 그렇네
그렇게 할까"
1019003030080,愛依,"あっ、じゃあツイスタ用の写真だけ
撮ってくから……！","앗, 그러면 트위스타용 사진만
찍어둘테니까……!"
0000000000000,プロデューサー,……わかった,……알았어
1019003030090,愛依,"──プロデューサー、
ホントにいいの？","──프로듀서,
정말 괜찮은거야?"
1019003030100,愛依,車で送ってもらうとか……,차로 데려다주고……
0000000000000,プロデューサー,ああ、もちろん,"응, 물론이지"
1019003030110,愛依,"プロデューサーも知ってると思うけど
うちん家、結構遠いよ？","프로듀서도 알고 있다고 생각하지만
우리 집, 꽤 먼데?"
0000000000000,プロデューサー,……もうこんな時間だしな,……벌써 이런 시간이니까 말야
0000000000000,プロデューサー,"遠いならなおさら、
ちゃんと自宅まで送り届けないと","머니까 더욱 더,
제대로 집까지 데려다 줘야지"
1019003030120,愛依,……ありがとね、プロデューサー,"……고마워, 프로듀서"
0000000000000,プロデューサー,うん、それでさ……,"응, 그래서 말야……"
1019003030130,愛依,？,?
0000000000000,プロデューサー,──愛依は、何で悩んでる？,"──메이는, 왜 고민하고 있는거야?"
1019003030140,愛依,へ……？,헤……?
0000000000000,プロデューサー,"少し前からよく、
何か考えてるみたいだったから","조금 전부터,
뭔가 생각하고 있는거 같아서"
1019003030150,愛依,"…………
そう、なのかな？","…………
그랬, 으려나?"
1019003030160,愛依,うち、そう見える？,"나, 그렇게 보여?"
0000000000000,プロデューサー,……ああ,……응
0000000000000,プロデューサー,"不安なことがあれば
なんでも言ってくれていいんだぞ？","불안한게 있다면
뭐든지 말해줘도 괜찮다고?"
1019003030170,愛依,"うーん……
自分でもよくわかってないっていうか","으음……
나 자신도 잘 모르겠다고 해야하나"
1019003030180,愛依,"なんか、上手く言葉には
出来ないカンジ？","뭔가, 제대로 말로
표현 못하겠다는 느낌?"
0000000000000,プロデューサー,そうか……,그렇구나……
0000000000000,プロデューサー,"……愛依は、『G.R.A.D.』
参加してよかったか？","……메이는, 『G.R.A.D.』
참가해서 좋았어?"
1019003030190,愛依,えっ……,엣……
0000000000000,プロデューサー,大きな番組だし、チャンスでもある,"큰 방송이기도 하고, 찬스이기도 해"
0000000000000,プロデューサー,"だけど、オファーを受けたこと
もし愛依の本意じゃなかったのなら──……","그렇지만, 오퍼를 받은 게
만약 메이의 의지가 아니였다면──……"
1019003030200,愛依,"いやいや、
そんなわけないじゃん！","아니아니,
그럴리가 없잖아!"
1019003030210,愛依,"参加できてよかったって思ってるし
もっと、頑張らなきゃって思ってるよ","참가해서 좋았다고 생각하고 있고
좀 더, 힘내야 된다고 생각하고 있어"
0000000000000,プロデューサー,……うん,……응
1019003030220,愛依,"ただ、ひとりだとどうしようって
迷う時もあって──……","단지, 혼자라면 어떻게 해야하지라고
해맬때가 있어서──……"
1019003030230,愛依,………………,………………
0000000000000,プロデューサー,……愛依？,……메이?
1019003030240,愛依,──そっか……,──그렇구나……
1019003030250,愛依,"いつも、あさひちゃんと
冬優子ちゃんがいたから……","언제나, 아사히쨩과
후유코쨩이 있었으니까……"
0000000000000,プロデューサー,え……？,뭐……?
1019003030260,愛依,"なんか、よくわかんなくなっても
ふたりといれば……","뭔가, 잘 모르겠지만
두 사람이 있으면……"
1019003030270,愛依,大丈夫って、思ってたみたい,"괜찮다고, 생각했었나 봐"
info,produce_events/101900303.json,
译者,,
