id,name,text,trans
4901032270010,智代子,凶器というと──,흉기라고 하면──
4901032270020,智代子,砂糖の件ってどうなりました……？,설탕 건은 어떻게 됐나요……?
4901032270030,恋鐘,うち、そん話ば聞いてキッチン調べてみたばい,나가 그 얘기를 듣고 주방을 조사해봤어야
4901032270040,恋鐘,"キッチンに出とった砂糖入れの壺はぱんぱんやったし、
棚には予備の砂糖袋が何袋も入っとった","주방에서 나온 설탕 단지는 꽉꽉 찼고
선반에는 여분 설탕이 몇 봉지나 들어 있었구마잉"
4901032270050,恋鐘,砂糖の空き袋も見つからんかったばい,빈 설탕 봉투도 찾을 수 없었어야
4901032270060,咲耶,"そうか
私はてっきり、何かの袋に砂糖を入れ……","그렇구나
나는 틀림없이, 무슨 봉지에 설탕을 넣어서……"
4901032270070,咲耶,"ブラックジャックのような武器を作って
殴殺したのかと思ったのだけれど","블랙잭 같은 무기를 만들어서
때려죽인 줄 알았는데"
4901032270080,智代子,第一候補、消えちゃったわけか……！,"첫 번째 후보, 사라져 버린 건가……!"
4901032270090,結華,『Ａ』の頭の傷はかなり大きかった,『A』의 머리 상처는 꽤 컸어
4901032270100,結華,"あれだけの傷を作れるものは三峰たちの荷物にはないし、
屋敷のものを使うにしても、大きければ人目につきやすい","그 정도의 상처를 만들 수 있는 건 우리 짐에는 없고,
저택의 물건을 사용하더라도, 크면 남의 눈에 띄기 쉬워"
0000000000000,弟子,ひとつひとつ、解き明かしていきましょうか……,"하나하나, 설명해보도록 할까요……"
0000000000000,弟子,"まず、砂糖の出所ですが、
おそらく──","우선은, 설탕의 출처 말입니다만,
아마도──"
0000000000000,弟子,……ガムシロップじゃないでしょうか,……검 시럽 아닐까요
4901032270110,甜花,"あ……それって……
甜花が……踏んじゃったやつ……？","아…… 그건……
텐카가…… 밟아버린 거……?"
0000000000000,弟子,はい,네
0000000000000,弟子,"……ガムシロップがいろいろなものにかかった、
と大崎甜花さんは仰っていました","……검 시럽이 여기저기에 흩뿌려졌다고
오사키 텐카씨가 말씀하셨습니다"
0000000000000,弟子,"そして、ランドリールームにエコバッグがあったという
お話を聞いて、先ほど調べに行ったところ……","그리고, 세탁실에 에코백이 있었다는 이야기를 듣고
조금 전에 조사하러 갔는데……"
0000000000000,弟子,"それが、
当館で使われているものであることが判明しました","그것이
본 건물에서 사용되고 있는 물건으로 판명되었습니다"
4901032270120,甘奈,ガムシロップがついたエコバッグが凶器……,검 시럽이 묻은 에코백이 흉기……
0000000000000,弟子,"ええ。試薬を使って調べたところ
血液が検出されました","네. 시약을 사용해서 조사한 결과
혈액이 검출되었습니다"
4901032270130,甘奈,でも、エコバッグって薄くて軽い……よね？,"그치만, 에코백은 얇고 가벼워…… 그치?"
4901032270140,甘奈,"それを凶器にっていうのは
ちょっと難しいんじゃないかな……？","그걸 흉기라고 하기엔
좀 어렵지 않을까……?"
4901032270150,甜花,"う、うん……
でも……","으, 응……
그치만……"
4901032270160,甜花,"エコバッグの中に……
何か、入れたりすれば……","에코백 안에……
뭔가 넣는다면……"
4901032270170,摩美々,"んー……
使えそうなもの、あったっけー？","음ー……
쓸만한 게, 있던가ー?"
0000000000000,弟子,"そうですね……
犯人が使ったのは、おそらく……","그렇네요……
범인이 사용한 것은, 아마……"
info,special_communications/490103227.json,
번역자,,
