id,name,text,trans
4901026160010,恋鐘,"んふふ～、よか匂い！
もうそろそろ焼けるけん、ちょっとだけ待っとってね！","응후후~, 좋은 냄새!
이제 슬슬 구워지니까, 좀만 기다리랑께!"
4901026160020,恋鐘,"出来た！
プロデューサー、天板ごと出すけん、鍋敷きば取って～！","됐다!
프로듀서, 트레이 꺼낼 텡게, 냄비받침 놔 줘라잉~!"
0000000000000,プロデューサー,ＯＫ、気をつけてな,"OK, 조심해"
0000000000000,プロデューサー,"人形の形したクッキーか？
甘くて、スパイシーな匂いがする","사람 모양 쿠키야?
달콤하면서도 매콤한 냄새가 나네"
4901026160030,恋鐘,"『ジンジャーブレッドマン』ばい！
見た目もばり可愛かろ～？","『진저브레드 맨』이구마!
생긴 것도 겁나 귀엽제~?"
0000000000000,プロデューサー,"……ほんとだ
よく見ると、ひとつひとつ表情とか服が違うんだな","……정말이네
자세히 보니, 하나하나 표정이나 옷이 다르네"
4901026160040,恋鐘,"うん～
顔も体もひとつひとつ、変えてみたとよ～","응~
얼굴도 몸도 하나하나, 바꿔봤구마~"
4901026160050,恋鐘,"プロデューサー、こんシュッとしたやつに
似とる気がするばい！","프로듀서, 이 훤칠한 녀석이랑
닮은 것 같당께!"
0000000000000,プロデューサー,ははっ、そうか……,"하핫, 그런가……"
0000000000000,プロデューサー,だったら、恋鐘はこれかな……？,"그러면, 코가네는 이거려나……?"
4901026160060,恋鐘,ふぇ……,후에……
4901026160070,恋鐘,"うち、それ～……？
もっとにこってした、美人で可愛かやつやなか？","나가, 그거여~……?
좀 더 싱글벙글하고 귀여운 미인 과자 아니당가?"
0000000000000,プロデューサー,"そうか？　お腹空いてそうな顔してて、
可愛いと思ったんだけど……","그런가? 배고파하는 표정이라
귀엽다고 생각했는데……"
4901026160080,恋鐘,"んん～……
そげんふうに言われたら、……複雑ばい……","으음~……
그렇게 말하믄, ……복잡해진당께……"
0000000000000,プロデューサー,"はは
お茶、二人分淹れてくるな","하하,
차 두 잔 내려올게"
4901026160090,恋鐘,"う、うん
ありがとう、プロデューサー","으, 응
고마워, 프로듀서"
4901026160100,恋鐘,"冷めてもうまかけど……
せっかくやし、温かいうちに食べてほしかよ……！","식어도 맛있지만……
기왕 만든 거 따땃할 때 먹어줬음 혀……!"
info,special_communications/490102616.json,
번역자,,
