id,name,text,trans
6017003020010,あさひ,勝ったっす勝ったっす～！,이겼슴다 이겼슴다~!
0000000000000,プロデューサー,"──お、おう……！
やったな、あさひ……！","──그, 그래……！
해냈구나, 아사히……！"
6017003020020,あさひ,"あはは～、いっぱい練習したっすから
次は優勝っすね～！","아하하~, 많이 연습했으니까
다음엔 우승이네요~!"
0000000000000,プロデューサー,"……っ、あさひ
確かに、予選はいい出来で終えられたけど────","……음, 아사히
확실히, 예선은 잘 마무리 되었지만────"
6017003020030,あさひ,"わたしが楽しみにしてること、
全部やな感じにするっす","제가 즐기고 있는 것,
전부 싫은 느낌으로 말하심다"
6017003020040,あさひ,それはプロデューサーさんのやりたいことじゃないんすか？,그건 프로듀서님이 하고 싶은 게 아님까?
0000000000000,プロデューサー,"──────
────そうだな、あさひ","──────
────그렇지, 아사히"
0000000000000,プロデューサー,"（……あさひにとって、どうすることがいいことなのか
ちゃんと考えなきゃいけない……）","(……아사히에게 있어서, 어떻게 하는 것이 좋은 것인가
제대로 생각하지 않으면 안돼……)"
0000000000000,プロデューサー,"うん
優勝目指して、明日からまた頑張ろう！","그래
우승을 목표로, 내일부터 다시 힘내자!"
6017003020050,あさひ,はいっす～,알겠슴다~
0000000000000,プロデューサー,"それからもうひとつ
──俺も出前、見学させてくれ","그리고 또 하나
──나도 배달, 견학시켜 줘"
6017003020060,あさひ,……えっ？,……엣?
0000000000000,プロデューサー,"俺もしっかり付き合わせてくれ
一緒にやりたいって、師匠に頼んでみるよ","나도 확실히 어울리게 해줘
함께 하고 싶다고, 스승님께 부탁해 볼게"
6017003020070,あさひ,ほんとっすか～～～～！？,정말임까~~~~!?
info,produce_events/601700302.json,
译者,사이버교주,
