id,name,text,trans
1005001000610010,摩美々,おはよーございまぁす,안녕하세요ー
0000000000000,プロデューサー,"ああ、おはよう
……ん？　その服、もとからそういう感じなのか？","그래, 안녕
……응? 그 옷 원래 그런 느낌이었던가?"
1005001000610020,摩美々,"この服ですかぁ？
自分でアレンジしたんですよー","이 옷 말인가요?
제가 어레인지 해본 거예요ー"
0000000000000,プロデューサー,（へえ……）,(호오……)
select,,大胆だな,대담한걸
select,,似合ってる,잘 어울려
select,,肌は出しすぎるなよ,너무 맨살을 드러내지는 마
1005001000610030,摩美々,"一気に見栄えを変えた方がぁ、
オシャレじゃないですかー？","인상을 한번에 확 바꾸는 게
화려하잖아요ー?"
1005001000610040,摩美々,"それにー、唯一無二のオリジナルって感じでー、
愛着湧きますしねー","게다가ー 유일무이한 오리지널이란 느낌으로ー
애착도 생기구요ー"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 얘기했다)"
1005001000610050,摩美々,"きっとプロデューサーも似合いますよー
この服、男性でも着られますからぁ","분명히 프로듀서한테도 어울릴 거예요ー
이 옷, 남자도 입을 수 있으니깐요"
1005001000610060,摩美々,ぜひ着てみてくださいー,꼭 입어봐 주세요ー
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 얘기했으려나)"
1005001000610070,摩美々,"はぁい……
プロデューサー、そういうこと言うんですねー","네에……
프로듀서도 그런 소리 하시는군요ー"
1005001000610080,摩美々,まぁ、それくらい自分で判断できますケド,"뭐, 그 정도는 스스로 판단할 수 있는데요"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……),(윽…… 실수했다. 다른 얘기를 했으면 좋았을 텐데……)
info,produce_communications/100500100061.json,
译者,,
