id,name,text,trans
2020007110010,透,ねー,저기ー
2020007110020,透,"どんな味？
ルッコラって","어떤 맛이야?
루꼴라"
0000000000000,プロデューサー,え？,에?
2020007110030,透,"え？
どんな味かなーって、ルッコラ","에?
어떤 맛이냐고, 루꼴라"
0000000000000,プロデューサー,"……はは
用件、それか？","……하하
그게 용건이야?"
2020007110040,透,んー,응ー
0000000000000,プロデューサー,なんだ、家なのか？,"뭐야, 집이야?"
2020007110050,透,"んー
暇","응ー
한가해"
0000000000000,プロデューサー,"そっか
ちゃんと休めてるなら、よかった","그렇구나
제대로 쉬었다면 다행이야"
2020007110060,透,外？,밖?
0000000000000,プロデューサー,"え、俺か
うん","어, 나 말야?
응"
2020007110070,透,"聞こえる、セミの声
忙しい？","들려, 매미 소리
바빠?"
0000000000000,プロデューサー,まぁまぁかな,그럭저럭
2020007110080,透,"じゃ、教えてよ
ルッコラどんな味か","그럼, 가르쳐줘
루꼴라 맛이 어떤지"
2020007110090,透,"あるんだ
冷蔵庫に","있어
냉장고에"
0000000000000,プロデューサー,"あぁ……
留守番なのか","아……
집 보고 있구나"
2020007110100,透,"そう
来る？","응
올래?"
0000000000000,プロデューサー,なんでだ,어째서?
2020007110110,透,"いいじゃん
手伝ってよ、宿題とか","괜찮잖아
도와줘, 숙제 같은 거"
0000000000000,プロデューサー,"ダメダメ
せっかく時間あるんだから、じっくり取り組むこと","안 돼 안 돼
이왕 시간 있을 때, 차분하게 할 것"
2020007110120,透,えー,에ー
2020007110130,透,……あ,……아
2020007110140,透,聴こえるね、なんか,"들리네, 뭔가"
0000000000000,プロデューサー,"あ、すまん
ちょっと騒がしいとこでさ","아, 미안
좀 시끄러운 곳이라서 말야"
0000000000000,プロデューサー,かけなおそうか、後で？,"다시 걸까, 이따가?"
2020007110150,透,"え、ううん
いい","에, 아니
괜찮아"
2020007110160,透,いい、このままで,"괜찮아, 이대로"
0000000000000,プロデューサー,ええと……そうか,으음…… 그렇구나
2020007110170,透,"うん
……","응
……"
0000000000000,プロデューサー,……,……
2020007110180,透,"……聴いたことある
この曲","……들어본 적 있어
이 노래"
0000000000000,プロデューサー,ん？,응?
2020007110190,透,"曲
後ろ、聴こえるやつ","노래
뒤에 들리는 거"
0000000000000,プロデューサー,"あぁ、うん
古いやつだよな","아아, 응
오래된 노래지"
0000000000000,プロデューサー,"ちょっともの悲しくて……
ギターの音がさ","조금 서글프고……
기타 소리가 말야"
2020007110200,透,……え？,……에?
2020007110210,透,"ギターの音？
これ","기타 소리야?
이거"
0000000000000,プロデューサー,え？　うん,어? 응
2020007110220,透,へー……,헤ー……
2020007110230,透,初めて聴いた,처음 들었어
0000000000000,プロデューサー,"ははは、いやいや……
この前弾いてたじゃないか","하하하, 아니아니……
저번에 쳐봤잖아"
2020007110240,透,"え、だって
全然違うじゃん","에, 그치만
전혀 다르잖아"
0000000000000,プロデューサー,まぁ、弦も緩んでたか,"뭐, 줄도 느슨했었지"
0000000000000,プロデューサー,"でも、ギターだよ。これが
いろんな曲に使われてるだろ？","그래도, 기타야. 이게
여러 곡에 쓰이잖아?"
2020007110250,透,ふーん……,흐응ー……
2020007110260,透,"ふふ
増えた","후후
늘었어"
0000000000000,プロデューサー,……？,……?
2020007110270,透,音,소리
2020007110280,透,"かたまりだったけど
音楽って","덩어리였는데
음악이라니"
2020007110290,透,これが、ギター,"이것이, 기타"
0000000000000,プロデューサー,……うん,……응
2020007110300,透,"ちょ……
黙らないでよ、なんか","잠깐……
가만히 있지 마, 뭔가"
0000000000000,プロデューサー,"あぁ、すまん
ええと────","아아, 미안
으음────"
2020007110310,透,"ルッコラ
教えてもらってない","루꼴라
안 가르쳐줬어"
0000000000000,プロデューサー,"ははは、その話続いてたのか
そんな大した味じゃないぞ。普通の野菜だ","하하하, 그 이야기 계속 하는 거야?
별맛 안 나. 그냥 야채야"
2020007110320,透,えー、わかんないって,"에ー, 모르겠다니"
2020007110330,透,"増えたらいいじゃん
味も","늘리면 되잖아
맛도"
info,produce_events/202000711.json,
번역자,,
