id,name,text,trans
0000000000000,天の声,"『三峰さんが最近ハマっていることは？』
──オープン！","『미츠미네 씨가 최근 빠져있는 것은?』
──오픈ー!"
0000000000000,天の声,『料理』！,『요리』!
4001034020010,恋鐘,"結華が料理にハマっとるとは
知らんかったばい……！","유이카가 요리에 빠져있을 줄은
몰랐어야……!"
4001034020020,摩美々,意外すぎでしょー,너무 뜻밖이잖아ー
4001034020030,咲耶,"そうだね……
正直なところ、思いもよらなかった","그러게……
솔직히 생각지도 못했어"
4001034020040,結華,"ごめ～ん……！
そんな気はしたんだけどさぁ、他に何もなくて！","미안~……!
그런 느낌은 들었지만, 그것 말고는 없어서!"
4001034020050,恋鐘,霧子はなんでわかったと？,키리코는 어떻게 안 겨?
4001034020060,霧子,"この前……
スーパーで……会って……","요전에……
슈퍼에서……만나서……"
4001034020070,霧子,"おうちで……クッキーを作るって……
だから……","집에서……쿠키를 만든다고……
그래서……"
4001034020080,摩美々,"へー
どういう心境の変化ぁ？","헤ー
무슨 심경의 변화야?"
4001034020090,結華,"やー、だってさぁ
こがたんの料理食べてたら舌が肥えるじゃん","아니ー, 그게 말야
코가땅 요리를 먹으면 혀가 사치스러워지잖아"
4001034020100,結華,"だから三峰ももうちょっとなんか作れるようになりたいな？
って思って","그래서 미츠미네도 좀더 뭔가 만들 수 있었으면 좋지 않나?
싶어서"
4001034020110,結華,"ハマってるっていうか練習中ってだけなんだけど
最近ちょっと頑張ってみていたので……","빠져있다고 해야 할지, 연습중일 뿐이지만
요즘 좀 열심히 해보고 있었어서……"
4001034020120,恋鐘,んふふ～,우후후~
4001034020130,恋鐘,"うまかもんが食べたか～って
頑張るとは、よかことばい！","맛있는 게 먹고 싶구마~해서
열심히 하는 건, 좋은 거여!"
4001034020140,恋鐘,クッキー、上手くできたと～？,"쿠키, 맛있게 되었어야~?"
4001034020150,結華,"うーん……まずくはなかったけど……
多少粉っぽかったかな……","으음ー……맛이 없지는 않았지만……
좀 밀가루 느낌이었나봐……"
4001034020160,結華,"もうちょっと美味しく作れるようになったら
みんなも食べて～","좀 더 맛있게 만들 수 있게 되면
다들 먹어줘~"
0000000000000,天の声,"『田中さんが今欲しいものは？』
──オープン！","『타나카 씨가 지금 갖고 싶은 것은?』
──오픈ー!"
0000000000000,天の声,『フトアゴヒゲトカゲのぬいぐるみ』！,『중부턱수염도마뱀 인형』!
0000000000000,天の声,月岡さんの『トカゲのぬいぐるみ』は正解とします！,츠키오카 씨의 『도마뱀 인형』은 정답인 걸로 하겠습니다!
4001034020170,咲耶,"あの質問も……
私は見当違いな答えを書いてしまったな……","그 질문도……
나는 엉뚱한 대답을 써버렸어……"
4001034020180,摩美々,まぁ、教えてなかったしー,"뭐, 알려준 적 없으니깐ー"
4001034020190,摩美々,"っていうか、恋鐘に当てられたのが
ビックリだったんですケド","그것보다, 코가네가 맞춘 건
깜짝 놀랐었는데"
4001034020200,恋鐘,"……？
摩美々、お菓子のシール集めとったやろ？","……?
마미미, 과자 씰 수집했잖어?"
4001034020210,恋鐘,"賞品、トカゲっぽいぬいぐるみやったし、
欲しかとかな～って","상품, 도마뱀 같은 인형이었고,
필요한 걸까~해서"
4001034020220,摩美々,……,……
4001034020230,恋鐘,"うちいくつかシール取っといたけん
それも渡さんばね～","나가 몇 개 씰 모아뒀응께
그것도 건네줘야겠구마잉~"
4001034020240,摩美々,……後で頂きまぁす,……나중에 잘 받겠습니다
