id,name,text,trans
select,,"『Ａ』の部屋の
場所を知らない","『A』의 방의
위치를 모른다"
select,,"犯行可能な時間が
15分しかない","범행 가능한 시간이
15분밖에 없다"
select,,"夕食時と
変わりなかった","저녁 식사 때랑
다른 게 없었다"
4901032400030,美琴,無罪を主張してくれる人に言うのもなんだけど……,무죄를 주장해 주는 사람에게 말하기도 뭣하지만……
4901032400040,美琴,"私、謎を解いて
夜の１時に『Ａ』の部屋に行ったの","나, 수수께끼를 풀고
밤 1시에 『A』의 방으로 갔어"
4901032400050,美琴,"声をかけても返事がないから、
そのまま部屋に戻ったんだけど……","말을 걸어도 대답이 없길래,
그대로 방으로 돌아왔지만……"
0000000000000,弟子,"（何人か『Ａ』の部屋に向かった探偵たちがいたが……
謎解きになっていたのか？）","(몇 명인가 『A』의 방으로 향한 탐정이 있었는데……
수수께끼를 풀어낸 건가?)"
0000000000000,弟子,（いや、今はそれを考えている場合じゃないな……）,"(아니, 지금은 그런 생각을 할 때가 아니야……)"
0000000000000,弟子,"…………失礼しました
他にも理由はあります","…………실례했습니다
또 다른 이유가 있습니다"
4901032400060,千雪,わあ、ごまかした,"와아, 얼버무렸다"
4901032400020,千雪,"それが、不可能につながるんです？
ちょっとわからないな、私","그게 불가능으로 이어지나요?
잘 모르겠네, 나는"
0000000000000,弟子,"…………失礼しました
他にも理由はあるんですが……","…………실례했습니다
또 다른 이유가 있습니다만……"
4901032400010,千雪,"それだけ？
大胆な性格なのかもしれませんよ？","그것뿐?
대담한 성격일지도 모르는데요?"
0000000000000,弟子,"いいえ……
これこそが彼女に犯行が不可能な理由なんです","아뇨……
이것이야말로 그녀에게 범행이 불가능했던 이유입니다"
0000000000000,弟子,"天窓からアンプル、ファイルを持って脱出したなら
服が濡れるか、雨具を持っているかしなくてはいけない","천창에서 앰플, 파일을 가지고 탈출했다면
옷이 젖든지, 우비를 갖고 있든지 해야만 한다"
0000000000000,弟子,だが、緋田さんにそんな様子はなかった……,"하지만, 아케타 씨에게 그런 모습은 보이지 않았다……"
0000000000000,弟子,"それに、緋田さんの靴のサイズは
犯人のものらしき靴跡と違うように思われます","게다가, 아케타 씨의 신발 사이즈는
범인의 것으로 보이는 구두 자국과 달라 보입니다"
4901032400070,千雪,"いいでしょう
では、幽谷さんは？","좋아요
그럼, 유코쿠 씨는?"
0000000000000,弟子,彼女もまた、犯人ではありません……,"그녀 또한, 범인이 아닙니다……"
4901032400080,千雪,なぜそう言いきれるんでしょう,왜 그렇게 단언할 수 있죠?
0000000000000,弟子,（…………？）,(…………?)
4901032400090,透,お弟子さん、どうかした……？,"제자님, 왜 그래……?"
0000000000000,弟子,いえ、……ちょっと,"아뇨, ……잠시"
0000000000000,弟子,…………,…………
info,special_communications/490103240.json,
번역자,,
