id,name,text,trans
2013013020010,夏葉,"……どの雑誌も
バレンタインの特集ね","……어느 잡지도
발렌타인 특집이네"
2013013020020,夏葉,"この中からも、
何か良さそうな候補が見つかるかしら……","이 안에서도,
뭔가 괜찮은 후보를 찾을 수 있을까……"
2013013020030,夏葉,………………,………………
2013013020040,夏葉,────あら,────어머
2013013020050,夏葉,"……この漫画雑誌……
誰のかしら","……이 만화 잡지……
누구 걸까"
2013013020060,夏葉,"ふふっ
……ここでもバレンタインなのね","후훗
……이쪽도 발렌타인이구나"
0000000000000,プロデューサー,あれ……？,어라……?
0000000000000,プロデューサー,夏葉が漫画を読んでるなんて珍しいな,나츠하가 만화를 읽다니 신기하네
2013013020070,夏葉,……プロデューサー,……프로듀서
2013013020080,夏葉,"いいえ
違うのよ","아니
달라"
2013013020090,夏葉,"ここにあったものを
少し見せてもらっていたの","여기에 있던 걸
잠깐 보고 있었어"
2013013020100,夏葉,誰かが忘れていったのね,누군가 잊어버리고 간 모양이야
0000000000000,プロデューサー,ああ、そうだったのか,"아, 그랬구나"
0000000000000,プロデューサー,はは、智代子か凛世のだったりするかもな,"하하, 치요코나 린제가 두고 간 걸지도"
2013013020110,夏葉,"ふふっ
そうかもしれないわね","후훗
그럴지도 모르겠네"
0000000000000,プロデューサー,夏葉も何か気にいった漫画があったか？,나츠하한테 마음에 든 만화는 없었어?
2013013020120,夏葉,いえ、あまり内容は読めていないんだけど……,"아니, 내용을 그다지 읽진 않았어……"
2013013020130,夏葉,"でも、この漫画雑誌も
バレンタインの特集みたいなの","그렇지만, 이 만화 잡지도
발렌타인 특집인 것 같아"
2013013020140,夏葉,"そっちの女性誌も、グルメ雑誌も
バレンタインの特集だったし","거기 있는 여성 잡지도, 음식 잡지도
발렌타인 특집이었고"
0000000000000,プロデューサー,"そうか
確かに２月号って書いてあるしな","그랬구나
확실히 2월호라고 적혀 있고 "
0000000000000,プロデューサー,定番のネタだよな,정석적인 얘깃거리니까
2013013020150,夏葉,ええ,그렇지
2013013020160,夏葉,"私もバレンタインに贈る物の参考になればと
思ったんだけど──……あら？","나도 발렌타인에 보내는 물건에 참고가 될까
싶었지만…… 어라?"
0000000000000,プロデューサー,どうした？,왜 그래?
2013013020170,夏葉,"『バレンタインチョコレートの渡し方』ですって
他の雑誌ではあまり見ない特集ね","'발렌타인 초콜릿을 전하는 방법'이래
다른 잡지에선 그다지 못 봤던 특집이야"
2013013020180,夏葉,"…………
だけど、どれも学校での渡し方みたい","…………
그렇지만, 전부 학교에서 건네는 방법 같아"
2013013020190,夏葉,あまり参考にならなさそうね,참고가 될 것 같진 않네
0000000000000,プロデューサー,"はは、仕方ないよ
この漫画雑誌、小中学生向けくらいだし","하하, 어쩔 수 없지
이 만화 잡지는, 초중생 대상이니까"
2013013020200,夏葉,そうね……,그러게……
select,,"大学でも
使えるかな？","대학에서도
쓸 수 있을까?"
select,,"なんだか
微笑ましいな","왠지
흐뭇한걸"
select,,"大人には
必要ないからな","어른에겐
필요 없으니까"
0000000000000,プロデューサー,"この、『バレンタインチョコレートの渡し方』
っていうやつ","이 '발렌타인 초콜릿을 전하는 방법'
이란 거"
2013013020210,夏葉,"ふふっ
どうかしら","후훗
어떨까"
2013013020220,夏葉,"だけど、ここに書いてあるような
呼び出して渡したい相手が大学にはいないから","그렇지만, 여기에 적혀있는
불러내서 전하고 싶은 상대가 대학에는 없으니까"
2013013020230,夏葉,私には使えなさそうね,난 못 쓸 것 같아
0000000000000,プロデューサー,そうか,그렇구나
2013013020240,夏葉,"ええ、もちろん友人たちには
配るつもりだけど","그렇지, 물론 친구에겐 
알려줄 생각이지만"
0000000000000,プロデューサー,それはそれで楽しそうだな,그건 그것대로 즐거울 것 같네
2013013020250,夏葉,"そうね
もちろん２８３プロのみんなにも","그러게
물론 283 프로덕션의 모두한테도"
2013013020260,夏葉,"そう考えたら
たくさん準備しないといけないわね","그렇게 생각하면
준비를 많이 해야겠네"
2013013020270,夏葉,しっかり必要な数を洗い出さなくちゃね……！,필요한 갯수를 확실하게 밝혀내야겠어……!
0000000000000,プロデューサー,"『学校によっては先生に見つかったら
没収されちゃうかも』","'학교에 따라 선생님에게 들키면
몰수당할지도'"
0000000000000,プロデューサー,『気をつけて！』だってさ,'조심해!' 래
2013013020280,夏葉,ふふっ、可愛らしいわね,"후훗, 귀엽네"
0000000000000,プロデューサー,"ああ、これを読んで
当日に備えている子もいるのかな","응, 이거 읽고
당일에 준비하는 애도 있을지도 몰라"
0000000000000,プロデューサー,"そう考えると、この日だけは、先生たちも
見逃してくれたらいいのになって思っちゃうよな","그렇게 생각하니, 이날만은 선생님들도
못 본 체해줬으면 좋겠단 생각이 들어"
2013013020290,夏葉,"そうね
ルールや校則は本来、守るべきだけれど……","그러게
룰이나 교칙은 본래, 지키기 위한 것이지만……"
2013013020300,夏葉,"一生懸命に込めた想いが
伝わって欲しいと思うのも、本当よね","열심히 담은 마음이
전해지길 바라는 것도, 사실이야"
2013013020310,夏葉,あら、そうかしら？,"어머, 그래?"
2013013020320,夏葉,"じゃあプロデューサーは
どんなふうに渡すの？","그럼 프로듀서는
어떤 식으로 건네줄 거야?"
0000000000000,プロデューサー,"ええ……！？
そうだな","어……!?
그게"
0000000000000,プロデューサー,"『いつもお世話になってます
これ、よかったら……』","'항상 신세지고 있습니다
이거, 괜찮으시면……'"
0000000000000,プロデューサー,みたいな感じか……？,같은 느낌……?
2013013020330,夏葉,それって、相手は取引先じゃない！,"그 방식, 상대방은 거래처가 아냐!"
0000000000000,プロデューサー,"うん
だって、俺が渡すとしたらほとんど取引先の人だろ？","응
그치만, 내가 준다고 하면 거의 거래처 사람이잖아?"
2013013020340,夏葉,……ええ、そうね,"……뭐, 그렇긴 하지"
2013013020350,夏葉,とっても大人の振る舞いだわ,무척 어른다운 행동이네
info,produce_events/201301302.json,
번역자,,
