id,name,text,trans
0000000000000,プロデューサー,おぉ……これ、事務所のロゴか……,"오오……이거, 사무소의 로고인가……"
0000000000000,プロデューサー,"すごいな！　こんなに細かいの作ってくれたのか
大変じゃなかったか","엄청난데! 이렇게 세세한 걸 만들어 준 건가
힘들진 않았니"
4901018410010,甘奈,"ううん！
作っててめっちゃ楽しかったし☆","아니!
만들면서 엄청 즐거웠고 말이지☆"
4901018410020,甘奈,"それに、リクエストされたからには
ちゃんとしたのにしたかったから","게다가, 리퀘스트 받았으니까
제대로 된 걸로 만들고 싶었으니까"
0000000000000,プロデューサー,"ありがとう、これ、大切にするよ
しばらく飾っておくかな","고마워, 이거, 소중히 할게
당분간 장식해둘까"
4901018410030,甘奈,"えぇ～、お菓子なんだから
食べちゃってよ～","에에~, 과자니까
먹어줘~"
0000000000000,プロデューサー,"うーむ……しかし……
なんだかもったいなくてなぁ","으ー음……하지만……
왠지 아까워서 말야"
4901018410040,甘奈,"えへへ、そこまで思ってくれて
ありがとっ","에헤헤, 거기까지 생각해줘서
고마워"
4901018410050,甘奈,"でもでも、美味しいうちに食べてくれた方が
甘奈はもーっとうれしいなっ☆","그치만 그치만, 가장 맛있을 때 먹어주는 편이
아마나는 훨ー씬 기쁠 텐데☆"
info,special_communications/490101841.json,
번역자,,
